,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3886,5801,Hebei,China,2020-01-22,1.0,0.0
3887,5802,Hebei,China,2020-01-23,1.0,1.0
3888,5803,Hebei,China,2020-01-24,2.0,1.0
3889,5804,Hebei,China,2020-01-25,8.0,1.0
3890,5805,Hebei,China,2020-01-26,13.0,1.0
3891,5806,Hebei,China,2020-01-27,18.0,1.0
3892,5807,Hebei,China,2020-01-28,33.0,1.0
3893,5808,Hebei,China,2020-01-29,48.0,1.0
3894,5809,Hebei,China,2020-01-30,65.0,1.0
3895,5810,Hebei,China,2020-01-31,82.0,1.0
3896,5811,Hebei,China,2020-02-01,96.0,1.0
3897,5812,Hebei,China,2020-02-02,104.0,1.0
3898,5813,Hebei,China,2020-02-03,113.0,1.0
3899,5814,Hebei,China,2020-02-04,126.0,1.0
3900,5815,Hebei,China,2020-02-05,135.0,1.0
3901,5816,Hebei,China,2020-02-06,157.0,1.0
3902,5817,Hebei,China,2020-02-07,172.0,1.0
3903,5818,Hebei,China,2020-02-08,195.0,1.0
3904,5819,Hebei,China,2020-02-09,206.0,2.0
3905,5820,Hebei,China,2020-02-10,218.0,2.0
3906,5821,Hebei,China,2020-02-11,239.0,2.0
3907,5822,Hebei,China,2020-02-12,251.0,2.0
3908,5823,Hebei,China,2020-02-13,265.0,3.0
3909,5824,Hebei,China,2020-02-14,283.0,3.0
3910,5825,Hebei,China,2020-02-15,291.0,3.0
3911,5826,Hebei,China,2020-02-16,300.0,3.0
3912,5827,Hebei,China,2020-02-17,301.0,3.0
3913,5828,Hebei,China,2020-02-18,306.0,4.0
3914,5829,Hebei,China,2020-02-19,306.0,4.0
3915,5830,Hebei,China,2020-02-20,307.0,5.0
3916,5831,Hebei,China,2020-02-21,308.0,5.0
3917,5832,Hebei,China,2020-02-22,309.0,6.0
3918,5833,Hebei,China,2020-02-23,311.0,6.0
3919,5834,Hebei,China,2020-02-24,311.0,6.0
3920,5835,Hebei,China,2020-02-25,311.0,6.0
3921,5836,Hebei,China,2020-02-26,312.0,6.0
3922,5837,Hebei,China,2020-02-27,317.0,6.0
3923,5838,Hebei,China,2020-02-28,318.0,6.0
3924,5839,Hebei,China,2020-02-29,318.0,6.0
3925,5840,Hebei,China,2020-03-01,318.0,6.0
3926,5841,Hebei,China,2020-03-02,318.0,6.0
3927,5842,Hebei,China,2020-03-03,318.0,6.0
3928,5843,Hebei,China,2020-03-04,318.0,6.0
3929,5844,Hebei,China,2020-03-05,318.0,6.0
3930,5845,Hebei,China,2020-03-06,318.0,6.0
3931,5846,Hebei,China,2020-03-07,318.0,6.0
3932,5847,Hebei,China,2020-03-08,318.0,6.0
3933,5848,Hebei,China,2020-03-09,318.0,6.0
3934,5849,Hebei,China,2020-03-10,318.0,6.0
3935,5850,Hebei,China,2020-03-11,318.0,6.0
3936,5851,Hebei,China,2020-03-12,318.0,6.0
3937,5852,Hebei,China,2020-03-13,318.0,6.0
3938,5853,Hebei,China,2020-03-14,318.0,6.0
3939,5854,Hebei,China,2020-03-15,318.0,6.0
3940,5855,Hebei,China,2020-03-16,318.0,6.0
3941,5856,Hebei,China,2020-03-17,318.0,6.0
3942,5857,Hebei,China,2020-03-18,318.0,6.0
3943,5858,Hebei,China,2020-03-19,318.0,6.0
3944,5859,Hebei,China,2020-03-20,318.0,6.0
3945,5860,Hebei,China,2020-03-21,318.0,6.0
3946,5861,Hebei,China,2020-03-22,319.0,6.0
3947,5862,Hebei,China,2020-03-23,319.0,6.0
3948,5863,Hebei,China,2020-03-24,319.0,6.0
3949,5864,Hebei,China,2020-03-25,319.0,6.0
3950,5865,Hebei,China,2020-03-26,319.0,6.0
3951,5866,Hebei,China,2020-03-27,319.0,6.0
3952,5867,Hebei,China,2020-03-28,319.0,6.0
