,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3953,5901,Heilongjiang,China,2020-01-22,0.0,0.0
3954,5902,Heilongjiang,China,2020-01-23,2.0,0.0
3955,5903,Heilongjiang,China,2020-01-24,4.0,1.0
3956,5904,Heilongjiang,China,2020-01-25,9.0,1.0
3957,5905,Heilongjiang,China,2020-01-26,15.0,1.0
3958,5906,Heilongjiang,China,2020-01-27,21.0,1.0
3959,5907,Heilongjiang,China,2020-01-28,33.0,1.0
3960,5908,Heilongjiang,China,2020-01-29,38.0,1.0
3961,5909,Heilongjiang,China,2020-01-30,44.0,2.0
3962,5910,Heilongjiang,China,2020-01-31,59.0,2.0
3963,5911,Heilongjiang,China,2020-02-01,80.0,2.0
3964,5912,Heilongjiang,China,2020-02-02,95.0,2.0
3965,5913,Heilongjiang,China,2020-02-03,121.0,2.0
3966,5914,Heilongjiang,China,2020-02-04,155.0,2.0
3967,5915,Heilongjiang,China,2020-02-05,190.0,2.0
3968,5916,Heilongjiang,China,2020-02-06,227.0,3.0
3969,5917,Heilongjiang,China,2020-02-07,277.0,3.0
3970,5918,Heilongjiang,China,2020-02-08,295.0,5.0
3971,5919,Heilongjiang,China,2020-02-09,307.0,6.0
3972,5920,Heilongjiang,China,2020-02-10,331.0,7.0
3973,5921,Heilongjiang,China,2020-02-11,360.0,8.0
3974,5922,Heilongjiang,China,2020-02-12,378.0,8.0
3975,5923,Heilongjiang,China,2020-02-13,395.0,9.0
3976,5924,Heilongjiang,China,2020-02-14,419.0,11.0
3977,5925,Heilongjiang,China,2020-02-15,425.0,11.0
3978,5926,Heilongjiang,China,2020-02-16,445.0,11.0
3979,5927,Heilongjiang,China,2020-02-17,457.0,11.0
3980,5928,Heilongjiang,China,2020-02-18,464.0,11.0
3981,5929,Heilongjiang,China,2020-02-19,470.0,12.0
3982,5930,Heilongjiang,China,2020-02-20,476.0,12.0
3983,5931,Heilongjiang,China,2020-02-21,479.0,12.0
3984,5932,Heilongjiang,China,2020-02-22,479.0,12.0
3985,5933,Heilongjiang,China,2020-02-23,480.0,12.0
3986,5934,Heilongjiang,China,2020-02-24,480.0,12.0
3987,5935,Heilongjiang,China,2020-02-25,480.0,12.0
3988,5936,Heilongjiang,China,2020-02-26,480.0,12.0
3989,5937,Heilongjiang,China,2020-02-27,480.0,13.0
3990,5938,Heilongjiang,China,2020-02-28,480.0,13.0
3991,5939,Heilongjiang,China,2020-02-29,480.0,13.0
3992,5940,Heilongjiang,China,2020-03-01,480.0,13.0
3993,5941,Heilongjiang,China,2020-03-02,480.0,13.0
3994,5942,Heilongjiang,China,2020-03-03,480.0,13.0
3995,5943,Heilongjiang,China,2020-03-04,480.0,13.0
3996,5944,Heilongjiang,China,2020-03-05,481.0,13.0
3997,5945,Heilongjiang,China,2020-03-06,481.0,13.0
3998,5946,Heilongjiang,China,2020-03-07,481.0,13.0
3999,5947,Heilongjiang,China,2020-03-08,481.0,13.0
4000,5948,Heilongjiang,China,2020-03-09,481.0,13.0
4001,5949,Heilongjiang,China,2020-03-10,481.0,13.0
4002,5950,Heilongjiang,China,2020-03-11,482.0,13.0
4003,5951,Heilongjiang,China,2020-03-12,482.0,13.0
4004,5952,Heilongjiang,China,2020-03-13,482.0,13.0
4005,5953,Heilongjiang,China,2020-03-14,482.0,13.0
4006,5954,Heilongjiang,China,2020-03-15,482.0,13.0
4007,5955,Heilongjiang,China,2020-03-16,482.0,13.0
4008,5956,Heilongjiang,China,2020-03-17,482.0,13.0
4009,5957,Heilongjiang,China,2020-03-18,482.0,13.0
4010,5958,Heilongjiang,China,2020-03-19,483.0,13.0
4011,5959,Heilongjiang,China,2020-03-20,484.0,13.0
4012,5960,Heilongjiang,China,2020-03-21,484.0,13.0
4013,5961,Heilongjiang,China,2020-03-22,484.0,13.0
4014,5962,Heilongjiang,China,2020-03-23,484.0,13.0
4015,5963,Heilongjiang,China,2020-03-24,484.0,13.0
4016,5964,Heilongjiang,China,2020-03-25,484.0,13.0
4017,5965,Heilongjiang,China,2020-03-26,484.0,13.0
4018,5966,Heilongjiang,China,2020-03-27,484.0,13.0
4019,5967,Heilongjiang,China,2020-03-28,484.0,13.0
