,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4087,6101,Hong Kong,China,2020-01-22,0.0,0.0
4088,6102,Hong Kong,China,2020-01-23,2.0,0.0
4089,6103,Hong Kong,China,2020-01-24,2.0,0.0
4090,6104,Hong Kong,China,2020-01-25,5.0,0.0
4091,6105,Hong Kong,China,2020-01-26,8.0,0.0
4092,6106,Hong Kong,China,2020-01-27,8.0,0.0
4093,6107,Hong Kong,China,2020-01-28,8.0,0.0
4094,6108,Hong Kong,China,2020-01-29,10.0,0.0
4095,6109,Hong Kong,China,2020-01-30,10.0,0.0
4096,6110,Hong Kong,China,2020-01-31,12.0,0.0
4097,6111,Hong Kong,China,2020-02-01,13.0,0.0
4098,6112,Hong Kong,China,2020-02-02,15.0,0.0
4099,6113,Hong Kong,China,2020-02-03,15.0,0.0
4100,6114,Hong Kong,China,2020-02-04,17.0,1.0
4101,6115,Hong Kong,China,2020-02-05,21.0,1.0
4102,6116,Hong Kong,China,2020-02-06,24.0,1.0
4103,6117,Hong Kong,China,2020-02-07,25.0,1.0
4104,6118,Hong Kong,China,2020-02-08,26.0,1.0
4105,6119,Hong Kong,China,2020-02-09,29.0,1.0
4106,6120,Hong Kong,China,2020-02-10,38.0,1.0
4107,6121,Hong Kong,China,2020-02-11,49.0,1.0
4108,6122,Hong Kong,China,2020-02-12,50.0,1.0
4109,6123,Hong Kong,China,2020-02-13,53.0,1.0
4110,6124,Hong Kong,China,2020-02-14,56.0,1.0
4111,6125,Hong Kong,China,2020-02-15,56.0,1.0
4112,6126,Hong Kong,China,2020-02-16,57.0,1.0
4113,6127,Hong Kong,China,2020-02-17,60.0,1.0
4114,6128,Hong Kong,China,2020-02-18,62.0,1.0
4115,6129,Hong Kong,China,2020-02-19,63.0,2.0
4116,6130,Hong Kong,China,2020-02-20,68.0,2.0
4117,6131,Hong Kong,China,2020-02-21,68.0,2.0
4118,6132,Hong Kong,China,2020-02-22,69.0,2.0
4119,6133,Hong Kong,China,2020-02-23,74.0,2.0
4120,6134,Hong Kong,China,2020-02-24,79.0,2.0
4121,6135,Hong Kong,China,2020-02-25,84.0,2.0
4122,6136,Hong Kong,China,2020-02-26,91.0,2.0
4123,6137,Hong Kong,China,2020-02-27,92.0,2.0
4124,6138,Hong Kong,China,2020-02-28,94.0,2.0
4125,6139,Hong Kong,China,2020-02-29,95.0,2.0
4126,6140,Hong Kong,China,2020-03-01,96.0,2.0
4127,6141,Hong Kong,China,2020-03-02,100.0,2.0
4128,6142,Hong Kong,China,2020-03-03,100.0,2.0
4129,6143,Hong Kong,China,2020-03-04,105.0,2.0
4130,6144,Hong Kong,China,2020-03-05,105.0,2.0
4131,6145,Hong Kong,China,2020-03-06,107.0,2.0
4132,6146,Hong Kong,China,2020-03-07,108.0,2.0
4133,6147,Hong Kong,China,2020-03-08,114.0,3.0
4134,6148,Hong Kong,China,2020-03-09,115.0,3.0
4135,6149,Hong Kong,China,2020-03-10,120.0,3.0
4136,6150,Hong Kong,China,2020-03-11,126.0,3.0
4137,6151,Hong Kong,China,2020-03-12,129.0,3.0
4138,6152,Hong Kong,China,2020-03-13,134.0,4.0
4139,6153,Hong Kong,China,2020-03-14,140.0,4.0
4140,6154,Hong Kong,China,2020-03-15,145.0,4.0
4141,6155,Hong Kong,China,2020-03-16,155.0,4.0
4142,6156,Hong Kong,China,2020-03-17,162.0,4.0
4143,6157,Hong Kong,China,2020-03-18,181.0,4.0
4144,6158,Hong Kong,China,2020-03-19,208.0,4.0
4145,6159,Hong Kong,China,2020-03-20,256.0,4.0
4146,6160,Hong Kong,China,2020-03-21,273.0,4.0
4147,6161,Hong Kong,China,2020-03-22,317.0,4.0
4148,6162,Hong Kong,China,2020-03-23,356.0,4.0
4149,6163,Hong Kong,China,2020-03-24,386.0,4.0
4150,6164,Hong Kong,China,2020-03-25,410.0,4.0
4151,6165,Hong Kong,China,2020-03-26,453.0,4.0
4152,6166,Hong Kong,China,2020-03-27,519.0,4.0
4153,6167,Hong Kong,China,2020-03-28,561.0,4.0
