,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4154,6201,Hubei,China,2020-01-22,444.0,17.0
4155,6202,Hubei,China,2020-01-23,444.0,17.0
4156,6203,Hubei,China,2020-01-24,549.0,24.0
4157,6204,Hubei,China,2020-01-25,761.0,40.0
4158,6205,Hubei,China,2020-01-26,1058.0,52.0
4159,6206,Hubei,China,2020-01-27,1423.0,76.0
4160,6207,Hubei,China,2020-01-28,3554.0,125.0
4161,6208,Hubei,China,2020-01-29,3554.0,125.0
4162,6209,Hubei,China,2020-01-30,4903.0,162.0
4163,6210,Hubei,China,2020-01-31,5806.0,204.0
4164,6211,Hubei,China,2020-02-01,7153.0,249.0
4165,6212,Hubei,China,2020-02-02,11177.0,350.0
4166,6213,Hubei,China,2020-02-03,13522.0,414.0
4167,6214,Hubei,China,2020-02-04,16678.0,479.0
4168,6215,Hubei,China,2020-02-05,19665.0,549.0
4169,6216,Hubei,China,2020-02-06,22112.0,618.0
4170,6217,Hubei,China,2020-02-07,24953.0,699.0
4171,6218,Hubei,China,2020-02-08,27100.0,780.0
4172,6219,Hubei,China,2020-02-09,29631.0,871.0
4173,6220,Hubei,China,2020-02-10,31728.0,974.0
4174,6221,Hubei,China,2020-02-11,33366.0,1068.0
4175,6222,Hubei,China,2020-02-12,33366.0,1068.0
4176,6223,Hubei,China,2020-02-13,48206.0,1310.0
4177,6224,Hubei,China,2020-02-14,54406.0,1457.0
4178,6225,Hubei,China,2020-02-15,56249.0,1596.0
4179,6226,Hubei,China,2020-02-16,58182.0,1696.0
4180,6227,Hubei,China,2020-02-17,59989.0,1789.0
4181,6228,Hubei,China,2020-02-18,61682.0,1921.0
4182,6229,Hubei,China,2020-02-19,62031.0,2029.0
4183,6230,Hubei,China,2020-02-20,62442.0,2144.0
4184,6231,Hubei,China,2020-02-21,62662.0,2144.0
4185,6232,Hubei,China,2020-02-22,64084.0,2346.0
4186,6233,Hubei,China,2020-02-23,64084.0,2346.0
4187,6234,Hubei,China,2020-02-24,64287.0,2495.0
4188,6235,Hubei,China,2020-02-25,64786.0,2563.0
4189,6236,Hubei,China,2020-02-26,65187.0,2615.0
4190,6237,Hubei,China,2020-02-27,65596.0,2641.0
4191,6238,Hubei,China,2020-02-28,65914.0,2682.0
4192,6239,Hubei,China,2020-02-29,66337.0,2727.0
4193,6240,Hubei,China,2020-03-01,66907.0,2761.0
4194,6241,Hubei,China,2020-03-02,67103.0,2803.0
4195,6242,Hubei,China,2020-03-03,67217.0,2835.0
4196,6243,Hubei,China,2020-03-04,67332.0,2871.0
4197,6244,Hubei,China,2020-03-05,67466.0,2902.0
4198,6245,Hubei,China,2020-03-06,67592.0,2931.0
4199,6246,Hubei,China,2020-03-07,67666.0,2959.0
4200,6247,Hubei,China,2020-03-08,67707.0,2986.0
4201,6248,Hubei,China,2020-03-09,67743.0,3008.0
4202,6249,Hubei,China,2020-03-10,67760.0,3024.0
4203,6250,Hubei,China,2020-03-11,67773.0,3046.0
4204,6251,Hubei,China,2020-03-12,67781.0,3056.0
4205,6252,Hubei,China,2020-03-13,67786.0,3062.0
4206,6253,Hubei,China,2020-03-14,67790.0,3075.0
4207,6254,Hubei,China,2020-03-15,67794.0,3085.0
4208,6255,Hubei,China,2020-03-16,67798.0,3099.0
4209,6256,Hubei,China,2020-03-17,67799.0,3111.0
4210,6257,Hubei,China,2020-03-18,67800.0,3122.0
4211,6258,Hubei,China,2020-03-19,67800.0,3130.0
4212,6259,Hubei,China,2020-03-20,67800.0,3133.0
4213,6260,Hubei,China,2020-03-21,67800.0,3139.0
4214,6261,Hubei,China,2020-03-22,67800.0,3153.0
4215,6262,Hubei,China,2020-03-23,67800.0,3153.0
4216,6263,Hubei,China,2020-03-24,67801.0,3160.0
4217,6264,Hubei,China,2020-03-25,67801.0,3163.0
4218,6265,Hubei,China,2020-03-26,67801.0,3169.0
4219,6266,Hubei,China,2020-03-27,67801.0,3174.0
4220,6267,Hubei,China,2020-03-28,67801.0,3177.0
