,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4221,6301,Hunan,China,2020-01-22,4.0,0.0
4222,6302,Hunan,China,2020-01-23,9.0,0.0
4223,6303,Hunan,China,2020-01-24,24.0,0.0
4224,6304,Hunan,China,2020-01-25,43.0,0.0
4225,6305,Hunan,China,2020-01-26,69.0,0.0
4226,6306,Hunan,China,2020-01-27,100.0,0.0
4227,6307,Hunan,China,2020-01-28,143.0,0.0
4228,6308,Hunan,China,2020-01-29,221.0,0.0
4229,6309,Hunan,China,2020-01-30,277.0,0.0
4230,6310,Hunan,China,2020-01-31,332.0,0.0
4231,6311,Hunan,China,2020-02-01,389.0,0.0
4232,6312,Hunan,China,2020-02-02,463.0,0.0
4233,6313,Hunan,China,2020-02-03,521.0,0.0
4234,6314,Hunan,China,2020-02-04,593.0,0.0
4235,6315,Hunan,China,2020-02-05,661.0,0.0
4236,6316,Hunan,China,2020-02-06,711.0,0.0
4237,6317,Hunan,China,2020-02-07,772.0,0.0
4238,6318,Hunan,China,2020-02-08,803.0,1.0
4239,6319,Hunan,China,2020-02-09,838.0,1.0
4240,6320,Hunan,China,2020-02-10,879.0,1.0
4241,6321,Hunan,China,2020-02-11,912.0,1.0
4242,6322,Hunan,China,2020-02-12,946.0,2.0
4243,6323,Hunan,China,2020-02-13,968.0,2.0
4244,6324,Hunan,China,2020-02-14,988.0,2.0
4245,6325,Hunan,China,2020-02-15,1001.0,2.0
4246,6326,Hunan,China,2020-02-16,1004.0,3.0
4247,6327,Hunan,China,2020-02-17,1006.0,3.0
4248,6328,Hunan,China,2020-02-18,1007.0,4.0
4249,6329,Hunan,China,2020-02-19,1008.0,4.0
4250,6330,Hunan,China,2020-02-20,1010.0,4.0
4251,6331,Hunan,China,2020-02-21,1011.0,4.0
4252,6332,Hunan,China,2020-02-22,1013.0,4.0
4253,6333,Hunan,China,2020-02-23,1016.0,4.0
4254,6334,Hunan,China,2020-02-24,1016.0,4.0
4255,6335,Hunan,China,2020-02-25,1016.0,4.0
4256,6336,Hunan,China,2020-02-26,1016.0,4.0
4257,6337,Hunan,China,2020-02-27,1017.0,4.0
4258,6338,Hunan,China,2020-02-28,1017.0,4.0
4259,6339,Hunan,China,2020-02-29,1018.0,4.0
4260,6340,Hunan,China,2020-03-01,1018.0,4.0
4261,6341,Hunan,China,2020-03-02,1018.0,4.0
4262,6342,Hunan,China,2020-03-03,1018.0,4.0
4263,6343,Hunan,China,2020-03-04,1018.0,4.0
4264,6344,Hunan,China,2020-03-05,1018.0,4.0
4265,6345,Hunan,China,2020-03-06,1018.0,4.0
4266,6346,Hunan,China,2020-03-07,1018.0,4.0
4267,6347,Hunan,China,2020-03-08,1018.0,4.0
4268,6348,Hunan,China,2020-03-09,1018.0,4.0
4269,6349,Hunan,China,2020-03-10,1018.0,4.0
4270,6350,Hunan,China,2020-03-11,1018.0,4.0
4271,6351,Hunan,China,2020-03-12,1018.0,4.0
4272,6352,Hunan,China,2020-03-13,1018.0,4.0
4273,6353,Hunan,China,2020-03-14,1018.0,4.0
4274,6354,Hunan,China,2020-03-15,1018.0,4.0
4275,6355,Hunan,China,2020-03-16,1018.0,4.0
4276,6356,Hunan,China,2020-03-17,1018.0,4.0
4277,6357,Hunan,China,2020-03-18,1018.0,4.0
4278,6358,Hunan,China,2020-03-19,1018.0,4.0
4279,6359,Hunan,China,2020-03-20,1018.0,4.0
4280,6360,Hunan,China,2020-03-21,1018.0,4.0
4281,6361,Hunan,China,2020-03-22,1018.0,4.0
4282,6362,Hunan,China,2020-03-23,1018.0,4.0
4283,6363,Hunan,China,2020-03-24,1018.0,4.0
4284,6364,Hunan,China,2020-03-25,1018.0,4.0
4285,6365,Hunan,China,2020-03-26,1018.0,4.0
4286,6366,Hunan,China,2020-03-27,1018.0,4.0
4287,6367,Hunan,China,2020-03-28,1018.0,4.0
