,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4422,6601,Jiangxi,China,2020-01-22,2.0,0.0
4423,6602,Jiangxi,China,2020-01-23,7.0,0.0
4424,6603,Jiangxi,China,2020-01-24,18.0,0.0
4425,6604,Jiangxi,China,2020-01-25,18.0,0.0
4426,6605,Jiangxi,China,2020-01-26,36.0,0.0
4427,6606,Jiangxi,China,2020-01-27,72.0,0.0
4428,6607,Jiangxi,China,2020-01-28,109.0,0.0
4429,6608,Jiangxi,China,2020-01-29,109.0,0.0
4430,6609,Jiangxi,China,2020-01-30,162.0,0.0
4431,6610,Jiangxi,China,2020-01-31,240.0,0.0
4432,6611,Jiangxi,China,2020-02-01,286.0,0.0
4433,6612,Jiangxi,China,2020-02-02,333.0,0.0
4434,6613,Jiangxi,China,2020-02-03,391.0,0.0
4435,6614,Jiangxi,China,2020-02-04,476.0,0.0
4436,6615,Jiangxi,China,2020-02-05,548.0,0.0
4437,6616,Jiangxi,China,2020-02-06,600.0,0.0
4438,6617,Jiangxi,China,2020-02-07,661.0,0.0
4439,6618,Jiangxi,China,2020-02-08,698.0,0.0
4440,6619,Jiangxi,China,2020-02-09,740.0,0.0
4441,6620,Jiangxi,China,2020-02-10,771.0,1.0
4442,6621,Jiangxi,China,2020-02-11,804.0,1.0
4443,6622,Jiangxi,China,2020-02-12,844.0,1.0
4444,6623,Jiangxi,China,2020-02-13,872.0,1.0
4445,6624,Jiangxi,China,2020-02-14,900.0,1.0
4446,6625,Jiangxi,China,2020-02-15,913.0,1.0
4447,6626,Jiangxi,China,2020-02-16,925.0,1.0
4448,6627,Jiangxi,China,2020-02-17,930.0,1.0
4449,6628,Jiangxi,China,2020-02-18,933.0,1.0
4450,6629,Jiangxi,China,2020-02-19,934.0,1.0
4451,6630,Jiangxi,China,2020-02-20,934.0,1.0
4452,6631,Jiangxi,China,2020-02-21,934.0,1.0
4453,6632,Jiangxi,China,2020-02-22,934.0,1.0
4454,6633,Jiangxi,China,2020-02-23,934.0,1.0
4455,6634,Jiangxi,China,2020-02-24,934.0,1.0
4456,6635,Jiangxi,China,2020-02-25,934.0,1.0
4457,6636,Jiangxi,China,2020-02-26,934.0,1.0
4458,6637,Jiangxi,China,2020-02-27,934.0,1.0
4459,6638,Jiangxi,China,2020-02-28,935.0,1.0
4460,6639,Jiangxi,China,2020-02-29,935.0,1.0
4461,6640,Jiangxi,China,2020-03-01,935.0,1.0
4462,6641,Jiangxi,China,2020-03-02,935.0,1.0
4463,6642,Jiangxi,China,2020-03-03,935.0,1.0
4464,6643,Jiangxi,China,2020-03-04,935.0,1.0
4465,6644,Jiangxi,China,2020-03-05,935.0,1.0
4466,6645,Jiangxi,China,2020-03-06,935.0,1.0
4467,6646,Jiangxi,China,2020-03-07,935.0,1.0
4468,6647,Jiangxi,China,2020-03-08,935.0,1.0
4469,6648,Jiangxi,China,2020-03-09,935.0,1.0
4470,6649,Jiangxi,China,2020-03-10,935.0,1.0
4471,6650,Jiangxi,China,2020-03-11,935.0,1.0
4472,6651,Jiangxi,China,2020-03-12,935.0,1.0
4473,6652,Jiangxi,China,2020-03-13,935.0,1.0
4474,6653,Jiangxi,China,2020-03-14,935.0,1.0
4475,6654,Jiangxi,China,2020-03-15,935.0,1.0
4476,6655,Jiangxi,China,2020-03-16,935.0,1.0
4477,6656,Jiangxi,China,2020-03-17,935.0,1.0
4478,6657,Jiangxi,China,2020-03-18,935.0,1.0
4479,6658,Jiangxi,China,2020-03-19,935.0,1.0
4480,6659,Jiangxi,China,2020-03-20,935.0,1.0
4481,6660,Jiangxi,China,2020-03-21,935.0,1.0
4482,6661,Jiangxi,China,2020-03-22,936.0,1.0
4483,6662,Jiangxi,China,2020-03-23,936.0,1.0
4484,6663,Jiangxi,China,2020-03-24,936.0,1.0
4485,6664,Jiangxi,China,2020-03-25,936.0,1.0
4486,6665,Jiangxi,China,2020-03-26,936.0,1.0
4487,6666,Jiangxi,China,2020-03-27,936.0,1.0
4488,6667,Jiangxi,China,2020-03-28,936.0,1.0
