,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4489,6701,Jilin,China,2020-01-22,0.0,0.0
4490,6702,Jilin,China,2020-01-23,1.0,0.0
4491,6703,Jilin,China,2020-01-24,3.0,0.0
4492,6704,Jilin,China,2020-01-25,4.0,0.0
4493,6705,Jilin,China,2020-01-26,4.0,0.0
4494,6706,Jilin,China,2020-01-27,6.0,0.0
4495,6707,Jilin,China,2020-01-28,8.0,0.0
4496,6708,Jilin,China,2020-01-29,9.0,0.0
4497,6709,Jilin,China,2020-01-30,14.0,0.0
4498,6710,Jilin,China,2020-01-31,14.0,0.0
4499,6711,Jilin,China,2020-02-01,17.0,0.0
4500,6712,Jilin,China,2020-02-02,23.0,0.0
4501,6713,Jilin,China,2020-02-03,31.0,0.0
4502,6714,Jilin,China,2020-02-04,42.0,0.0
4503,6715,Jilin,China,2020-02-05,54.0,0.0
4504,6716,Jilin,China,2020-02-06,59.0,0.0
4505,6717,Jilin,China,2020-02-07,65.0,1.0
4506,6718,Jilin,China,2020-02-08,69.0,1.0
4507,6719,Jilin,China,2020-02-09,78.0,1.0
4508,6720,Jilin,China,2020-02-10,80.0,1.0
4509,6721,Jilin,China,2020-02-11,81.0,1.0
4510,6722,Jilin,China,2020-02-12,83.0,1.0
4511,6723,Jilin,China,2020-02-13,84.0,1.0
4512,6724,Jilin,China,2020-02-14,86.0,1.0
4513,6725,Jilin,China,2020-02-15,88.0,1.0
4514,6726,Jilin,China,2020-02-16,89.0,1.0
4515,6727,Jilin,China,2020-02-17,89.0,1.0
4516,6728,Jilin,China,2020-02-18,89.0,1.0
4517,6729,Jilin,China,2020-02-19,90.0,1.0
4518,6730,Jilin,China,2020-02-20,91.0,1.0
4519,6731,Jilin,China,2020-02-21,91.0,1.0
4520,6732,Jilin,China,2020-02-22,91.0,1.0
4521,6733,Jilin,China,2020-02-23,91.0,1.0
4522,6734,Jilin,China,2020-02-24,93.0,1.0
4523,6735,Jilin,China,2020-02-25,93.0,1.0
4524,6736,Jilin,China,2020-02-26,93.0,1.0
4525,6737,Jilin,China,2020-02-27,93.0,1.0
4526,6738,Jilin,China,2020-02-28,93.0,1.0
4527,6739,Jilin,China,2020-02-29,93.0,1.0
4528,6740,Jilin,China,2020-03-01,93.0,1.0
4529,6741,Jilin,China,2020-03-02,93.0,1.0
4530,6742,Jilin,China,2020-03-03,93.0,1.0
4531,6743,Jilin,China,2020-03-04,93.0,1.0
4532,6744,Jilin,China,2020-03-05,93.0,1.0
4533,6745,Jilin,China,2020-03-06,93.0,1.0
4534,6746,Jilin,China,2020-03-07,93.0,1.0
4535,6747,Jilin,China,2020-03-08,93.0,1.0
4536,6748,Jilin,China,2020-03-09,93.0,1.0
4537,6749,Jilin,China,2020-03-10,93.0,1.0
4538,6750,Jilin,China,2020-03-11,93.0,1.0
4539,6751,Jilin,China,2020-03-12,93.0,1.0
4540,6752,Jilin,China,2020-03-13,93.0,1.0
4541,6753,Jilin,China,2020-03-14,93.0,1.0
4542,6754,Jilin,China,2020-03-15,93.0,1.0
4543,6755,Jilin,China,2020-03-16,93.0,1.0
4544,6756,Jilin,China,2020-03-17,93.0,1.0
4545,6757,Jilin,China,2020-03-18,93.0,1.0
4546,6758,Jilin,China,2020-03-19,93.0,1.0
4547,6759,Jilin,China,2020-03-20,93.0,1.0
4548,6760,Jilin,China,2020-03-21,93.0,1.0
4549,6761,Jilin,China,2020-03-22,93.0,1.0
4550,6762,Jilin,China,2020-03-23,93.0,1.0
4551,6763,Jilin,China,2020-03-24,93.0,1.0
4552,6764,Jilin,China,2020-03-25,94.0,1.0
4553,6765,Jilin,China,2020-03-26,95.0,1.0
4554,6766,Jilin,China,2020-03-27,95.0,1.0
4555,6767,Jilin,China,2020-03-28,97.0,1.0
