,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4757,7101,Qinghai,China,2020-01-22,0.0,0.0
4758,7102,Qinghai,China,2020-01-23,0.0,0.0
4759,7103,Qinghai,China,2020-01-24,0.0,0.0
4760,7104,Qinghai,China,2020-01-25,1.0,0.0
4761,7105,Qinghai,China,2020-01-26,1.0,0.0
4762,7106,Qinghai,China,2020-01-27,6.0,0.0
4763,7107,Qinghai,China,2020-01-28,6.0,0.0
4764,7108,Qinghai,China,2020-01-29,6.0,0.0
4765,7109,Qinghai,China,2020-01-30,8.0,0.0
4766,7110,Qinghai,China,2020-01-31,8.0,0.0
4767,7111,Qinghai,China,2020-02-01,9.0,0.0
4768,7112,Qinghai,China,2020-02-02,11.0,0.0
4769,7113,Qinghai,China,2020-02-03,13.0,0.0
4770,7114,Qinghai,China,2020-02-04,15.0,0.0
4771,7115,Qinghai,China,2020-02-05,17.0,0.0
4772,7116,Qinghai,China,2020-02-06,18.0,0.0
4773,7117,Qinghai,China,2020-02-07,18.0,0.0
4774,7118,Qinghai,China,2020-02-08,18.0,0.0
4775,7119,Qinghai,China,2020-02-09,18.0,0.0
4776,7120,Qinghai,China,2020-02-10,18.0,0.0
4777,7121,Qinghai,China,2020-02-11,18.0,0.0
4778,7122,Qinghai,China,2020-02-12,18.0,0.0
4779,7123,Qinghai,China,2020-02-13,18.0,0.0
4780,7124,Qinghai,China,2020-02-14,18.0,0.0
4781,7125,Qinghai,China,2020-02-15,18.0,0.0
4782,7126,Qinghai,China,2020-02-16,18.0,0.0
4783,7127,Qinghai,China,2020-02-17,18.0,0.0
4784,7128,Qinghai,China,2020-02-18,18.0,0.0
4785,7129,Qinghai,China,2020-02-19,18.0,0.0
4786,7130,Qinghai,China,2020-02-20,18.0,0.0
4787,7131,Qinghai,China,2020-02-21,18.0,0.0
4788,7132,Qinghai,China,2020-02-22,18.0,0.0
4789,7133,Qinghai,China,2020-02-23,18.0,0.0
4790,7134,Qinghai,China,2020-02-24,18.0,0.0
4791,7135,Qinghai,China,2020-02-25,18.0,0.0
4792,7136,Qinghai,China,2020-02-26,18.0,0.0
4793,7137,Qinghai,China,2020-02-27,18.0,0.0
4794,7138,Qinghai,China,2020-02-28,18.0,0.0
4795,7139,Qinghai,China,2020-02-29,18.0,0.0
4796,7140,Qinghai,China,2020-03-01,18.0,0.0
4797,7141,Qinghai,China,2020-03-02,18.0,0.0
4798,7142,Qinghai,China,2020-03-03,18.0,0.0
4799,7143,Qinghai,China,2020-03-04,18.0,0.0
4800,7144,Qinghai,China,2020-03-05,18.0,0.0
4801,7145,Qinghai,China,2020-03-06,18.0,0.0
4802,7146,Qinghai,China,2020-03-07,18.0,0.0
4803,7147,Qinghai,China,2020-03-08,18.0,0.0
4804,7148,Qinghai,China,2020-03-09,18.0,0.0
4805,7149,Qinghai,China,2020-03-10,18.0,0.0
4806,7150,Qinghai,China,2020-03-11,18.0,0.0
4807,7151,Qinghai,China,2020-03-12,18.0,0.0
4808,7152,Qinghai,China,2020-03-13,18.0,0.0
4809,7153,Qinghai,China,2020-03-14,18.0,0.0
4810,7154,Qinghai,China,2020-03-15,18.0,0.0
4811,7155,Qinghai,China,2020-03-16,18.0,0.0
4812,7156,Qinghai,China,2020-03-17,18.0,0.0
4813,7157,Qinghai,China,2020-03-18,18.0,0.0
4814,7158,Qinghai,China,2020-03-19,18.0,0.0
4815,7159,Qinghai,China,2020-03-20,18.0,0.0
4816,7160,Qinghai,China,2020-03-21,18.0,0.0
4817,7161,Qinghai,China,2020-03-22,18.0,0.0
4818,7162,Qinghai,China,2020-03-23,18.0,0.0
4819,7163,Qinghai,China,2020-03-24,18.0,0.0
4820,7164,Qinghai,China,2020-03-25,18.0,0.0
4821,7165,Qinghai,China,2020-03-26,18.0,0.0
4822,7166,Qinghai,China,2020-03-27,18.0,0.0
4823,7167,Qinghai,China,2020-03-28,18.0,0.0
