,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4824,7201,Shaanxi,China,2020-01-22,0.0,0.0
4825,7202,Shaanxi,China,2020-01-23,3.0,0.0
4826,7203,Shaanxi,China,2020-01-24,5.0,0.0
4827,7204,Shaanxi,China,2020-01-25,15.0,0.0
4828,7205,Shaanxi,China,2020-01-26,22.0,0.0
4829,7206,Shaanxi,China,2020-01-27,35.0,0.0
4830,7207,Shaanxi,China,2020-01-28,46.0,0.0
4831,7208,Shaanxi,China,2020-01-29,56.0,0.0
4832,7209,Shaanxi,China,2020-01-30,63.0,0.0
4833,7210,Shaanxi,China,2020-01-31,87.0,0.0
4834,7211,Shaanxi,China,2020-02-01,101.0,0.0
4835,7212,Shaanxi,China,2020-02-02,116.0,0.0
4836,7213,Shaanxi,China,2020-02-03,128.0,0.0
4837,7214,Shaanxi,China,2020-02-04,142.0,0.0
4838,7215,Shaanxi,China,2020-02-05,165.0,0.0
4839,7216,Shaanxi,China,2020-02-06,173.0,0.0
4840,7217,Shaanxi,China,2020-02-07,184.0,0.0
4841,7218,Shaanxi,China,2020-02-08,195.0,0.0
4842,7219,Shaanxi,China,2020-02-09,208.0,0.0
4843,7220,Shaanxi,China,2020-02-10,213.0,0.0
4844,7221,Shaanxi,China,2020-02-11,219.0,0.0
4845,7222,Shaanxi,China,2020-02-12,225.0,0.0
4846,7223,Shaanxi,China,2020-02-13,229.0,0.0
4847,7224,Shaanxi,China,2020-02-14,230.0,0.0
4848,7225,Shaanxi,China,2020-02-15,232.0,0.0
4849,7226,Shaanxi,China,2020-02-16,236.0,0.0
4850,7227,Shaanxi,China,2020-02-17,240.0,0.0
4851,7228,Shaanxi,China,2020-02-18,240.0,0.0
4852,7229,Shaanxi,China,2020-02-19,242.0,0.0
4853,7230,Shaanxi,China,2020-02-20,245.0,1.0
4854,7231,Shaanxi,China,2020-02-21,245.0,1.0
4855,7232,Shaanxi,China,2020-02-22,245.0,1.0
4856,7233,Shaanxi,China,2020-02-23,245.0,1.0
4857,7234,Shaanxi,China,2020-02-24,245.0,1.0
4858,7235,Shaanxi,China,2020-02-25,245.0,1.0
4859,7236,Shaanxi,China,2020-02-26,245.0,1.0
4860,7237,Shaanxi,China,2020-02-27,245.0,1.0
4861,7238,Shaanxi,China,2020-02-28,245.0,1.0
4862,7239,Shaanxi,China,2020-02-29,245.0,1.0
4863,7240,Shaanxi,China,2020-03-01,245.0,1.0
4864,7241,Shaanxi,China,2020-03-02,245.0,1.0
4865,7242,Shaanxi,China,2020-03-03,245.0,1.0
4866,7243,Shaanxi,China,2020-03-04,245.0,1.0
4867,7244,Shaanxi,China,2020-03-05,245.0,1.0
4868,7245,Shaanxi,China,2020-03-06,245.0,1.0
4869,7246,Shaanxi,China,2020-03-07,245.0,1.0
4870,7247,Shaanxi,China,2020-03-08,245.0,1.0
4871,7248,Shaanxi,China,2020-03-09,245.0,1.0
4872,7249,Shaanxi,China,2020-03-10,245.0,1.0
4873,7250,Shaanxi,China,2020-03-11,245.0,1.0
4874,7251,Shaanxi,China,2020-03-12,245.0,2.0
4875,7252,Shaanxi,China,2020-03-13,245.0,2.0
4876,7253,Shaanxi,China,2020-03-14,245.0,2.0
4877,7254,Shaanxi,China,2020-03-15,245.0,2.0
4878,7255,Shaanxi,China,2020-03-16,245.0,2.0
4879,7256,Shaanxi,China,2020-03-17,246.0,3.0
4880,7257,Shaanxi,China,2020-03-18,246.0,3.0
4881,7258,Shaanxi,China,2020-03-19,246.0,3.0
4882,7259,Shaanxi,China,2020-03-20,247.0,3.0
4883,7260,Shaanxi,China,2020-03-21,248.0,3.0
4884,7261,Shaanxi,China,2020-03-22,248.0,3.0
4885,7262,Shaanxi,China,2020-03-23,248.0,3.0
4886,7263,Shaanxi,China,2020-03-24,249.0,3.0
4887,7264,Shaanxi,China,2020-03-25,250.0,3.0
4888,7265,Shaanxi,China,2020-03-26,253.0,3.0
4889,7266,Shaanxi,China,2020-03-27,253.0,3.0
4890,7267,Shaanxi,China,2020-03-28,253.0,3.0
