,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4891,7301,Shandong,China,2020-01-22,2.0,0.0
4892,7302,Shandong,China,2020-01-23,6.0,0.0
4893,7303,Shandong,China,2020-01-24,15.0,0.0
4894,7304,Shandong,China,2020-01-25,27.0,0.0
4895,7305,Shandong,China,2020-01-26,46.0,0.0
4896,7306,Shandong,China,2020-01-27,75.0,0.0
4897,7307,Shandong,China,2020-01-28,95.0,0.0
4898,7308,Shandong,China,2020-01-29,130.0,0.0
4899,7309,Shandong,China,2020-01-30,158.0,0.0
4900,7310,Shandong,China,2020-01-31,184.0,0.0
4901,7311,Shandong,China,2020-02-01,206.0,0.0
4902,7312,Shandong,China,2020-02-02,230.0,0.0
4903,7313,Shandong,China,2020-02-03,259.0,0.0
4904,7314,Shandong,China,2020-02-04,275.0,0.0
4905,7315,Shandong,China,2020-02-05,307.0,0.0
4906,7316,Shandong,China,2020-02-06,347.0,0.0
4907,7317,Shandong,China,2020-02-07,386.0,0.0
4908,7318,Shandong,China,2020-02-08,416.0,0.0
4909,7319,Shandong,China,2020-02-09,444.0,1.0
4910,7320,Shandong,China,2020-02-10,466.0,1.0
4911,7321,Shandong,China,2020-02-11,487.0,1.0
4912,7322,Shandong,China,2020-02-12,497.0,2.0
4913,7323,Shandong,China,2020-02-13,509.0,2.0
4914,7324,Shandong,China,2020-02-14,523.0,2.0
4915,7325,Shandong,China,2020-02-15,532.0,2.0
4916,7326,Shandong,China,2020-02-16,537.0,2.0
4917,7327,Shandong,China,2020-02-17,541.0,2.0
4918,7328,Shandong,China,2020-02-18,543.0,3.0
4919,7329,Shandong,China,2020-02-19,544.0,3.0
4920,7330,Shandong,China,2020-02-20,546.0,4.0
4921,7331,Shandong,China,2020-02-21,749.0,4.0
4922,7332,Shandong,China,2020-02-22,750.0,4.0
4923,7333,Shandong,China,2020-02-23,754.0,4.0
4924,7334,Shandong,China,2020-02-24,755.0,5.0
4925,7335,Shandong,China,2020-02-25,756.0,6.0
4926,7336,Shandong,China,2020-02-26,756.0,6.0
4927,7337,Shandong,China,2020-02-27,756.0,6.0
4928,7338,Shandong,China,2020-02-28,756.0,6.0
4929,7339,Shandong,China,2020-02-29,756.0,6.0
4930,7340,Shandong,China,2020-03-01,758.0,6.0
4931,7341,Shandong,China,2020-03-02,758.0,6.0
4932,7342,Shandong,China,2020-03-03,758.0,6.0
4933,7343,Shandong,China,2020-03-04,758.0,6.0
4934,7344,Shandong,China,2020-03-05,758.0,6.0
4935,7345,Shandong,China,2020-03-06,758.0,6.0
4936,7346,Shandong,China,2020-03-07,758.0,6.0
4937,7347,Shandong,China,2020-03-08,758.0,6.0
4938,7348,Shandong,China,2020-03-09,758.0,6.0
4939,7349,Shandong,China,2020-03-10,758.0,6.0
4940,7350,Shandong,China,2020-03-11,760.0,6.0
4941,7351,Shandong,China,2020-03-12,760.0,6.0
4942,7352,Shandong,China,2020-03-13,760.0,7.0
4943,7353,Shandong,China,2020-03-14,760.0,7.0
4944,7354,Shandong,China,2020-03-15,760.0,7.0
4945,7355,Shandong,China,2020-03-16,760.0,7.0
4946,7356,Shandong,China,2020-03-17,761.0,7.0
4947,7357,Shandong,China,2020-03-18,761.0,7.0
4948,7358,Shandong,China,2020-03-19,761.0,7.0
4949,7359,Shandong,China,2020-03-20,762.0,7.0
4950,7360,Shandong,China,2020-03-21,764.0,7.0
4951,7361,Shandong,China,2020-03-22,767.0,7.0
4952,7362,Shandong,China,2020-03-23,768.0,7.0
4953,7363,Shandong,China,2020-03-24,768.0,7.0
4954,7364,Shandong,China,2020-03-25,769.0,7.0
4955,7365,Shandong,China,2020-03-26,771.0,7.0
4956,7366,Shandong,China,2020-03-27,772.0,7.0
4957,7367,Shandong,China,2020-03-28,772.0,7.0
