,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4958,7401,Shanghai,China,2020-01-22,9.0,0.0
4959,7402,Shanghai,China,2020-01-23,16.0,0.0
4960,7403,Shanghai,China,2020-01-24,20.0,0.0
4961,7404,Shanghai,China,2020-01-25,33.0,0.0
4962,7405,Shanghai,China,2020-01-26,40.0,1.0
4963,7406,Shanghai,China,2020-01-27,53.0,1.0
4964,7407,Shanghai,China,2020-01-28,66.0,1.0
4965,7408,Shanghai,China,2020-01-29,96.0,1.0
4966,7409,Shanghai,China,2020-01-30,112.0,1.0
4967,7410,Shanghai,China,2020-01-31,135.0,1.0
4968,7411,Shanghai,China,2020-02-01,169.0,1.0
4969,7412,Shanghai,China,2020-02-02,182.0,1.0
4970,7413,Shanghai,China,2020-02-03,203.0,1.0
4971,7414,Shanghai,China,2020-02-04,219.0,1.0
4972,7415,Shanghai,China,2020-02-05,243.0,1.0
4973,7416,Shanghai,China,2020-02-06,257.0,1.0
4974,7417,Shanghai,China,2020-02-07,277.0,1.0
4975,7418,Shanghai,China,2020-02-08,286.0,1.0
4976,7419,Shanghai,China,2020-02-09,293.0,1.0
4977,7420,Shanghai,China,2020-02-10,299.0,1.0
4978,7421,Shanghai,China,2020-02-11,303.0,1.0
4979,7422,Shanghai,China,2020-02-12,311.0,1.0
4980,7423,Shanghai,China,2020-02-13,315.0,1.0
4981,7424,Shanghai,China,2020-02-14,318.0,1.0
4982,7425,Shanghai,China,2020-02-15,326.0,1.0
4983,7426,Shanghai,China,2020-02-16,328.0,1.0
4984,7427,Shanghai,China,2020-02-17,333.0,1.0
4985,7428,Shanghai,China,2020-02-18,333.0,1.0
4986,7429,Shanghai,China,2020-02-19,333.0,2.0
4987,7430,Shanghai,China,2020-02-20,334.0,2.0
4988,7431,Shanghai,China,2020-02-21,334.0,2.0
4989,7432,Shanghai,China,2020-02-22,335.0,3.0
4990,7433,Shanghai,China,2020-02-23,335.0,3.0
4991,7434,Shanghai,China,2020-02-24,335.0,3.0
4992,7435,Shanghai,China,2020-02-25,336.0,3.0
4993,7436,Shanghai,China,2020-02-26,337.0,3.0
4994,7437,Shanghai,China,2020-02-27,337.0,3.0
4995,7438,Shanghai,China,2020-02-28,337.0,3.0
4996,7439,Shanghai,China,2020-02-29,337.0,3.0
4997,7440,Shanghai,China,2020-03-01,337.0,3.0
4998,7441,Shanghai,China,2020-03-02,337.0,3.0
4999,7442,Shanghai,China,2020-03-03,338.0,3.0
5000,7443,Shanghai,China,2020-03-04,338.0,3.0
5001,7444,Shanghai,China,2020-03-05,339.0,3.0
5002,7445,Shanghai,China,2020-03-06,342.0,3.0
5003,7446,Shanghai,China,2020-03-07,342.0,3.0
5004,7447,Shanghai,China,2020-03-08,342.0,3.0
5005,7448,Shanghai,China,2020-03-09,342.0,3.0
5006,7449,Shanghai,China,2020-03-10,344.0,3.0
5007,7450,Shanghai,China,2020-03-11,344.0,3.0
5008,7451,Shanghai,China,2020-03-12,344.0,3.0
5009,7452,Shanghai,China,2020-03-13,346.0,3.0
5010,7453,Shanghai,China,2020-03-14,353.0,3.0
5011,7454,Shanghai,China,2020-03-15,353.0,3.0
5012,7455,Shanghai,China,2020-03-16,355.0,3.0
5013,7456,Shanghai,China,2020-03-17,358.0,3.0
5014,7457,Shanghai,China,2020-03-18,361.0,3.0
5015,7458,Shanghai,China,2020-03-19,363.0,3.0
5016,7459,Shanghai,China,2020-03-20,371.0,3.0
5017,7460,Shanghai,China,2020-03-21,380.0,3.0
5018,7461,Shanghai,China,2020-03-22,404.0,4.0
5019,7462,Shanghai,China,2020-03-23,404.0,4.0
5020,7463,Shanghai,China,2020-03-24,414.0,4.0
5021,7464,Shanghai,China,2020-03-25,433.0,5.0
5022,7465,Shanghai,China,2020-03-26,451.0,5.0
5023,7466,Shanghai,China,2020-03-27,468.0,5.0
5024,7467,Shanghai,China,2020-03-28,485.0,5.0
