,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5293,7901,Xinjiang,China,2020-01-22,0.0,0.0
5294,7902,Xinjiang,China,2020-01-23,2.0,0.0
5295,7903,Xinjiang,China,2020-01-24,2.0,0.0
5296,7904,Xinjiang,China,2020-01-25,3.0,0.0
5297,7905,Xinjiang,China,2020-01-26,4.0,0.0
5298,7906,Xinjiang,China,2020-01-27,5.0,0.0
5299,7907,Xinjiang,China,2020-01-28,10.0,0.0
5300,7908,Xinjiang,China,2020-01-29,13.0,0.0
5301,7909,Xinjiang,China,2020-01-30,14.0,0.0
5302,7910,Xinjiang,China,2020-01-31,17.0,0.0
5303,7911,Xinjiang,China,2020-02-01,18.0,0.0
5304,7912,Xinjiang,China,2020-02-02,21.0,0.0
5305,7913,Xinjiang,China,2020-02-03,24.0,0.0
5306,7914,Xinjiang,China,2020-02-04,29.0,0.0
5307,7915,Xinjiang,China,2020-02-05,32.0,0.0
5308,7916,Xinjiang,China,2020-02-06,36.0,0.0
5309,7917,Xinjiang,China,2020-02-07,39.0,0.0
5310,7918,Xinjiang,China,2020-02-08,42.0,0.0
5311,7919,Xinjiang,China,2020-02-09,45.0,0.0
5312,7920,Xinjiang,China,2020-02-10,49.0,0.0
5313,7921,Xinjiang,China,2020-02-11,55.0,0.0
5314,7922,Xinjiang,China,2020-02-12,59.0,0.0
5315,7923,Xinjiang,China,2020-02-13,63.0,1.0
5316,7924,Xinjiang,China,2020-02-14,65.0,1.0
5317,7925,Xinjiang,China,2020-02-15,70.0,1.0
5318,7926,Xinjiang,China,2020-02-16,71.0,1.0
5319,7927,Xinjiang,China,2020-02-17,75.0,1.0
5320,7928,Xinjiang,China,2020-02-18,76.0,1.0
5321,7929,Xinjiang,China,2020-02-19,76.0,1.0
5322,7930,Xinjiang,China,2020-02-20,76.0,1.0
5323,7931,Xinjiang,China,2020-02-21,76.0,1.0
5324,7932,Xinjiang,China,2020-02-22,76.0,2.0
5325,7933,Xinjiang,China,2020-02-23,76.0,2.0
5326,7934,Xinjiang,China,2020-02-24,76.0,2.0
5327,7935,Xinjiang,China,2020-02-25,76.0,2.0
5328,7936,Xinjiang,China,2020-02-26,76.0,2.0
5329,7937,Xinjiang,China,2020-02-27,76.0,2.0
5330,7938,Xinjiang,China,2020-02-28,76.0,3.0
5331,7939,Xinjiang,China,2020-02-29,76.0,3.0
5332,7940,Xinjiang,China,2020-03-01,76.0,3.0
5333,7941,Xinjiang,China,2020-03-02,76.0,3.0
5334,7942,Xinjiang,China,2020-03-03,76.0,3.0
5335,7943,Xinjiang,China,2020-03-04,76.0,3.0
5336,7944,Xinjiang,China,2020-03-05,76.0,3.0
5337,7945,Xinjiang,China,2020-03-06,76.0,3.0
5338,7946,Xinjiang,China,2020-03-07,76.0,3.0
5339,7947,Xinjiang,China,2020-03-08,76.0,3.0
5340,7948,Xinjiang,China,2020-03-09,76.0,3.0
5341,7949,Xinjiang,China,2020-03-10,76.0,3.0
5342,7950,Xinjiang,China,2020-03-11,76.0,3.0
5343,7951,Xinjiang,China,2020-03-12,76.0,3.0
5344,7952,Xinjiang,China,2020-03-13,76.0,3.0
5345,7953,Xinjiang,China,2020-03-14,76.0,3.0
5346,7954,Xinjiang,China,2020-03-15,76.0,3.0
5347,7955,Xinjiang,China,2020-03-16,76.0,3.0
5348,7956,Xinjiang,China,2020-03-17,76.0,3.0
5349,7957,Xinjiang,China,2020-03-18,76.0,3.0
5350,7958,Xinjiang,China,2020-03-19,76.0,3.0
5351,7959,Xinjiang,China,2020-03-20,76.0,3.0
5352,7960,Xinjiang,China,2020-03-21,76.0,3.0
5353,7961,Xinjiang,China,2020-03-22,76.0,3.0
5354,7962,Xinjiang,China,2020-03-23,76.0,3.0
5355,7963,Xinjiang,China,2020-03-24,76.0,3.0
5356,7964,Xinjiang,China,2020-03-25,76.0,3.0
5357,7965,Xinjiang,China,2020-03-26,76.0,3.0
5358,7966,Xinjiang,China,2020-03-27,76.0,3.0
5359,7967,Xinjiang,China,2020-03-28,76.0,3.0
