,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5360,8001,Yunnan,China,2020-01-22,1.0,0.0
5361,8002,Yunnan,China,2020-01-23,2.0,0.0
5362,8003,Yunnan,China,2020-01-24,5.0,0.0
5363,8004,Yunnan,China,2020-01-25,11.0,0.0
5364,8005,Yunnan,China,2020-01-26,16.0,0.0
5365,8006,Yunnan,China,2020-01-27,26.0,0.0
5366,8007,Yunnan,China,2020-01-28,44.0,0.0
5367,8008,Yunnan,China,2020-01-29,55.0,0.0
5368,8009,Yunnan,China,2020-01-30,70.0,0.0
5369,8010,Yunnan,China,2020-01-31,83.0,0.0
5370,8011,Yunnan,China,2020-02-01,93.0,0.0
5371,8012,Yunnan,China,2020-02-02,105.0,0.0
5372,8013,Yunnan,China,2020-02-03,117.0,0.0
5373,8014,Yunnan,China,2020-02-04,122.0,0.0
5374,8015,Yunnan,China,2020-02-05,128.0,0.0
5375,8016,Yunnan,China,2020-02-06,133.0,0.0
5376,8017,Yunnan,China,2020-02-07,138.0,0.0
5377,8018,Yunnan,China,2020-02-08,138.0,0.0
5378,8019,Yunnan,China,2020-02-09,141.0,0.0
5379,8020,Yunnan,China,2020-02-10,149.0,0.0
5380,8021,Yunnan,China,2020-02-11,153.0,0.0
5381,8022,Yunnan,China,2020-02-12,154.0,0.0
5382,8023,Yunnan,China,2020-02-13,156.0,0.0
5383,8024,Yunnan,China,2020-02-14,162.0,0.0
5384,8025,Yunnan,China,2020-02-15,168.0,0.0
5385,8026,Yunnan,China,2020-02-16,171.0,0.0
5386,8027,Yunnan,China,2020-02-17,171.0,0.0
5387,8028,Yunnan,China,2020-02-18,172.0,0.0
5388,8029,Yunnan,China,2020-02-19,172.0,1.0
5389,8030,Yunnan,China,2020-02-20,174.0,2.0
5390,8031,Yunnan,China,2020-02-21,174.0,2.0
5391,8032,Yunnan,China,2020-02-22,174.0,2.0
5392,8033,Yunnan,China,2020-02-23,174.0,2.0
5393,8034,Yunnan,China,2020-02-24,174.0,2.0
5394,8035,Yunnan,China,2020-02-25,174.0,2.0
5395,8036,Yunnan,China,2020-02-26,174.0,2.0
5396,8037,Yunnan,China,2020-02-27,174.0,2.0
5397,8038,Yunnan,China,2020-02-28,174.0,2.0
5398,8039,Yunnan,China,2020-02-29,174.0,2.0
5399,8040,Yunnan,China,2020-03-01,174.0,2.0
5400,8041,Yunnan,China,2020-03-02,174.0,2.0
5401,8042,Yunnan,China,2020-03-03,174.0,2.0
5402,8043,Yunnan,China,2020-03-04,174.0,2.0
5403,8044,Yunnan,China,2020-03-05,174.0,2.0
5404,8045,Yunnan,China,2020-03-06,174.0,2.0
5405,8046,Yunnan,China,2020-03-07,174.0,2.0
5406,8047,Yunnan,China,2020-03-08,174.0,2.0
5407,8048,Yunnan,China,2020-03-09,174.0,2.0
5408,8049,Yunnan,China,2020-03-10,174.0,2.0
5409,8050,Yunnan,China,2020-03-11,174.0,2.0
5410,8051,Yunnan,China,2020-03-12,174.0,2.0
5411,8052,Yunnan,China,2020-03-13,174.0,2.0
5412,8053,Yunnan,China,2020-03-14,174.0,2.0
5413,8054,Yunnan,China,2020-03-15,174.0,2.0
5414,8055,Yunnan,China,2020-03-16,176.0,2.0
5415,8056,Yunnan,China,2020-03-17,176.0,2.0
5416,8057,Yunnan,China,2020-03-18,176.0,2.0
5417,8058,Yunnan,China,2020-03-19,176.0,2.0
5418,8059,Yunnan,China,2020-03-20,176.0,2.0
5419,8060,Yunnan,China,2020-03-21,176.0,2.0
5420,8061,Yunnan,China,2020-03-22,176.0,2.0
5421,8062,Yunnan,China,2020-03-23,176.0,2.0
5422,8063,Yunnan,China,2020-03-24,176.0,2.0
5423,8064,Yunnan,China,2020-03-25,176.0,2.0
5424,8065,Yunnan,China,2020-03-26,178.0,2.0
5425,8066,Yunnan,China,2020-03-27,180.0,2.0
5426,8067,Yunnan,China,2020-03-28,180.0,2.0
