,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5427,8101,Zhejiang,China,2020-01-22,10.0,0.0
5428,8102,Zhejiang,China,2020-01-23,27.0,0.0
5429,8103,Zhejiang,China,2020-01-24,43.0,0.0
5430,8104,Zhejiang,China,2020-01-25,62.0,0.0
5431,8105,Zhejiang,China,2020-01-26,104.0,0.0
5432,8106,Zhejiang,China,2020-01-27,128.0,0.0
5433,8107,Zhejiang,China,2020-01-28,173.0,0.0
5434,8108,Zhejiang,China,2020-01-29,296.0,0.0
5435,8109,Zhejiang,China,2020-01-30,428.0,0.0
5436,8110,Zhejiang,China,2020-01-31,538.0,0.0
5437,8111,Zhejiang,China,2020-02-01,599.0,0.0
5438,8112,Zhejiang,China,2020-02-02,661.0,0.0
5439,8113,Zhejiang,China,2020-02-03,724.0,0.0
5440,8114,Zhejiang,China,2020-02-04,829.0,0.0
5441,8115,Zhejiang,China,2020-02-05,895.0,0.0
5442,8116,Zhejiang,China,2020-02-06,954.0,0.0
5443,8117,Zhejiang,China,2020-02-07,1006.0,0.0
5444,8118,Zhejiang,China,2020-02-08,1048.0,0.0
5445,8119,Zhejiang,China,2020-02-09,1075.0,0.0
5446,8120,Zhejiang,China,2020-02-10,1092.0,0.0
5447,8121,Zhejiang,China,2020-02-11,1117.0,0.0
5448,8122,Zhejiang,China,2020-02-12,1131.0,0.0
5449,8123,Zhejiang,China,2020-02-13,1145.0,0.0
5450,8124,Zhejiang,China,2020-02-14,1155.0,0.0
5451,8125,Zhejiang,China,2020-02-15,1162.0,0.0
5452,8126,Zhejiang,China,2020-02-16,1167.0,0.0
5453,8127,Zhejiang,China,2020-02-17,1171.0,0.0
5454,8128,Zhejiang,China,2020-02-18,1172.0,0.0
5455,8129,Zhejiang,China,2020-02-19,1174.0,0.0
5456,8130,Zhejiang,China,2020-02-20,1175.0,1.0
5457,8131,Zhejiang,China,2020-02-21,1203.0,1.0
5458,8132,Zhejiang,China,2020-02-22,1205.0,1.0
5459,8133,Zhejiang,China,2020-02-23,1205.0,1.0
5460,8134,Zhejiang,China,2020-02-24,1205.0,1.0
5461,8135,Zhejiang,China,2020-02-25,1205.0,1.0
5462,8136,Zhejiang,China,2020-02-26,1205.0,1.0
5463,8137,Zhejiang,China,2020-02-27,1205.0,1.0
5464,8138,Zhejiang,China,2020-02-28,1205.0,1.0
5465,8139,Zhejiang,China,2020-02-29,1205.0,1.0
5466,8140,Zhejiang,China,2020-03-01,1205.0,1.0
5467,8141,Zhejiang,China,2020-03-02,1206.0,1.0
5468,8142,Zhejiang,China,2020-03-03,1213.0,1.0
5469,8143,Zhejiang,China,2020-03-04,1213.0,1.0
5470,8144,Zhejiang,China,2020-03-05,1215.0,1.0
5471,8145,Zhejiang,China,2020-03-06,1215.0,1.0
5472,8146,Zhejiang,China,2020-03-07,1215.0,1.0
5473,8147,Zhejiang,China,2020-03-08,1215.0,1.0
5474,8148,Zhejiang,China,2020-03-09,1215.0,1.0
5475,8149,Zhejiang,China,2020-03-10,1215.0,1.0
5476,8150,Zhejiang,China,2020-03-11,1215.0,1.0
5477,8151,Zhejiang,China,2020-03-12,1215.0,1.0
5478,8152,Zhejiang,China,2020-03-13,1215.0,1.0
5479,8153,Zhejiang,China,2020-03-14,1227.0,1.0
5480,8154,Zhejiang,China,2020-03-15,1231.0,1.0
5481,8155,Zhejiang,China,2020-03-16,1231.0,1.0
5482,8156,Zhejiang,China,2020-03-17,1232.0,1.0
5483,8157,Zhejiang,China,2020-03-18,1232.0,1.0
5484,8158,Zhejiang,China,2020-03-19,1233.0,1.0
5485,8159,Zhejiang,China,2020-03-20,1234.0,1.0
5486,8160,Zhejiang,China,2020-03-21,1236.0,1.0
5487,8161,Zhejiang,China,2020-03-22,1238.0,1.0
5488,8162,Zhejiang,China,2020-03-23,1238.0,1.0
5489,8163,Zhejiang,China,2020-03-24,1240.0,1.0
5490,8164,Zhejiang,China,2020-03-25,1241.0,1.0
5491,8165,Zhejiang,China,2020-03-26,1243.0,1.0
5492,8166,Zhejiang,China,2020-03-27,1247.0,1.0
5493,8167,Zhejiang,China,2020-03-28,1251.0,1.0
