,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5896,8801,,Cuba,2020-01-22,0.0,0.0
5897,8802,,Cuba,2020-01-23,0.0,0.0
5898,8803,,Cuba,2020-01-24,0.0,0.0
5899,8804,,Cuba,2020-01-25,0.0,0.0
5900,8805,,Cuba,2020-01-26,0.0,0.0
5901,8806,,Cuba,2020-01-27,0.0,0.0
5902,8807,,Cuba,2020-01-28,0.0,0.0
5903,8808,,Cuba,2020-01-29,0.0,0.0
5904,8809,,Cuba,2020-01-30,0.0,0.0
5905,8810,,Cuba,2020-01-31,0.0,0.0
5906,8811,,Cuba,2020-02-01,0.0,0.0
5907,8812,,Cuba,2020-02-02,0.0,0.0
5908,8813,,Cuba,2020-02-03,0.0,0.0
5909,8814,,Cuba,2020-02-04,0.0,0.0
5910,8815,,Cuba,2020-02-05,0.0,0.0
5911,8816,,Cuba,2020-02-06,0.0,0.0
5912,8817,,Cuba,2020-02-07,0.0,0.0
5913,8818,,Cuba,2020-02-08,0.0,0.0
5914,8819,,Cuba,2020-02-09,0.0,0.0
5915,8820,,Cuba,2020-02-10,0.0,0.0
5916,8821,,Cuba,2020-02-11,0.0,0.0
5917,8822,,Cuba,2020-02-12,0.0,0.0
5918,8823,,Cuba,2020-02-13,0.0,0.0
5919,8824,,Cuba,2020-02-14,0.0,0.0
5920,8825,,Cuba,2020-02-15,0.0,0.0
5921,8826,,Cuba,2020-02-16,0.0,0.0
5922,8827,,Cuba,2020-02-17,0.0,0.0
5923,8828,,Cuba,2020-02-18,0.0,0.0
5924,8829,,Cuba,2020-02-19,0.0,0.0
5925,8830,,Cuba,2020-02-20,0.0,0.0
5926,8831,,Cuba,2020-02-21,0.0,0.0
5927,8832,,Cuba,2020-02-22,0.0,0.0
5928,8833,,Cuba,2020-02-23,0.0,0.0
5929,8834,,Cuba,2020-02-24,0.0,0.0
5930,8835,,Cuba,2020-02-25,0.0,0.0
5931,8836,,Cuba,2020-02-26,0.0,0.0
5932,8837,,Cuba,2020-02-27,0.0,0.0
5933,8838,,Cuba,2020-02-28,0.0,0.0
5934,8839,,Cuba,2020-02-29,0.0,0.0
5935,8840,,Cuba,2020-03-01,0.0,0.0
5936,8841,,Cuba,2020-03-02,0.0,0.0
5937,8842,,Cuba,2020-03-03,0.0,0.0
5938,8843,,Cuba,2020-03-04,0.0,0.0
5939,8844,,Cuba,2020-03-05,0.0,0.0
5940,8845,,Cuba,2020-03-06,0.0,0.0
5941,8846,,Cuba,2020-03-07,0.0,0.0
5942,8847,,Cuba,2020-03-08,0.0,0.0
5943,8848,,Cuba,2020-03-09,0.0,0.0
5944,8849,,Cuba,2020-03-10,0.0,0.0
5945,8850,,Cuba,2020-03-11,0.0,0.0
5946,8851,,Cuba,2020-03-12,3.0,0.0
5947,8852,,Cuba,2020-03-13,4.0,0.0
5948,8853,,Cuba,2020-03-14,4.0,0.0
5949,8854,,Cuba,2020-03-15,4.0,0.0
5950,8855,,Cuba,2020-03-16,4.0,0.0
5951,8856,,Cuba,2020-03-17,5.0,0.0
5952,8857,,Cuba,2020-03-18,7.0,1.0
5953,8858,,Cuba,2020-03-19,11.0,1.0
5954,8859,,Cuba,2020-03-20,16.0,1.0
5955,8860,,Cuba,2020-03-21,21.0,1.0
5956,8861,,Cuba,2020-03-22,35.0,1.0
5957,8862,,Cuba,2020-03-23,40.0,1.0
5958,8863,,Cuba,2020-03-24,48.0,1.0
5959,8864,,Cuba,2020-03-25,57.0,1.0
5960,8865,,Cuba,2020-03-26,67.0,2.0
5961,8866,,Cuba,2020-03-27,80.0,2.0
5962,8867,,Cuba,2020-03-28,119.0,3.0
