,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6097,9101,Faroe Islands,Denmark,2020-01-22,0.0,0.0
6098,9102,Faroe Islands,Denmark,2020-01-23,0.0,0.0
6099,9103,Faroe Islands,Denmark,2020-01-24,0.0,0.0
6100,9104,Faroe Islands,Denmark,2020-01-25,0.0,0.0
6101,9105,Faroe Islands,Denmark,2020-01-26,0.0,0.0
6102,9106,Faroe Islands,Denmark,2020-01-27,0.0,0.0
6103,9107,Faroe Islands,Denmark,2020-01-28,0.0,0.0
6104,9108,Faroe Islands,Denmark,2020-01-29,0.0,0.0
6105,9109,Faroe Islands,Denmark,2020-01-30,0.0,0.0
6106,9110,Faroe Islands,Denmark,2020-01-31,0.0,0.0
6107,9111,Faroe Islands,Denmark,2020-02-01,0.0,0.0
6108,9112,Faroe Islands,Denmark,2020-02-02,0.0,0.0
6109,9113,Faroe Islands,Denmark,2020-02-03,0.0,0.0
6110,9114,Faroe Islands,Denmark,2020-02-04,0.0,0.0
6111,9115,Faroe Islands,Denmark,2020-02-05,0.0,0.0
6112,9116,Faroe Islands,Denmark,2020-02-06,0.0,0.0
6113,9117,Faroe Islands,Denmark,2020-02-07,0.0,0.0
6114,9118,Faroe Islands,Denmark,2020-02-08,0.0,0.0
6115,9119,Faroe Islands,Denmark,2020-02-09,0.0,0.0
6116,9120,Faroe Islands,Denmark,2020-02-10,0.0,0.0
6117,9121,Faroe Islands,Denmark,2020-02-11,0.0,0.0
6118,9122,Faroe Islands,Denmark,2020-02-12,0.0,0.0
6119,9123,Faroe Islands,Denmark,2020-02-13,0.0,0.0
6120,9124,Faroe Islands,Denmark,2020-02-14,0.0,0.0
6121,9125,Faroe Islands,Denmark,2020-02-15,0.0,0.0
6122,9126,Faroe Islands,Denmark,2020-02-16,0.0,0.0
6123,9127,Faroe Islands,Denmark,2020-02-17,0.0,0.0
6124,9128,Faroe Islands,Denmark,2020-02-18,0.0,0.0
6125,9129,Faroe Islands,Denmark,2020-02-19,0.0,0.0
6126,9130,Faroe Islands,Denmark,2020-02-20,0.0,0.0
6127,9131,Faroe Islands,Denmark,2020-02-21,0.0,0.0
6128,9132,Faroe Islands,Denmark,2020-02-22,0.0,0.0
6129,9133,Faroe Islands,Denmark,2020-02-23,0.0,0.0
6130,9134,Faroe Islands,Denmark,2020-02-24,0.0,0.0
6131,9135,Faroe Islands,Denmark,2020-02-25,0.0,0.0
6132,9136,Faroe Islands,Denmark,2020-02-26,0.0,0.0
6133,9137,Faroe Islands,Denmark,2020-02-27,0.0,0.0
6134,9138,Faroe Islands,Denmark,2020-02-28,0.0,0.0
6135,9139,Faroe Islands,Denmark,2020-02-29,0.0,0.0
6136,9140,Faroe Islands,Denmark,2020-03-01,0.0,0.0
6137,9141,Faroe Islands,Denmark,2020-03-02,0.0,0.0
6138,9142,Faroe Islands,Denmark,2020-03-03,0.0,0.0
6139,9143,Faroe Islands,Denmark,2020-03-04,1.0,0.0
6140,9144,Faroe Islands,Denmark,2020-03-05,1.0,0.0
6141,9145,Faroe Islands,Denmark,2020-03-06,1.0,0.0
6142,9146,Faroe Islands,Denmark,2020-03-07,1.0,0.0
6143,9147,Faroe Islands,Denmark,2020-03-08,2.0,0.0
6144,9148,Faroe Islands,Denmark,2020-03-09,2.0,0.0
6145,9149,Faroe Islands,Denmark,2020-03-10,2.0,0.0
6146,9150,Faroe Islands,Denmark,2020-03-11,2.0,0.0
6147,9151,Faroe Islands,Denmark,2020-03-12,2.0,0.0
6148,9152,Faroe Islands,Denmark,2020-03-13,3.0,0.0
6149,9153,Faroe Islands,Denmark,2020-03-14,9.0,0.0
6150,9154,Faroe Islands,Denmark,2020-03-15,11.0,0.0
6151,9155,Faroe Islands,Denmark,2020-03-16,18.0,0.0
6152,9156,Faroe Islands,Denmark,2020-03-17,47.0,0.0
6153,9157,Faroe Islands,Denmark,2020-03-18,58.0,0.0
6154,9158,Faroe Islands,Denmark,2020-03-19,72.0,0.0
6155,9159,Faroe Islands,Denmark,2020-03-20,80.0,0.0
6156,9160,Faroe Islands,Denmark,2020-03-21,92.0,0.0
6157,9161,Faroe Islands,Denmark,2020-03-22,115.0,0.0
6158,9162,Faroe Islands,Denmark,2020-03-23,118.0,0.0
6159,9163,Faroe Islands,Denmark,2020-03-24,122.0,0.0
6160,9164,Faroe Islands,Denmark,2020-03-25,132.0,0.0
6161,9165,Faroe Islands,Denmark,2020-03-26,140.0,0.0
6162,9166,Faroe Islands,Denmark,2020-03-27,144.0,0.0
6163,9167,Faroe Islands,Denmark,2020-03-28,155.0,0.0
