,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6164,9201,Greenland,Denmark,2020-01-22,0.0,0.0
6165,9202,Greenland,Denmark,2020-01-23,0.0,0.0
6166,9203,Greenland,Denmark,2020-01-24,0.0,0.0
6167,9204,Greenland,Denmark,2020-01-25,0.0,0.0
6168,9205,Greenland,Denmark,2020-01-26,0.0,0.0
6169,9206,Greenland,Denmark,2020-01-27,0.0,0.0
6170,9207,Greenland,Denmark,2020-01-28,0.0,0.0
6171,9208,Greenland,Denmark,2020-01-29,0.0,0.0
6172,9209,Greenland,Denmark,2020-01-30,0.0,0.0
6173,9210,Greenland,Denmark,2020-01-31,0.0,0.0
6174,9211,Greenland,Denmark,2020-02-01,0.0,0.0
6175,9212,Greenland,Denmark,2020-02-02,0.0,0.0
6176,9213,Greenland,Denmark,2020-02-03,0.0,0.0
6177,9214,Greenland,Denmark,2020-02-04,0.0,0.0
6178,9215,Greenland,Denmark,2020-02-05,0.0,0.0
6179,9216,Greenland,Denmark,2020-02-06,0.0,0.0
6180,9217,Greenland,Denmark,2020-02-07,0.0,0.0
6181,9218,Greenland,Denmark,2020-02-08,0.0,0.0
6182,9219,Greenland,Denmark,2020-02-09,0.0,0.0
6183,9220,Greenland,Denmark,2020-02-10,0.0,0.0
6184,9221,Greenland,Denmark,2020-02-11,0.0,0.0
6185,9222,Greenland,Denmark,2020-02-12,0.0,0.0
6186,9223,Greenland,Denmark,2020-02-13,0.0,0.0
6187,9224,Greenland,Denmark,2020-02-14,0.0,0.0
6188,9225,Greenland,Denmark,2020-02-15,0.0,0.0
6189,9226,Greenland,Denmark,2020-02-16,0.0,0.0
6190,9227,Greenland,Denmark,2020-02-17,0.0,0.0
6191,9228,Greenland,Denmark,2020-02-18,0.0,0.0
6192,9229,Greenland,Denmark,2020-02-19,0.0,0.0
6193,9230,Greenland,Denmark,2020-02-20,0.0,0.0
6194,9231,Greenland,Denmark,2020-02-21,0.0,0.0
6195,9232,Greenland,Denmark,2020-02-22,0.0,0.0
6196,9233,Greenland,Denmark,2020-02-23,0.0,0.0
6197,9234,Greenland,Denmark,2020-02-24,0.0,0.0
6198,9235,Greenland,Denmark,2020-02-25,0.0,0.0
6199,9236,Greenland,Denmark,2020-02-26,0.0,0.0
6200,9237,Greenland,Denmark,2020-02-27,0.0,0.0
6201,9238,Greenland,Denmark,2020-02-28,0.0,0.0
6202,9239,Greenland,Denmark,2020-02-29,0.0,0.0
6203,9240,Greenland,Denmark,2020-03-01,0.0,0.0
6204,9241,Greenland,Denmark,2020-03-02,0.0,0.0
6205,9242,Greenland,Denmark,2020-03-03,0.0,0.0
6206,9243,Greenland,Denmark,2020-03-04,0.0,0.0
6207,9244,Greenland,Denmark,2020-03-05,0.0,0.0
6208,9245,Greenland,Denmark,2020-03-06,0.0,0.0
6209,9246,Greenland,Denmark,2020-03-07,0.0,0.0
6210,9247,Greenland,Denmark,2020-03-08,0.0,0.0
6211,9248,Greenland,Denmark,2020-03-09,0.0,0.0
6212,9249,Greenland,Denmark,2020-03-10,0.0,0.0
6213,9250,Greenland,Denmark,2020-03-11,0.0,0.0
6214,9251,Greenland,Denmark,2020-03-12,0.0,0.0
6215,9252,Greenland,Denmark,2020-03-13,0.0,0.0
6216,9253,Greenland,Denmark,2020-03-14,0.0,0.0
6217,9254,Greenland,Denmark,2020-03-15,0.0,0.0
6218,9255,Greenland,Denmark,2020-03-16,1.0,0.0
6219,9256,Greenland,Denmark,2020-03-17,1.0,0.0
6220,9257,Greenland,Denmark,2020-03-18,1.0,0.0
6221,9258,Greenland,Denmark,2020-03-19,2.0,0.0
6222,9259,Greenland,Denmark,2020-03-20,2.0,0.0
6223,9260,Greenland,Denmark,2020-03-21,2.0,0.0
6224,9261,Greenland,Denmark,2020-03-22,4.0,0.0
6225,9262,Greenland,Denmark,2020-03-23,4.0,0.0
6226,9263,Greenland,Denmark,2020-03-24,5.0,0.0
6227,9264,Greenland,Denmark,2020-03-25,6.0,0.0
6228,9265,Greenland,Denmark,2020-03-26,6.0,0.0
6229,9266,Greenland,Denmark,2020-03-27,10.0,0.0
6230,9267,Greenland,Denmark,2020-03-28,10.0,0.0
