,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6298,9401,,Diamond Princess,2020-01-22,0.0,0.0
6299,9402,,Diamond Princess,2020-01-23,0.0,0.0
6300,9403,,Diamond Princess,2020-01-24,0.0,0.0
6301,9404,,Diamond Princess,2020-01-25,0.0,0.0
6302,9405,,Diamond Princess,2020-01-26,0.0,0.0
6303,9406,,Diamond Princess,2020-01-27,0.0,0.0
6304,9407,,Diamond Princess,2020-01-28,0.0,0.0
6305,9408,,Diamond Princess,2020-01-29,0.0,0.0
6306,9409,,Diamond Princess,2020-01-30,0.0,0.0
6307,9410,,Diamond Princess,2020-01-31,0.0,0.0
6308,9411,,Diamond Princess,2020-02-01,0.0,0.0
6309,9412,,Diamond Princess,2020-02-02,0.0,0.0
6310,9413,,Diamond Princess,2020-02-03,0.0,0.0
6311,9414,,Diamond Princess,2020-02-04,0.0,0.0
6312,9415,,Diamond Princess,2020-02-05,0.0,0.0
6313,9416,,Diamond Princess,2020-02-06,0.0,0.0
6314,9417,,Diamond Princess,2020-02-07,61.0,0.0
6315,9418,,Diamond Princess,2020-02-08,61.0,0.0
6316,9419,,Diamond Princess,2020-02-09,64.0,0.0
6317,9420,,Diamond Princess,2020-02-10,135.0,0.0
6318,9421,,Diamond Princess,2020-02-11,135.0,0.0
6319,9422,,Diamond Princess,2020-02-12,175.0,0.0
6320,9423,,Diamond Princess,2020-02-13,175.0,0.0
6321,9424,,Diamond Princess,2020-02-14,218.0,0.0
6322,9425,,Diamond Princess,2020-02-15,285.0,0.0
6323,9426,,Diamond Princess,2020-02-16,355.0,0.0
6324,9427,,Diamond Princess,2020-02-17,454.0,0.0
6325,9428,,Diamond Princess,2020-02-18,542.0,0.0
6326,9429,,Diamond Princess,2020-02-19,621.0,0.0
6327,9430,,Diamond Princess,2020-02-20,634.0,2.0
6328,9431,,Diamond Princess,2020-02-21,634.0,2.0
6329,9432,,Diamond Princess,2020-02-22,634.0,2.0
6330,9433,,Diamond Princess,2020-02-23,691.0,3.0
6331,9434,,Diamond Princess,2020-02-24,691.0,3.0
6332,9435,,Diamond Princess,2020-02-25,691.0,3.0
6333,9436,,Diamond Princess,2020-02-26,705.0,4.0
6334,9437,,Diamond Princess,2020-02-27,705.0,4.0
6335,9438,,Diamond Princess,2020-02-28,705.0,6.0
6336,9439,,Diamond Princess,2020-02-29,705.0,6.0
6337,9440,,Diamond Princess,2020-03-01,705.0,6.0
6338,9441,,Diamond Princess,2020-03-02,705.0,6.0
6339,9442,,Diamond Princess,2020-03-03,706.0,6.0
6340,9443,,Diamond Princess,2020-03-04,706.0,6.0
6341,9444,,Diamond Princess,2020-03-05,706.0,6.0
6342,9445,,Diamond Princess,2020-03-06,706.0,6.0
6343,9446,,Diamond Princess,2020-03-07,706.0,6.0
6344,9447,,Diamond Princess,2020-03-08,706.0,6.0
6345,9448,,Diamond Princess,2020-03-09,706.0,6.0
6346,9449,,Diamond Princess,2020-03-10,706.0,6.0
6347,9450,,Diamond Princess,2020-03-11,706.0,7.0
6348,9451,,Diamond Princess,2020-03-12,706.0,7.0
6349,9452,,Diamond Princess,2020-03-13,706.0,7.0
6350,9453,,Diamond Princess,2020-03-14,706.0,7.0
6351,9454,,Diamond Princess,2020-03-15,706.0,7.0
6352,9455,,Diamond Princess,2020-03-16,706.0,7.0
6353,9456,,Diamond Princess,2020-03-17,706.0,7.0
6354,9457,,Diamond Princess,2020-03-18,712.0,7.0
6355,9458,,Diamond Princess,2020-03-19,712.0,7.0
6356,9459,,Diamond Princess,2020-03-20,712.0,7.0
6357,9460,,Diamond Princess,2020-03-21,712.0,8.0
6358,9461,,Diamond Princess,2020-03-22,712.0,8.0
6359,9462,,Diamond Princess,2020-03-23,712.0,8.0
6360,9463,,Diamond Princess,2020-03-24,712.0,10.0
6361,9464,,Diamond Princess,2020-03-25,712.0,10.0
6362,9465,,Diamond Princess,2020-03-26,712.0,10.0
6363,9466,,Diamond Princess,2020-03-27,712.0,10.0
6364,9467,,Diamond Princess,2020-03-28,712.0,10.0
