,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6499,9701,,Dominican Republic,2020-01-22,0.0,0.0
6500,9702,,Dominican Republic,2020-01-23,0.0,0.0
6501,9703,,Dominican Republic,2020-01-24,0.0,0.0
6502,9704,,Dominican Republic,2020-01-25,0.0,0.0
6503,9705,,Dominican Republic,2020-01-26,0.0,0.0
6504,9706,,Dominican Republic,2020-01-27,0.0,0.0
6505,9707,,Dominican Republic,2020-01-28,0.0,0.0
6506,9708,,Dominican Republic,2020-01-29,0.0,0.0
6507,9709,,Dominican Republic,2020-01-30,0.0,0.0
6508,9710,,Dominican Republic,2020-01-31,0.0,0.0
6509,9711,,Dominican Republic,2020-02-01,0.0,0.0
6510,9712,,Dominican Republic,2020-02-02,0.0,0.0
6511,9713,,Dominican Republic,2020-02-03,0.0,0.0
6512,9714,,Dominican Republic,2020-02-04,0.0,0.0
6513,9715,,Dominican Republic,2020-02-05,0.0,0.0
6514,9716,,Dominican Republic,2020-02-06,0.0,0.0
6515,9717,,Dominican Republic,2020-02-07,0.0,0.0
6516,9718,,Dominican Republic,2020-02-08,0.0,0.0
6517,9719,,Dominican Republic,2020-02-09,0.0,0.0
6518,9720,,Dominican Republic,2020-02-10,0.0,0.0
6519,9721,,Dominican Republic,2020-02-11,0.0,0.0
6520,9722,,Dominican Republic,2020-02-12,0.0,0.0
6521,9723,,Dominican Republic,2020-02-13,0.0,0.0
6522,9724,,Dominican Republic,2020-02-14,0.0,0.0
6523,9725,,Dominican Republic,2020-02-15,0.0,0.0
6524,9726,,Dominican Republic,2020-02-16,0.0,0.0
6525,9727,,Dominican Republic,2020-02-17,0.0,0.0
6526,9728,,Dominican Republic,2020-02-18,0.0,0.0
6527,9729,,Dominican Republic,2020-02-19,0.0,0.0
6528,9730,,Dominican Republic,2020-02-20,0.0,0.0
6529,9731,,Dominican Republic,2020-02-21,0.0,0.0
6530,9732,,Dominican Republic,2020-02-22,0.0,0.0
6531,9733,,Dominican Republic,2020-02-23,0.0,0.0
6532,9734,,Dominican Republic,2020-02-24,0.0,0.0
6533,9735,,Dominican Republic,2020-02-25,0.0,0.0
6534,9736,,Dominican Republic,2020-02-26,0.0,0.0
6535,9737,,Dominican Republic,2020-02-27,0.0,0.0
6536,9738,,Dominican Republic,2020-02-28,0.0,0.0
6537,9739,,Dominican Republic,2020-02-29,0.0,0.0
6538,9740,,Dominican Republic,2020-03-01,1.0,0.0
6539,9741,,Dominican Republic,2020-03-02,1.0,0.0
6540,9742,,Dominican Republic,2020-03-03,1.0,0.0
6541,9743,,Dominican Republic,2020-03-04,1.0,0.0
6542,9744,,Dominican Republic,2020-03-05,1.0,0.0
6543,9745,,Dominican Republic,2020-03-06,2.0,0.0
6544,9746,,Dominican Republic,2020-03-07,2.0,0.0
6545,9747,,Dominican Republic,2020-03-08,5.0,0.0
6546,9748,,Dominican Republic,2020-03-09,5.0,0.0
6547,9749,,Dominican Republic,2020-03-10,5.0,0.0
6548,9750,,Dominican Republic,2020-03-11,5.0,0.0
6549,9751,,Dominican Republic,2020-03-12,5.0,0.0
6550,9752,,Dominican Republic,2020-03-13,5.0,0.0
6551,9753,,Dominican Republic,2020-03-14,11.0,0.0
6552,9754,,Dominican Republic,2020-03-15,11.0,0.0
6553,9755,,Dominican Republic,2020-03-16,11.0,0.0
6554,9756,,Dominican Republic,2020-03-17,21.0,1.0
6555,9757,,Dominican Republic,2020-03-18,21.0,1.0
6556,9758,,Dominican Republic,2020-03-19,34.0,2.0
6557,9759,,Dominican Republic,2020-03-20,72.0,2.0
6558,9760,,Dominican Republic,2020-03-21,112.0,2.0
6559,9761,,Dominican Republic,2020-03-22,202.0,3.0
6560,9762,,Dominican Republic,2020-03-23,245.0,3.0
6561,9763,,Dominican Republic,2020-03-24,312.0,6.0
6562,9764,,Dominican Republic,2020-03-25,392.0,10.0
6563,9765,,Dominican Republic,2020-03-26,488.0,10.0
6564,9766,,Dominican Republic,2020-03-27,581.0,20.0
6565,9767,,Dominican Republic,2020-03-28,719.0,28.0
