,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6566,9801,,Ecuador,2020-01-22,0.0,0.0
6567,9802,,Ecuador,2020-01-23,0.0,0.0
6568,9803,,Ecuador,2020-01-24,0.0,0.0
6569,9804,,Ecuador,2020-01-25,0.0,0.0
6570,9805,,Ecuador,2020-01-26,0.0,0.0
6571,9806,,Ecuador,2020-01-27,0.0,0.0
6572,9807,,Ecuador,2020-01-28,0.0,0.0
6573,9808,,Ecuador,2020-01-29,0.0,0.0
6574,9809,,Ecuador,2020-01-30,0.0,0.0
6575,9810,,Ecuador,2020-01-31,0.0,0.0
6576,9811,,Ecuador,2020-02-01,0.0,0.0
6577,9812,,Ecuador,2020-02-02,0.0,0.0
6578,9813,,Ecuador,2020-02-03,0.0,0.0
6579,9814,,Ecuador,2020-02-04,0.0,0.0
6580,9815,,Ecuador,2020-02-05,0.0,0.0
6581,9816,,Ecuador,2020-02-06,0.0,0.0
6582,9817,,Ecuador,2020-02-07,0.0,0.0
6583,9818,,Ecuador,2020-02-08,0.0,0.0
6584,9819,,Ecuador,2020-02-09,0.0,0.0
6585,9820,,Ecuador,2020-02-10,0.0,0.0
6586,9821,,Ecuador,2020-02-11,0.0,0.0
6587,9822,,Ecuador,2020-02-12,0.0,0.0
6588,9823,,Ecuador,2020-02-13,0.0,0.0
6589,9824,,Ecuador,2020-02-14,0.0,0.0
6590,9825,,Ecuador,2020-02-15,0.0,0.0
6591,9826,,Ecuador,2020-02-16,0.0,0.0
6592,9827,,Ecuador,2020-02-17,0.0,0.0
6593,9828,,Ecuador,2020-02-18,0.0,0.0
6594,9829,,Ecuador,2020-02-19,0.0,0.0
6595,9830,,Ecuador,2020-02-20,0.0,0.0
6596,9831,,Ecuador,2020-02-21,0.0,0.0
6597,9832,,Ecuador,2020-02-22,0.0,0.0
6598,9833,,Ecuador,2020-02-23,0.0,0.0
6599,9834,,Ecuador,2020-02-24,0.0,0.0
6600,9835,,Ecuador,2020-02-25,0.0,0.0
6601,9836,,Ecuador,2020-02-26,0.0,0.0
6602,9837,,Ecuador,2020-02-27,0.0,0.0
6603,9838,,Ecuador,2020-02-28,0.0,0.0
6604,9839,,Ecuador,2020-02-29,0.0,0.0
6605,9840,,Ecuador,2020-03-01,6.0,0.0
6606,9841,,Ecuador,2020-03-02,6.0,0.0
6607,9842,,Ecuador,2020-03-03,7.0,0.0
6608,9843,,Ecuador,2020-03-04,10.0,0.0
6609,9844,,Ecuador,2020-03-05,13.0,0.0
6610,9845,,Ecuador,2020-03-06,13.0,0.0
6611,9846,,Ecuador,2020-03-07,13.0,0.0
6612,9847,,Ecuador,2020-03-08,14.0,0.0
6613,9848,,Ecuador,2020-03-09,15.0,0.0
6614,9849,,Ecuador,2020-03-10,15.0,0.0
6615,9850,,Ecuador,2020-03-11,17.0,0.0
6616,9851,,Ecuador,2020-03-12,17.0,0.0
6617,9852,,Ecuador,2020-03-13,17.0,0.0
6618,9853,,Ecuador,2020-03-14,28.0,2.0
6619,9854,,Ecuador,2020-03-15,28.0,2.0
6620,9855,,Ecuador,2020-03-16,37.0,2.0
6621,9856,,Ecuador,2020-03-17,58.0,2.0
6622,9857,,Ecuador,2020-03-18,111.0,2.0
6623,9858,,Ecuador,2020-03-19,199.0,3.0
6624,9859,,Ecuador,2020-03-20,367.0,5.0
6625,9860,,Ecuador,2020-03-21,506.0,7.0
6626,9861,,Ecuador,2020-03-22,789.0,14.0
6627,9862,,Ecuador,2020-03-23,981.0,18.0
6628,9863,,Ecuador,2020-03-24,1082.0,27.0
6629,9864,,Ecuador,2020-03-25,1173.0,28.0
6630,9865,,Ecuador,2020-03-26,1403.0,34.0
6631,9866,,Ecuador,2020-03-27,1595.0,36.0
6632,9867,,Ecuador,2020-03-28,1823.0,48.0
