,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6700,10001,,El Salvador,2020-01-22,0.0,0.0
6701,10002,,El Salvador,2020-01-23,0.0,0.0
6702,10003,,El Salvador,2020-01-24,0.0,0.0
6703,10004,,El Salvador,2020-01-25,0.0,0.0
6704,10005,,El Salvador,2020-01-26,0.0,0.0
6705,10006,,El Salvador,2020-01-27,0.0,0.0
6706,10007,,El Salvador,2020-01-28,0.0,0.0
6707,10008,,El Salvador,2020-01-29,0.0,0.0
6708,10009,,El Salvador,2020-01-30,0.0,0.0
6709,10010,,El Salvador,2020-01-31,0.0,0.0
6710,10011,,El Salvador,2020-02-01,0.0,0.0
6711,10012,,El Salvador,2020-02-02,0.0,0.0
6712,10013,,El Salvador,2020-02-03,0.0,0.0
6713,10014,,El Salvador,2020-02-04,0.0,0.0
6714,10015,,El Salvador,2020-02-05,0.0,0.0
6715,10016,,El Salvador,2020-02-06,0.0,0.0
6716,10017,,El Salvador,2020-02-07,0.0,0.0
6717,10018,,El Salvador,2020-02-08,0.0,0.0
6718,10019,,El Salvador,2020-02-09,0.0,0.0
6719,10020,,El Salvador,2020-02-10,0.0,0.0
6720,10021,,El Salvador,2020-02-11,0.0,0.0
6721,10022,,El Salvador,2020-02-12,0.0,0.0
6722,10023,,El Salvador,2020-02-13,0.0,0.0
6723,10024,,El Salvador,2020-02-14,0.0,0.0
6724,10025,,El Salvador,2020-02-15,0.0,0.0
6725,10026,,El Salvador,2020-02-16,0.0,0.0
6726,10027,,El Salvador,2020-02-17,0.0,0.0
6727,10028,,El Salvador,2020-02-18,0.0,0.0
6728,10029,,El Salvador,2020-02-19,0.0,0.0
6729,10030,,El Salvador,2020-02-20,0.0,0.0
6730,10031,,El Salvador,2020-02-21,0.0,0.0
6731,10032,,El Salvador,2020-02-22,0.0,0.0
6732,10033,,El Salvador,2020-02-23,0.0,0.0
6733,10034,,El Salvador,2020-02-24,0.0,0.0
6734,10035,,El Salvador,2020-02-25,0.0,0.0
6735,10036,,El Salvador,2020-02-26,0.0,0.0
6736,10037,,El Salvador,2020-02-27,0.0,0.0
6737,10038,,El Salvador,2020-02-28,0.0,0.0
6738,10039,,El Salvador,2020-02-29,0.0,0.0
6739,10040,,El Salvador,2020-03-01,0.0,0.0
6740,10041,,El Salvador,2020-03-02,0.0,0.0
6741,10042,,El Salvador,2020-03-03,0.0,0.0
6742,10043,,El Salvador,2020-03-04,0.0,0.0
6743,10044,,El Salvador,2020-03-05,0.0,0.0
6744,10045,,El Salvador,2020-03-06,0.0,0.0
6745,10046,,El Salvador,2020-03-07,0.0,0.0
6746,10047,,El Salvador,2020-03-08,0.0,0.0
6747,10048,,El Salvador,2020-03-09,0.0,0.0
6748,10049,,El Salvador,2020-03-10,0.0,0.0
6749,10050,,El Salvador,2020-03-11,0.0,0.0
6750,10051,,El Salvador,2020-03-12,0.0,0.0
6751,10052,,El Salvador,2020-03-13,0.0,0.0
6752,10053,,El Salvador,2020-03-14,0.0,0.0
6753,10054,,El Salvador,2020-03-15,0.0,0.0
6754,10055,,El Salvador,2020-03-16,0.0,0.0
6755,10056,,El Salvador,2020-03-17,0.0,0.0
6756,10057,,El Salvador,2020-03-18,0.0,0.0
6757,10058,,El Salvador,2020-03-19,1.0,0.0
6758,10059,,El Salvador,2020-03-20,1.0,0.0
6759,10060,,El Salvador,2020-03-21,3.0,0.0
6760,10061,,El Salvador,2020-03-22,3.0,0.0
6761,10062,,El Salvador,2020-03-23,3.0,0.0
6762,10063,,El Salvador,2020-03-24,5.0,0.0
6763,10064,,El Salvador,2020-03-25,9.0,0.0
6764,10065,,El Salvador,2020-03-26,13.0,0.0
6765,10066,,El Salvador,2020-03-27,13.0,0.0
6766,10067,,El Salvador,2020-03-28,19.0,0.0
