,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6968,10401,,Eswatini,2020-01-22,0.0,0.0
6969,10402,,Eswatini,2020-01-23,0.0,0.0
6970,10403,,Eswatini,2020-01-24,0.0,0.0
6971,10404,,Eswatini,2020-01-25,0.0,0.0
6972,10405,,Eswatini,2020-01-26,0.0,0.0
6973,10406,,Eswatini,2020-01-27,0.0,0.0
6974,10407,,Eswatini,2020-01-28,0.0,0.0
6975,10408,,Eswatini,2020-01-29,0.0,0.0
6976,10409,,Eswatini,2020-01-30,0.0,0.0
6977,10410,,Eswatini,2020-01-31,0.0,0.0
6978,10411,,Eswatini,2020-02-01,0.0,0.0
6979,10412,,Eswatini,2020-02-02,0.0,0.0
6980,10413,,Eswatini,2020-02-03,0.0,0.0
6981,10414,,Eswatini,2020-02-04,0.0,0.0
6982,10415,,Eswatini,2020-02-05,0.0,0.0
6983,10416,,Eswatini,2020-02-06,0.0,0.0
6984,10417,,Eswatini,2020-02-07,0.0,0.0
6985,10418,,Eswatini,2020-02-08,0.0,0.0
6986,10419,,Eswatini,2020-02-09,0.0,0.0
6987,10420,,Eswatini,2020-02-10,0.0,0.0
6988,10421,,Eswatini,2020-02-11,0.0,0.0
6989,10422,,Eswatini,2020-02-12,0.0,0.0
6990,10423,,Eswatini,2020-02-13,0.0,0.0
6991,10424,,Eswatini,2020-02-14,0.0,0.0
6992,10425,,Eswatini,2020-02-15,0.0,0.0
6993,10426,,Eswatini,2020-02-16,0.0,0.0
6994,10427,,Eswatini,2020-02-17,0.0,0.0
6995,10428,,Eswatini,2020-02-18,0.0,0.0
6996,10429,,Eswatini,2020-02-19,0.0,0.0
6997,10430,,Eswatini,2020-02-20,0.0,0.0
6998,10431,,Eswatini,2020-02-21,0.0,0.0
6999,10432,,Eswatini,2020-02-22,0.0,0.0
7000,10433,,Eswatini,2020-02-23,0.0,0.0
7001,10434,,Eswatini,2020-02-24,0.0,0.0
7002,10435,,Eswatini,2020-02-25,0.0,0.0
7003,10436,,Eswatini,2020-02-26,0.0,0.0
7004,10437,,Eswatini,2020-02-27,0.0,0.0
7005,10438,,Eswatini,2020-02-28,0.0,0.0
7006,10439,,Eswatini,2020-02-29,0.0,0.0
7007,10440,,Eswatini,2020-03-01,0.0,0.0
7008,10441,,Eswatini,2020-03-02,0.0,0.0
7009,10442,,Eswatini,2020-03-03,0.0,0.0
7010,10443,,Eswatini,2020-03-04,0.0,0.0
7011,10444,,Eswatini,2020-03-05,0.0,0.0
7012,10445,,Eswatini,2020-03-06,0.0,0.0
7013,10446,,Eswatini,2020-03-07,0.0,0.0
7014,10447,,Eswatini,2020-03-08,0.0,0.0
7015,10448,,Eswatini,2020-03-09,0.0,0.0
7016,10449,,Eswatini,2020-03-10,0.0,0.0
7017,10450,,Eswatini,2020-03-11,0.0,0.0
7018,10451,,Eswatini,2020-03-12,0.0,0.0
7019,10452,,Eswatini,2020-03-13,0.0,0.0
7020,10453,,Eswatini,2020-03-14,1.0,0.0
7021,10454,,Eswatini,2020-03-15,1.0,0.0
7022,10455,,Eswatini,2020-03-16,1.0,0.0
7023,10456,,Eswatini,2020-03-17,1.0,0.0
7024,10457,,Eswatini,2020-03-18,1.0,0.0
7025,10458,,Eswatini,2020-03-19,1.0,0.0
7026,10459,,Eswatini,2020-03-20,1.0,0.0
7027,10460,,Eswatini,2020-03-21,1.0,0.0
7028,10461,,Eswatini,2020-03-22,4.0,0.0
7029,10462,,Eswatini,2020-03-23,4.0,0.0
7030,10463,,Eswatini,2020-03-24,4.0,0.0
7031,10464,,Eswatini,2020-03-25,4.0,0.0
7032,10465,,Eswatini,2020-03-26,6.0,0.0
7033,10466,,Eswatini,2020-03-27,9.0,0.0
7034,10467,,Eswatini,2020-03-28,9.0,0.0
