,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7236,10801,French Guiana,France,2020-01-22,0.0,0.0
7237,10802,French Guiana,France,2020-01-23,0.0,0.0
7238,10803,French Guiana,France,2020-01-24,0.0,0.0
7239,10804,French Guiana,France,2020-01-25,0.0,0.0
7240,10805,French Guiana,France,2020-01-26,0.0,0.0
7241,10806,French Guiana,France,2020-01-27,0.0,0.0
7242,10807,French Guiana,France,2020-01-28,0.0,0.0
7243,10808,French Guiana,France,2020-01-29,0.0,0.0
7244,10809,French Guiana,France,2020-01-30,0.0,0.0
7245,10810,French Guiana,France,2020-01-31,0.0,0.0
7246,10811,French Guiana,France,2020-02-01,0.0,0.0
7247,10812,French Guiana,France,2020-02-02,0.0,0.0
7248,10813,French Guiana,France,2020-02-03,0.0,0.0
7249,10814,French Guiana,France,2020-02-04,0.0,0.0
7250,10815,French Guiana,France,2020-02-05,0.0,0.0
7251,10816,French Guiana,France,2020-02-06,0.0,0.0
7252,10817,French Guiana,France,2020-02-07,0.0,0.0
7253,10818,French Guiana,France,2020-02-08,0.0,0.0
7254,10819,French Guiana,France,2020-02-09,0.0,0.0
7255,10820,French Guiana,France,2020-02-10,0.0,0.0
7256,10821,French Guiana,France,2020-02-11,0.0,0.0
7257,10822,French Guiana,France,2020-02-12,0.0,0.0
7258,10823,French Guiana,France,2020-02-13,0.0,0.0
7259,10824,French Guiana,France,2020-02-14,0.0,0.0
7260,10825,French Guiana,France,2020-02-15,0.0,0.0
7261,10826,French Guiana,France,2020-02-16,0.0,0.0
7262,10827,French Guiana,France,2020-02-17,0.0,0.0
7263,10828,French Guiana,France,2020-02-18,0.0,0.0
7264,10829,French Guiana,France,2020-02-19,0.0,0.0
7265,10830,French Guiana,France,2020-02-20,0.0,0.0
7266,10831,French Guiana,France,2020-02-21,0.0,0.0
7267,10832,French Guiana,France,2020-02-22,0.0,0.0
7268,10833,French Guiana,France,2020-02-23,0.0,0.0
7269,10834,French Guiana,France,2020-02-24,0.0,0.0
7270,10835,French Guiana,France,2020-02-25,0.0,0.0
7271,10836,French Guiana,France,2020-02-26,0.0,0.0
7272,10837,French Guiana,France,2020-02-27,0.0,0.0
7273,10838,French Guiana,France,2020-02-28,0.0,0.0
7274,10839,French Guiana,France,2020-02-29,0.0,0.0
7275,10840,French Guiana,France,2020-03-01,0.0,0.0
7276,10841,French Guiana,France,2020-03-02,0.0,0.0
7277,10842,French Guiana,France,2020-03-03,0.0,0.0
7278,10843,French Guiana,France,2020-03-04,0.0,0.0
7279,10844,French Guiana,France,2020-03-05,0.0,0.0
7280,10845,French Guiana,France,2020-03-06,0.0,0.0
7281,10846,French Guiana,France,2020-03-07,5.0,0.0
7282,10847,French Guiana,France,2020-03-08,5.0,0.0
7283,10848,French Guiana,France,2020-03-09,5.0,0.0
7284,10849,French Guiana,France,2020-03-10,5.0,0.0
7285,10850,French Guiana,France,2020-03-11,5.0,0.0
7286,10851,French Guiana,France,2020-03-12,5.0,0.0
7287,10852,French Guiana,France,2020-03-13,5.0,0.0
7288,10853,French Guiana,France,2020-03-14,5.0,0.0
7289,10854,French Guiana,France,2020-03-15,7.0,0.0
7290,10855,French Guiana,France,2020-03-16,11.0,0.0
7291,10856,French Guiana,France,2020-03-17,11.0,0.0
7292,10857,French Guiana,France,2020-03-18,11.0,0.0
7293,10858,French Guiana,France,2020-03-19,11.0,0.0
7294,10859,French Guiana,France,2020-03-20,15.0,0.0
7295,10860,French Guiana,France,2020-03-21,18.0,0.0
7296,10861,French Guiana,France,2020-03-22,18.0,0.0
7297,10862,French Guiana,France,2020-03-23,20.0,0.0
7298,10863,French Guiana,France,2020-03-24,23.0,0.0
7299,10864,French Guiana,France,2020-03-25,28.0,0.0
7300,10865,French Guiana,France,2020-03-26,28.0,0.0
7301,10866,French Guiana,France,2020-03-27,28.0,0.0
7302,10867,French Guiana,France,2020-03-28,28.0,0.0
