,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7504,11201,Mayotte,France,2020-01-22,0.0,0.0
7505,11202,Mayotte,France,2020-01-23,0.0,0.0
7506,11203,Mayotte,France,2020-01-24,0.0,0.0
7507,11204,Mayotte,France,2020-01-25,0.0,0.0
7508,11205,Mayotte,France,2020-01-26,0.0,0.0
7509,11206,Mayotte,France,2020-01-27,0.0,0.0
7510,11207,Mayotte,France,2020-01-28,0.0,0.0
7511,11208,Mayotte,France,2020-01-29,0.0,0.0
7512,11209,Mayotte,France,2020-01-30,0.0,0.0
7513,11210,Mayotte,France,2020-01-31,0.0,0.0
7514,11211,Mayotte,France,2020-02-01,0.0,0.0
7515,11212,Mayotte,France,2020-02-02,0.0,0.0
7516,11213,Mayotte,France,2020-02-03,0.0,0.0
7517,11214,Mayotte,France,2020-02-04,0.0,0.0
7518,11215,Mayotte,France,2020-02-05,0.0,0.0
7519,11216,Mayotte,France,2020-02-06,0.0,0.0
7520,11217,Mayotte,France,2020-02-07,0.0,0.0
7521,11218,Mayotte,France,2020-02-08,0.0,0.0
7522,11219,Mayotte,France,2020-02-09,0.0,0.0
7523,11220,Mayotte,France,2020-02-10,0.0,0.0
7524,11221,Mayotte,France,2020-02-11,0.0,0.0
7525,11222,Mayotte,France,2020-02-12,0.0,0.0
7526,11223,Mayotte,France,2020-02-13,0.0,0.0
7527,11224,Mayotte,France,2020-02-14,0.0,0.0
7528,11225,Mayotte,France,2020-02-15,0.0,0.0
7529,11226,Mayotte,France,2020-02-16,0.0,0.0
7530,11227,Mayotte,France,2020-02-17,0.0,0.0
7531,11228,Mayotte,France,2020-02-18,0.0,0.0
7532,11229,Mayotte,France,2020-02-19,0.0,0.0
7533,11230,Mayotte,France,2020-02-20,0.0,0.0
7534,11231,Mayotte,France,2020-02-21,0.0,0.0
7535,11232,Mayotte,France,2020-02-22,0.0,0.0
7536,11233,Mayotte,France,2020-02-23,0.0,0.0
7537,11234,Mayotte,France,2020-02-24,0.0,0.0
7538,11235,Mayotte,France,2020-02-25,0.0,0.0
7539,11236,Mayotte,France,2020-02-26,0.0,0.0
7540,11237,Mayotte,France,2020-02-27,0.0,0.0
7541,11238,Mayotte,France,2020-02-28,0.0,0.0
7542,11239,Mayotte,France,2020-02-29,0.0,0.0
7543,11240,Mayotte,France,2020-03-01,0.0,0.0
7544,11241,Mayotte,France,2020-03-02,0.0,0.0
7545,11242,Mayotte,France,2020-03-03,0.0,0.0
7546,11243,Mayotte,France,2020-03-04,0.0,0.0
7547,11244,Mayotte,France,2020-03-05,0.0,0.0
7548,11245,Mayotte,France,2020-03-06,0.0,0.0
7549,11246,Mayotte,France,2020-03-07,0.0,0.0
7550,11247,Mayotte,France,2020-03-08,0.0,0.0
7551,11248,Mayotte,France,2020-03-09,0.0,0.0
7552,11249,Mayotte,France,2020-03-10,0.0,0.0
7553,11250,Mayotte,France,2020-03-11,0.0,0.0
7554,11251,Mayotte,France,2020-03-12,0.0,0.0
7555,11252,Mayotte,France,2020-03-13,0.0,0.0
7556,11253,Mayotte,France,2020-03-14,0.0,0.0
7557,11254,Mayotte,France,2020-03-15,1.0,0.0
7558,11255,Mayotte,France,2020-03-16,1.0,0.0
7559,11256,Mayotte,France,2020-03-17,1.0,0.0
7560,11257,Mayotte,France,2020-03-18,3.0,0.0
7561,11258,Mayotte,France,2020-03-19,3.0,0.0
7562,11259,Mayotte,France,2020-03-20,6.0,0.0
7563,11260,Mayotte,France,2020-03-21,7.0,0.0
7564,11261,Mayotte,France,2020-03-22,11.0,0.0
7565,11262,Mayotte,France,2020-03-23,24.0,0.0
7566,11263,Mayotte,France,2020-03-24,36.0,0.0
7567,11264,Mayotte,France,2020-03-25,36.0,0.0
7568,11265,Mayotte,France,2020-03-26,36.0,0.0
7569,11266,Mayotte,France,2020-03-27,50.0,0.0
7570,11267,Mayotte,France,2020-03-28,63.0,0.0
