,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7638,11401,Reunion,France,2020-01-22,0.0,0.0
7639,11402,Reunion,France,2020-01-23,0.0,0.0
7640,11403,Reunion,France,2020-01-24,0.0,0.0
7641,11404,Reunion,France,2020-01-25,0.0,0.0
7642,11405,Reunion,France,2020-01-26,0.0,0.0
7643,11406,Reunion,France,2020-01-27,0.0,0.0
7644,11407,Reunion,France,2020-01-28,0.0,0.0
7645,11408,Reunion,France,2020-01-29,0.0,0.0
7646,11409,Reunion,France,2020-01-30,0.0,0.0
7647,11410,Reunion,France,2020-01-31,0.0,0.0
7648,11411,Reunion,France,2020-02-01,0.0,0.0
7649,11412,Reunion,France,2020-02-02,0.0,0.0
7650,11413,Reunion,France,2020-02-03,0.0,0.0
7651,11414,Reunion,France,2020-02-04,0.0,0.0
7652,11415,Reunion,France,2020-02-05,0.0,0.0
7653,11416,Reunion,France,2020-02-06,0.0,0.0
7654,11417,Reunion,France,2020-02-07,0.0,0.0
7655,11418,Reunion,France,2020-02-08,0.0,0.0
7656,11419,Reunion,France,2020-02-09,0.0,0.0
7657,11420,Reunion,France,2020-02-10,0.0,0.0
7658,11421,Reunion,France,2020-02-11,0.0,0.0
7659,11422,Reunion,France,2020-02-12,0.0,0.0
7660,11423,Reunion,France,2020-02-13,0.0,0.0
7661,11424,Reunion,France,2020-02-14,0.0,0.0
7662,11425,Reunion,France,2020-02-15,0.0,0.0
7663,11426,Reunion,France,2020-02-16,0.0,0.0
7664,11427,Reunion,France,2020-02-17,0.0,0.0
7665,11428,Reunion,France,2020-02-18,0.0,0.0
7666,11429,Reunion,France,2020-02-19,0.0,0.0
7667,11430,Reunion,France,2020-02-20,0.0,0.0
7668,11431,Reunion,France,2020-02-21,0.0,0.0
7669,11432,Reunion,France,2020-02-22,0.0,0.0
7670,11433,Reunion,France,2020-02-23,0.0,0.0
7671,11434,Reunion,France,2020-02-24,0.0,0.0
7672,11435,Reunion,France,2020-02-25,0.0,0.0
7673,11436,Reunion,France,2020-02-26,0.0,0.0
7674,11437,Reunion,France,2020-02-27,0.0,0.0
7675,11438,Reunion,France,2020-02-28,0.0,0.0
7676,11439,Reunion,France,2020-02-29,0.0,0.0
7677,11440,Reunion,France,2020-03-01,0.0,0.0
7678,11441,Reunion,France,2020-03-02,0.0,0.0
7679,11442,Reunion,France,2020-03-03,0.0,0.0
7680,11443,Reunion,France,2020-03-04,0.0,0.0
7681,11444,Reunion,France,2020-03-05,0.0,0.0
7682,11445,Reunion,France,2020-03-06,0.0,0.0
7683,11446,Reunion,France,2020-03-07,0.0,0.0
7684,11447,Reunion,France,2020-03-08,0.0,0.0
7685,11448,Reunion,France,2020-03-09,0.0,0.0
7686,11449,Reunion,France,2020-03-10,0.0,0.0
7687,11450,Reunion,France,2020-03-11,1.0,0.0
7688,11451,Reunion,France,2020-03-12,1.0,0.0
7689,11452,Reunion,France,2020-03-13,5.0,0.0
7690,11453,Reunion,France,2020-03-14,6.0,0.0
7691,11454,Reunion,France,2020-03-15,7.0,0.0
7692,11455,Reunion,France,2020-03-16,9.0,0.0
7693,11456,Reunion,France,2020-03-17,9.0,0.0
7694,11457,Reunion,France,2020-03-18,12.0,0.0
7695,11458,Reunion,France,2020-03-19,14.0,0.0
7696,11459,Reunion,France,2020-03-20,28.0,0.0
7697,11460,Reunion,France,2020-03-21,45.0,0.0
7698,11461,Reunion,France,2020-03-22,64.0,0.0
7699,11462,Reunion,France,2020-03-23,71.0,0.0
7700,11463,Reunion,France,2020-03-24,94.0,0.0
7701,11464,Reunion,France,2020-03-25,111.0,0.0
7702,11465,Reunion,France,2020-03-26,135.0,0.0
7703,11466,Reunion,France,2020-03-27,145.0,0.0
7704,11467,Reunion,France,2020-03-28,183.0,0.0
