,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7705,11501,Saint Barthelemy,France,2020-01-22,0.0,0.0
7706,11502,Saint Barthelemy,France,2020-01-23,0.0,0.0
7707,11503,Saint Barthelemy,France,2020-01-24,0.0,0.0
7708,11504,Saint Barthelemy,France,2020-01-25,0.0,0.0
7709,11505,Saint Barthelemy,France,2020-01-26,0.0,0.0
7710,11506,Saint Barthelemy,France,2020-01-27,0.0,0.0
7711,11507,Saint Barthelemy,France,2020-01-28,0.0,0.0
7712,11508,Saint Barthelemy,France,2020-01-29,0.0,0.0
7713,11509,Saint Barthelemy,France,2020-01-30,0.0,0.0
7714,11510,Saint Barthelemy,France,2020-01-31,0.0,0.0
7715,11511,Saint Barthelemy,France,2020-02-01,0.0,0.0
7716,11512,Saint Barthelemy,France,2020-02-02,0.0,0.0
7717,11513,Saint Barthelemy,France,2020-02-03,0.0,0.0
7718,11514,Saint Barthelemy,France,2020-02-04,0.0,0.0
7719,11515,Saint Barthelemy,France,2020-02-05,0.0,0.0
7720,11516,Saint Barthelemy,France,2020-02-06,0.0,0.0
7721,11517,Saint Barthelemy,France,2020-02-07,0.0,0.0
7722,11518,Saint Barthelemy,France,2020-02-08,0.0,0.0
7723,11519,Saint Barthelemy,France,2020-02-09,0.0,0.0
7724,11520,Saint Barthelemy,France,2020-02-10,0.0,0.0
7725,11521,Saint Barthelemy,France,2020-02-11,0.0,0.0
7726,11522,Saint Barthelemy,France,2020-02-12,0.0,0.0
7727,11523,Saint Barthelemy,France,2020-02-13,0.0,0.0
7728,11524,Saint Barthelemy,France,2020-02-14,0.0,0.0
7729,11525,Saint Barthelemy,France,2020-02-15,0.0,0.0
7730,11526,Saint Barthelemy,France,2020-02-16,0.0,0.0
7731,11527,Saint Barthelemy,France,2020-02-17,0.0,0.0
7732,11528,Saint Barthelemy,France,2020-02-18,0.0,0.0
7733,11529,Saint Barthelemy,France,2020-02-19,0.0,0.0
7734,11530,Saint Barthelemy,France,2020-02-20,0.0,0.0
7735,11531,Saint Barthelemy,France,2020-02-21,0.0,0.0
7736,11532,Saint Barthelemy,France,2020-02-22,0.0,0.0
7737,11533,Saint Barthelemy,France,2020-02-23,0.0,0.0
7738,11534,Saint Barthelemy,France,2020-02-24,0.0,0.0
7739,11535,Saint Barthelemy,France,2020-02-25,0.0,0.0
7740,11536,Saint Barthelemy,France,2020-02-26,0.0,0.0
7741,11537,Saint Barthelemy,France,2020-02-27,0.0,0.0
7742,11538,Saint Barthelemy,France,2020-02-28,0.0,0.0
7743,11539,Saint Barthelemy,France,2020-02-29,0.0,0.0
7744,11540,Saint Barthelemy,France,2020-03-01,0.0,0.0
7745,11541,Saint Barthelemy,France,2020-03-02,0.0,0.0
7746,11542,Saint Barthelemy,France,2020-03-03,0.0,0.0
7747,11543,Saint Barthelemy,France,2020-03-04,3.0,0.0
7748,11544,Saint Barthelemy,France,2020-03-05,3.0,0.0
7749,11545,Saint Barthelemy,France,2020-03-06,3.0,0.0
7750,11546,Saint Barthelemy,France,2020-03-07,3.0,0.0
7751,11547,Saint Barthelemy,France,2020-03-08,3.0,0.0
7752,11548,Saint Barthelemy,France,2020-03-09,1.0,0.0
7753,11549,Saint Barthelemy,France,2020-03-10,1.0,0.0
7754,11550,Saint Barthelemy,France,2020-03-11,1.0,0.0
7755,11551,Saint Barthelemy,France,2020-03-12,1.0,0.0
7756,11552,Saint Barthelemy,France,2020-03-13,1.0,0.0
7757,11553,Saint Barthelemy,France,2020-03-14,1.0,0.0
7758,11554,Saint Barthelemy,France,2020-03-15,1.0,0.0
7759,11555,Saint Barthelemy,France,2020-03-16,3.0,0.0
7760,11556,Saint Barthelemy,France,2020-03-17,3.0,0.0
7761,11557,Saint Barthelemy,France,2020-03-18,3.0,0.0
7762,11558,Saint Barthelemy,France,2020-03-19,3.0,0.0
7763,11559,Saint Barthelemy,France,2020-03-20,3.0,0.0
7764,11560,Saint Barthelemy,France,2020-03-21,3.0,0.0
7765,11561,Saint Barthelemy,France,2020-03-22,3.0,0.0
7766,11562,Saint Barthelemy,France,2020-03-23,3.0,0.0
7767,11563,Saint Barthelemy,France,2020-03-24,3.0,0.0
7768,11564,Saint Barthelemy,France,2020-03-25,3.0,0.0
7769,11565,Saint Barthelemy,France,2020-03-26,3.0,0.0
7770,11566,Saint Barthelemy,France,2020-03-27,5.0,0.0
7771,11567,Saint Barthelemy,France,2020-03-28,5.0,0.0
