,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7839,11701,,France,2020-01-22,0.0,0.0
7840,11702,,France,2020-01-23,0.0,0.0
7841,11703,,France,2020-01-24,2.0,0.0
7842,11704,,France,2020-01-25,3.0,0.0
7843,11705,,France,2020-01-26,3.0,0.0
7844,11706,,France,2020-01-27,3.0,0.0
7845,11707,,France,2020-01-28,4.0,0.0
7846,11708,,France,2020-01-29,5.0,0.0
7847,11709,,France,2020-01-30,5.0,0.0
7848,11710,,France,2020-01-31,5.0,0.0
7849,11711,,France,2020-02-01,6.0,0.0
7850,11712,,France,2020-02-02,6.0,0.0
7851,11713,,France,2020-02-03,6.0,0.0
7852,11714,,France,2020-02-04,6.0,0.0
7853,11715,,France,2020-02-05,6.0,0.0
7854,11716,,France,2020-02-06,6.0,0.0
7855,11717,,France,2020-02-07,6.0,0.0
7856,11718,,France,2020-02-08,11.0,0.0
7857,11719,,France,2020-02-09,11.0,0.0
7858,11720,,France,2020-02-10,11.0,0.0
7859,11721,,France,2020-02-11,11.0,0.0
7860,11722,,France,2020-02-12,11.0,0.0
7861,11723,,France,2020-02-13,11.0,0.0
7862,11724,,France,2020-02-14,11.0,0.0
7863,11725,,France,2020-02-15,12.0,1.0
7864,11726,,France,2020-02-16,12.0,1.0
7865,11727,,France,2020-02-17,12.0,1.0
7866,11728,,France,2020-02-18,12.0,1.0
7867,11729,,France,2020-02-19,12.0,1.0
7868,11730,,France,2020-02-20,12.0,1.0
7869,11731,,France,2020-02-21,12.0,1.0
7870,11732,,France,2020-02-22,12.0,1.0
7871,11733,,France,2020-02-23,12.0,1.0
7872,11734,,France,2020-02-24,12.0,1.0
7873,11735,,France,2020-02-25,14.0,1.0
7874,11736,,France,2020-02-26,18.0,2.0
7875,11737,,France,2020-02-27,38.0,2.0
7876,11738,,France,2020-02-28,57.0,2.0
7877,11739,,France,2020-02-29,100.0,2.0
7878,11740,,France,2020-03-01,130.0,2.0
7879,11741,,France,2020-03-02,191.0,3.0
7880,11742,,France,2020-03-03,204.0,4.0
7881,11743,,France,2020-03-04,285.0,4.0
7882,11744,,France,2020-03-05,377.0,6.0
7883,11745,,France,2020-03-06,653.0,9.0
7884,11746,,France,2020-03-07,949.0,11.0
7885,11747,,France,2020-03-08,1126.0,19.0
7886,11748,,France,2020-03-09,1209.0,19.0
7887,11749,,France,2020-03-10,1784.0,33.0
7888,11750,,France,2020-03-11,2281.0,48.0
7889,11751,,France,2020-03-12,2281.0,48.0
7890,11752,,France,2020-03-13,3661.0,79.0
7891,11753,,France,2020-03-14,4469.0,91.0
7892,11754,,France,2020-03-15,4499.0,91.0
7893,11755,,France,2020-03-16,6633.0,148.0
7894,11756,,France,2020-03-17,7652.0,148.0
7895,11757,,France,2020-03-18,9043.0,148.0
7896,11758,,France,2020-03-19,10871.0,243.0
7897,11759,,France,2020-03-20,12612.0,450.0
7898,11760,,France,2020-03-21,14282.0,562.0
7899,11761,,France,2020-03-22,16018.0,674.0
7900,11762,,France,2020-03-23,19856.0,860.0
7901,11763,,France,2020-03-24,22304.0,1100.0
7902,11764,,France,2020-03-25,25233.0,1331.0
7903,11765,,France,2020-03-26,29155.0,1696.0
7904,11766,,France,2020-03-27,32964.0,1995.0
7905,11767,,France,2020-03-28,37575.0,2314.0
