,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7906,11801,,Gabon,2020-01-22,0.0,0.0
7907,11802,,Gabon,2020-01-23,0.0,0.0
7908,11803,,Gabon,2020-01-24,0.0,0.0
7909,11804,,Gabon,2020-01-25,0.0,0.0
7910,11805,,Gabon,2020-01-26,0.0,0.0
7911,11806,,Gabon,2020-01-27,0.0,0.0
7912,11807,,Gabon,2020-01-28,0.0,0.0
7913,11808,,Gabon,2020-01-29,0.0,0.0
7914,11809,,Gabon,2020-01-30,0.0,0.0
7915,11810,,Gabon,2020-01-31,0.0,0.0
7916,11811,,Gabon,2020-02-01,0.0,0.0
7917,11812,,Gabon,2020-02-02,0.0,0.0
7918,11813,,Gabon,2020-02-03,0.0,0.0
7919,11814,,Gabon,2020-02-04,0.0,0.0
7920,11815,,Gabon,2020-02-05,0.0,0.0
7921,11816,,Gabon,2020-02-06,0.0,0.0
7922,11817,,Gabon,2020-02-07,0.0,0.0
7923,11818,,Gabon,2020-02-08,0.0,0.0
7924,11819,,Gabon,2020-02-09,0.0,0.0
7925,11820,,Gabon,2020-02-10,0.0,0.0
7926,11821,,Gabon,2020-02-11,0.0,0.0
7927,11822,,Gabon,2020-02-12,0.0,0.0
7928,11823,,Gabon,2020-02-13,0.0,0.0
7929,11824,,Gabon,2020-02-14,0.0,0.0
7930,11825,,Gabon,2020-02-15,0.0,0.0
7931,11826,,Gabon,2020-02-16,0.0,0.0
7932,11827,,Gabon,2020-02-17,0.0,0.0
7933,11828,,Gabon,2020-02-18,0.0,0.0
7934,11829,,Gabon,2020-02-19,0.0,0.0
7935,11830,,Gabon,2020-02-20,0.0,0.0
7936,11831,,Gabon,2020-02-21,0.0,0.0
7937,11832,,Gabon,2020-02-22,0.0,0.0
7938,11833,,Gabon,2020-02-23,0.0,0.0
7939,11834,,Gabon,2020-02-24,0.0,0.0
7940,11835,,Gabon,2020-02-25,0.0,0.0
7941,11836,,Gabon,2020-02-26,0.0,0.0
7942,11837,,Gabon,2020-02-27,0.0,0.0
7943,11838,,Gabon,2020-02-28,0.0,0.0
7944,11839,,Gabon,2020-02-29,0.0,0.0
7945,11840,,Gabon,2020-03-01,0.0,0.0
7946,11841,,Gabon,2020-03-02,0.0,0.0
7947,11842,,Gabon,2020-03-03,0.0,0.0
7948,11843,,Gabon,2020-03-04,0.0,0.0
7949,11844,,Gabon,2020-03-05,0.0,0.0
7950,11845,,Gabon,2020-03-06,0.0,0.0
7951,11846,,Gabon,2020-03-07,0.0,0.0
7952,11847,,Gabon,2020-03-08,0.0,0.0
7953,11848,,Gabon,2020-03-09,0.0,0.0
7954,11849,,Gabon,2020-03-10,0.0,0.0
7955,11850,,Gabon,2020-03-11,0.0,0.0
7956,11851,,Gabon,2020-03-12,0.0,0.0
7957,11852,,Gabon,2020-03-13,0.0,0.0
7958,11853,,Gabon,2020-03-14,1.0,0.0
7959,11854,,Gabon,2020-03-15,1.0,0.0
7960,11855,,Gabon,2020-03-16,1.0,0.0
7961,11856,,Gabon,2020-03-17,1.0,0.0
7962,11857,,Gabon,2020-03-18,1.0,0.0
7963,11858,,Gabon,2020-03-19,1.0,0.0
7964,11859,,Gabon,2020-03-20,3.0,1.0
7965,11860,,Gabon,2020-03-21,4.0,1.0
7966,11861,,Gabon,2020-03-22,5.0,1.0
7967,11862,,Gabon,2020-03-23,5.0,1.0
7968,11863,,Gabon,2020-03-24,6.0,1.0
7969,11864,,Gabon,2020-03-25,6.0,1.0
7970,11865,,Gabon,2020-03-26,7.0,1.0
7971,11866,,Gabon,2020-03-27,7.0,1.0
7972,11867,,Gabon,2020-03-28,7.0,1.0
