,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7973,11901,,Gambia,2020-01-22,0.0,0.0
7974,11902,,Gambia,2020-01-23,0.0,0.0
7975,11903,,Gambia,2020-01-24,0.0,0.0
7976,11904,,Gambia,2020-01-25,0.0,0.0
7977,11905,,Gambia,2020-01-26,0.0,0.0
7978,11906,,Gambia,2020-01-27,0.0,0.0
7979,11907,,Gambia,2020-01-28,0.0,0.0
7980,11908,,Gambia,2020-01-29,0.0,0.0
7981,11909,,Gambia,2020-01-30,0.0,0.0
7982,11910,,Gambia,2020-01-31,0.0,0.0
7983,11911,,Gambia,2020-02-01,0.0,0.0
7984,11912,,Gambia,2020-02-02,0.0,0.0
7985,11913,,Gambia,2020-02-03,0.0,0.0
7986,11914,,Gambia,2020-02-04,0.0,0.0
7987,11915,,Gambia,2020-02-05,0.0,0.0
7988,11916,,Gambia,2020-02-06,0.0,0.0
7989,11917,,Gambia,2020-02-07,0.0,0.0
7990,11918,,Gambia,2020-02-08,0.0,0.0
7991,11919,,Gambia,2020-02-09,0.0,0.0
7992,11920,,Gambia,2020-02-10,0.0,0.0
7993,11921,,Gambia,2020-02-11,0.0,0.0
7994,11922,,Gambia,2020-02-12,0.0,0.0
7995,11923,,Gambia,2020-02-13,0.0,0.0
7996,11924,,Gambia,2020-02-14,0.0,0.0
7997,11925,,Gambia,2020-02-15,0.0,0.0
7998,11926,,Gambia,2020-02-16,0.0,0.0
7999,11927,,Gambia,2020-02-17,0.0,0.0
8000,11928,,Gambia,2020-02-18,0.0,0.0
8001,11929,,Gambia,2020-02-19,0.0,0.0
8002,11930,,Gambia,2020-02-20,0.0,0.0
8003,11931,,Gambia,2020-02-21,0.0,0.0
8004,11932,,Gambia,2020-02-22,0.0,0.0
8005,11933,,Gambia,2020-02-23,0.0,0.0
8006,11934,,Gambia,2020-02-24,0.0,0.0
8007,11935,,Gambia,2020-02-25,0.0,0.0
8008,11936,,Gambia,2020-02-26,0.0,0.0
8009,11937,,Gambia,2020-02-27,0.0,0.0
8010,11938,,Gambia,2020-02-28,0.0,0.0
8011,11939,,Gambia,2020-02-29,0.0,0.0
8012,11940,,Gambia,2020-03-01,0.0,0.0
8013,11941,,Gambia,2020-03-02,0.0,0.0
8014,11942,,Gambia,2020-03-03,0.0,0.0
8015,11943,,Gambia,2020-03-04,0.0,0.0
8016,11944,,Gambia,2020-03-05,0.0,0.0
8017,11945,,Gambia,2020-03-06,0.0,0.0
8018,11946,,Gambia,2020-03-07,0.0,0.0
8019,11947,,Gambia,2020-03-08,0.0,0.0
8020,11948,,Gambia,2020-03-09,0.0,0.0
8021,11949,,Gambia,2020-03-10,0.0,0.0
8022,11950,,Gambia,2020-03-11,0.0,0.0
8023,11951,,Gambia,2020-03-12,0.0,0.0
8024,11952,,Gambia,2020-03-13,0.0,0.0
8025,11953,,Gambia,2020-03-14,0.0,0.0
8026,11954,,Gambia,2020-03-15,0.0,0.0
8027,11955,,Gambia,2020-03-16,0.0,0.0
8028,11956,,Gambia,2020-03-17,1.0,0.0
8029,11957,,Gambia,2020-03-18,1.0,0.0
8030,11958,,Gambia,2020-03-19,1.0,0.0
8031,11959,,Gambia,2020-03-20,1.0,0.0
8032,11960,,Gambia,2020-03-21,1.0,0.0
8033,11961,,Gambia,2020-03-22,1.0,0.0
8034,11962,,Gambia,2020-03-23,2.0,1.0
8035,11963,,Gambia,2020-03-24,3.0,1.0
8036,11964,,Gambia,2020-03-25,3.0,1.0
8037,11965,,Gambia,2020-03-26,3.0,1.0
8038,11966,,Gambia,2020-03-27,3.0,1.0
8039,11967,,Gambia,2020-03-28,3.0,1.0
