,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8107,12101,,Germany,2020-01-22,0.0,0.0
8108,12102,,Germany,2020-01-23,0.0,0.0
8109,12103,,Germany,2020-01-24,0.0,0.0
8110,12104,,Germany,2020-01-25,0.0,0.0
8111,12105,,Germany,2020-01-26,0.0,0.0
8112,12106,,Germany,2020-01-27,1.0,0.0
8113,12107,,Germany,2020-01-28,4.0,0.0
8114,12108,,Germany,2020-01-29,4.0,0.0
8115,12109,,Germany,2020-01-30,4.0,0.0
8116,12110,,Germany,2020-01-31,5.0,0.0
8117,12111,,Germany,2020-02-01,8.0,0.0
8118,12112,,Germany,2020-02-02,10.0,0.0
8119,12113,,Germany,2020-02-03,12.0,0.0
8120,12114,,Germany,2020-02-04,12.0,0.0
8121,12115,,Germany,2020-02-05,12.0,0.0
8122,12116,,Germany,2020-02-06,12.0,0.0
8123,12117,,Germany,2020-02-07,13.0,0.0
8124,12118,,Germany,2020-02-08,13.0,0.0
8125,12119,,Germany,2020-02-09,14.0,0.0
8126,12120,,Germany,2020-02-10,14.0,0.0
8127,12121,,Germany,2020-02-11,16.0,0.0
8128,12122,,Germany,2020-02-12,16.0,0.0
8129,12123,,Germany,2020-02-13,16.0,0.0
8130,12124,,Germany,2020-02-14,16.0,0.0
8131,12125,,Germany,2020-02-15,16.0,0.0
8132,12126,,Germany,2020-02-16,16.0,0.0
8133,12127,,Germany,2020-02-17,16.0,0.0
8134,12128,,Germany,2020-02-18,16.0,0.0
8135,12129,,Germany,2020-02-19,16.0,0.0
8136,12130,,Germany,2020-02-20,16.0,0.0
8137,12131,,Germany,2020-02-21,16.0,0.0
8138,12132,,Germany,2020-02-22,16.0,0.0
8139,12133,,Germany,2020-02-23,16.0,0.0
8140,12134,,Germany,2020-02-24,16.0,0.0
8141,12135,,Germany,2020-02-25,17.0,0.0
8142,12136,,Germany,2020-02-26,27.0,0.0
8143,12137,,Germany,2020-02-27,46.0,0.0
8144,12138,,Germany,2020-02-28,48.0,0.0
8145,12139,,Germany,2020-02-29,79.0,0.0
8146,12140,,Germany,2020-03-01,130.0,0.0
8147,12141,,Germany,2020-03-02,159.0,0.0
8148,12142,,Germany,2020-03-03,196.0,0.0
8149,12143,,Germany,2020-03-04,262.0,0.0
8150,12144,,Germany,2020-03-05,482.0,0.0
8151,12145,,Germany,2020-03-06,670.0,0.0
8152,12146,,Germany,2020-03-07,799.0,0.0
8153,12147,,Germany,2020-03-08,1040.0,0.0
8154,12148,,Germany,2020-03-09,1176.0,2.0
8155,12149,,Germany,2020-03-10,1457.0,2.0
8156,12150,,Germany,2020-03-11,1908.0,3.0
8157,12151,,Germany,2020-03-12,2078.0,3.0
8158,12152,,Germany,2020-03-13,3675.0,7.0
8159,12153,,Germany,2020-03-14,4585.0,9.0
8160,12154,,Germany,2020-03-15,5795.0,11.0
8161,12155,,Germany,2020-03-16,7272.0,17.0
8162,12156,,Germany,2020-03-17,9257.0,24.0
8163,12157,,Germany,2020-03-18,12327.0,28.0
8164,12158,,Germany,2020-03-19,15320.0,44.0
8165,12159,,Germany,2020-03-20,19848.0,67.0
8166,12160,,Germany,2020-03-21,22213.0,84.0
8167,12161,,Germany,2020-03-22,24873.0,94.0
8168,12162,,Germany,2020-03-23,29056.0,123.0
8169,12163,,Germany,2020-03-24,32986.0,157.0
8170,12164,,Germany,2020-03-25,37323.0,206.0
8171,12165,,Germany,2020-03-26,43938.0,267.0
8172,12166,,Germany,2020-03-27,50871.0,342.0
8173,12167,,Germany,2020-03-28,57695.0,433.0
