,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8375,12501,,Guatemala,2020-01-22,0.0,0.0
8376,12502,,Guatemala,2020-01-23,0.0,0.0
8377,12503,,Guatemala,2020-01-24,0.0,0.0
8378,12504,,Guatemala,2020-01-25,0.0,0.0
8379,12505,,Guatemala,2020-01-26,0.0,0.0
8380,12506,,Guatemala,2020-01-27,0.0,0.0
8381,12507,,Guatemala,2020-01-28,0.0,0.0
8382,12508,,Guatemala,2020-01-29,0.0,0.0
8383,12509,,Guatemala,2020-01-30,0.0,0.0
8384,12510,,Guatemala,2020-01-31,0.0,0.0
8385,12511,,Guatemala,2020-02-01,0.0,0.0
8386,12512,,Guatemala,2020-02-02,0.0,0.0
8387,12513,,Guatemala,2020-02-03,0.0,0.0
8388,12514,,Guatemala,2020-02-04,0.0,0.0
8389,12515,,Guatemala,2020-02-05,0.0,0.0
8390,12516,,Guatemala,2020-02-06,0.0,0.0
8391,12517,,Guatemala,2020-02-07,0.0,0.0
8392,12518,,Guatemala,2020-02-08,0.0,0.0
8393,12519,,Guatemala,2020-02-09,0.0,0.0
8394,12520,,Guatemala,2020-02-10,0.0,0.0
8395,12521,,Guatemala,2020-02-11,0.0,0.0
8396,12522,,Guatemala,2020-02-12,0.0,0.0
8397,12523,,Guatemala,2020-02-13,0.0,0.0
8398,12524,,Guatemala,2020-02-14,0.0,0.0
8399,12525,,Guatemala,2020-02-15,0.0,0.0
8400,12526,,Guatemala,2020-02-16,0.0,0.0
8401,12527,,Guatemala,2020-02-17,0.0,0.0
8402,12528,,Guatemala,2020-02-18,0.0,0.0
8403,12529,,Guatemala,2020-02-19,0.0,0.0
8404,12530,,Guatemala,2020-02-20,0.0,0.0
8405,12531,,Guatemala,2020-02-21,0.0,0.0
8406,12532,,Guatemala,2020-02-22,0.0,0.0
8407,12533,,Guatemala,2020-02-23,0.0,0.0
8408,12534,,Guatemala,2020-02-24,0.0,0.0
8409,12535,,Guatemala,2020-02-25,0.0,0.0
8410,12536,,Guatemala,2020-02-26,0.0,0.0
8411,12537,,Guatemala,2020-02-27,0.0,0.0
8412,12538,,Guatemala,2020-02-28,0.0,0.0
8413,12539,,Guatemala,2020-02-29,0.0,0.0
8414,12540,,Guatemala,2020-03-01,0.0,0.0
8415,12541,,Guatemala,2020-03-02,0.0,0.0
8416,12542,,Guatemala,2020-03-03,0.0,0.0
8417,12543,,Guatemala,2020-03-04,0.0,0.0
8418,12544,,Guatemala,2020-03-05,0.0,0.0
8419,12545,,Guatemala,2020-03-06,0.0,0.0
8420,12546,,Guatemala,2020-03-07,0.0,0.0
8421,12547,,Guatemala,2020-03-08,0.0,0.0
8422,12548,,Guatemala,2020-03-09,0.0,0.0
8423,12549,,Guatemala,2020-03-10,0.0,0.0
8424,12550,,Guatemala,2020-03-11,0.0,0.0
8425,12551,,Guatemala,2020-03-12,0.0,0.0
8426,12552,,Guatemala,2020-03-13,0.0,0.0
8427,12553,,Guatemala,2020-03-14,1.0,0.0
8428,12554,,Guatemala,2020-03-15,1.0,0.0
8429,12555,,Guatemala,2020-03-16,2.0,1.0
8430,12556,,Guatemala,2020-03-17,6.0,1.0
8431,12557,,Guatemala,2020-03-18,6.0,1.0
8432,12558,,Guatemala,2020-03-19,9.0,1.0
8433,12559,,Guatemala,2020-03-20,12.0,1.0
8434,12560,,Guatemala,2020-03-21,17.0,1.0
8435,12561,,Guatemala,2020-03-22,19.0,1.0
8436,12562,,Guatemala,2020-03-23,20.0,1.0
8437,12563,,Guatemala,2020-03-24,21.0,1.0
8438,12564,,Guatemala,2020-03-25,24.0,1.0
8439,12565,,Guatemala,2020-03-26,25.0,1.0
8440,12566,,Guatemala,2020-03-27,28.0,1.0
8441,12567,,Guatemala,2020-03-28,34.0,1.0
