,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8576,12801,,Guyana,2020-01-22,0.0,0.0
8577,12802,,Guyana,2020-01-23,0.0,0.0
8578,12803,,Guyana,2020-01-24,0.0,0.0
8579,12804,,Guyana,2020-01-25,0.0,0.0
8580,12805,,Guyana,2020-01-26,0.0,0.0
8581,12806,,Guyana,2020-01-27,0.0,0.0
8582,12807,,Guyana,2020-01-28,0.0,0.0
8583,12808,,Guyana,2020-01-29,0.0,0.0
8584,12809,,Guyana,2020-01-30,0.0,0.0
8585,12810,,Guyana,2020-01-31,0.0,0.0
8586,12811,,Guyana,2020-02-01,0.0,0.0
8587,12812,,Guyana,2020-02-02,0.0,0.0
8588,12813,,Guyana,2020-02-03,0.0,0.0
8589,12814,,Guyana,2020-02-04,0.0,0.0
8590,12815,,Guyana,2020-02-05,0.0,0.0
8591,12816,,Guyana,2020-02-06,0.0,0.0
8592,12817,,Guyana,2020-02-07,0.0,0.0
8593,12818,,Guyana,2020-02-08,0.0,0.0
8594,12819,,Guyana,2020-02-09,0.0,0.0
8595,12820,,Guyana,2020-02-10,0.0,0.0
8596,12821,,Guyana,2020-02-11,0.0,0.0
8597,12822,,Guyana,2020-02-12,0.0,0.0
8598,12823,,Guyana,2020-02-13,0.0,0.0
8599,12824,,Guyana,2020-02-14,0.0,0.0
8600,12825,,Guyana,2020-02-15,0.0,0.0
8601,12826,,Guyana,2020-02-16,0.0,0.0
8602,12827,,Guyana,2020-02-17,0.0,0.0
8603,12828,,Guyana,2020-02-18,0.0,0.0
8604,12829,,Guyana,2020-02-19,0.0,0.0
8605,12830,,Guyana,2020-02-20,0.0,0.0
8606,12831,,Guyana,2020-02-21,0.0,0.0
8607,12832,,Guyana,2020-02-22,0.0,0.0
8608,12833,,Guyana,2020-02-23,0.0,0.0
8609,12834,,Guyana,2020-02-24,0.0,0.0
8610,12835,,Guyana,2020-02-25,0.0,0.0
8611,12836,,Guyana,2020-02-26,0.0,0.0
8612,12837,,Guyana,2020-02-27,0.0,0.0
8613,12838,,Guyana,2020-02-28,0.0,0.0
8614,12839,,Guyana,2020-02-29,0.0,0.0
8615,12840,,Guyana,2020-03-01,0.0,0.0
8616,12841,,Guyana,2020-03-02,0.0,0.0
8617,12842,,Guyana,2020-03-03,0.0,0.0
8618,12843,,Guyana,2020-03-04,0.0,0.0
8619,12844,,Guyana,2020-03-05,0.0,0.0
8620,12845,,Guyana,2020-03-06,0.0,0.0
8621,12846,,Guyana,2020-03-07,0.0,0.0
8622,12847,,Guyana,2020-03-08,0.0,0.0
8623,12848,,Guyana,2020-03-09,0.0,0.0
8624,12849,,Guyana,2020-03-10,0.0,0.0
8625,12850,,Guyana,2020-03-11,0.0,0.0
8626,12851,,Guyana,2020-03-12,1.0,1.0
8627,12852,,Guyana,2020-03-13,1.0,1.0
8628,12853,,Guyana,2020-03-14,1.0,1.0
8629,12854,,Guyana,2020-03-15,4.0,1.0
8630,12855,,Guyana,2020-03-16,4.0,1.0
8631,12856,,Guyana,2020-03-17,7.0,1.0
8632,12857,,Guyana,2020-03-18,7.0,1.0
8633,12858,,Guyana,2020-03-19,7.0,1.0
8634,12859,,Guyana,2020-03-20,7.0,1.0
8635,12860,,Guyana,2020-03-21,7.0,1.0
8636,12861,,Guyana,2020-03-22,19.0,1.0
8637,12862,,Guyana,2020-03-23,20.0,1.0
8638,12863,,Guyana,2020-03-24,5.0,1.0
8639,12864,,Guyana,2020-03-25,5.0,1.0
8640,12865,,Guyana,2020-03-26,5.0,1.0
8641,12866,,Guyana,2020-03-27,5.0,1.0
8642,12867,,Guyana,2020-03-28,8.0,1.0
