,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8911,13301,,Iceland,2020-01-22,0.0,0.0
8912,13302,,Iceland,2020-01-23,0.0,0.0
8913,13303,,Iceland,2020-01-24,0.0,0.0
8914,13304,,Iceland,2020-01-25,0.0,0.0
8915,13305,,Iceland,2020-01-26,0.0,0.0
8916,13306,,Iceland,2020-01-27,0.0,0.0
8917,13307,,Iceland,2020-01-28,0.0,0.0
8918,13308,,Iceland,2020-01-29,0.0,0.0
8919,13309,,Iceland,2020-01-30,0.0,0.0
8920,13310,,Iceland,2020-01-31,0.0,0.0
8921,13311,,Iceland,2020-02-01,0.0,0.0
8922,13312,,Iceland,2020-02-02,0.0,0.0
8923,13313,,Iceland,2020-02-03,0.0,0.0
8924,13314,,Iceland,2020-02-04,0.0,0.0
8925,13315,,Iceland,2020-02-05,0.0,0.0
8926,13316,,Iceland,2020-02-06,0.0,0.0
8927,13317,,Iceland,2020-02-07,0.0,0.0
8928,13318,,Iceland,2020-02-08,0.0,0.0
8929,13319,,Iceland,2020-02-09,0.0,0.0
8930,13320,,Iceland,2020-02-10,0.0,0.0
8931,13321,,Iceland,2020-02-11,0.0,0.0
8932,13322,,Iceland,2020-02-12,0.0,0.0
8933,13323,,Iceland,2020-02-13,0.0,0.0
8934,13324,,Iceland,2020-02-14,0.0,0.0
8935,13325,,Iceland,2020-02-15,0.0,0.0
8936,13326,,Iceland,2020-02-16,0.0,0.0
8937,13327,,Iceland,2020-02-17,0.0,0.0
8938,13328,,Iceland,2020-02-18,0.0,0.0
8939,13329,,Iceland,2020-02-19,0.0,0.0
8940,13330,,Iceland,2020-02-20,0.0,0.0
8941,13331,,Iceland,2020-02-21,0.0,0.0
8942,13332,,Iceland,2020-02-22,0.0,0.0
8943,13333,,Iceland,2020-02-23,0.0,0.0
8944,13334,,Iceland,2020-02-24,0.0,0.0
8945,13335,,Iceland,2020-02-25,0.0,0.0
8946,13336,,Iceland,2020-02-26,0.0,0.0
8947,13337,,Iceland,2020-02-27,0.0,0.0
8948,13338,,Iceland,2020-02-28,1.0,0.0
8949,13339,,Iceland,2020-02-29,1.0,0.0
8950,13340,,Iceland,2020-03-01,3.0,0.0
8951,13341,,Iceland,2020-03-02,6.0,0.0
8952,13342,,Iceland,2020-03-03,11.0,0.0
8953,13343,,Iceland,2020-03-04,26.0,0.0
8954,13344,,Iceland,2020-03-05,34.0,0.0
8955,13345,,Iceland,2020-03-06,43.0,0.0
8956,13346,,Iceland,2020-03-07,50.0,0.0
8957,13347,,Iceland,2020-03-08,50.0,0.0
8958,13348,,Iceland,2020-03-09,58.0,0.0
8959,13349,,Iceland,2020-03-10,69.0,0.0
8960,13350,,Iceland,2020-03-11,85.0,0.0
8961,13351,,Iceland,2020-03-12,103.0,0.0
8962,13352,,Iceland,2020-03-13,134.0,0.0
8963,13353,,Iceland,2020-03-14,156.0,0.0
8964,13354,,Iceland,2020-03-15,171.0,5.0
8965,13355,,Iceland,2020-03-16,180.0,0.0
8966,13356,,Iceland,2020-03-17,220.0,1.0
8967,13357,,Iceland,2020-03-18,250.0,1.0
8968,13358,,Iceland,2020-03-19,330.0,1.0
8969,13359,,Iceland,2020-03-20,409.0,0.0
8970,13360,,Iceland,2020-03-21,473.0,1.0
8971,13361,,Iceland,2020-03-22,568.0,1.0
8972,13362,,Iceland,2020-03-23,588.0,1.0
8973,13363,,Iceland,2020-03-24,648.0,2.0
8974,13364,,Iceland,2020-03-25,737.0,2.0
8975,13365,,Iceland,2020-03-26,802.0,2.0
8976,13366,,Iceland,2020-03-27,890.0,2.0
8977,13367,,Iceland,2020-03-28,963.0,2.0
