,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8978,13401,,India,2020-01-22,0.0,0.0
8979,13402,,India,2020-01-23,0.0,0.0
8980,13403,,India,2020-01-24,0.0,0.0
8981,13404,,India,2020-01-25,0.0,0.0
8982,13405,,India,2020-01-26,0.0,0.0
8983,13406,,India,2020-01-27,0.0,0.0
8984,13407,,India,2020-01-28,0.0,0.0
8985,13408,,India,2020-01-29,0.0,0.0
8986,13409,,India,2020-01-30,1.0,0.0
8987,13410,,India,2020-01-31,1.0,0.0
8988,13411,,India,2020-02-01,1.0,0.0
8989,13412,,India,2020-02-02,2.0,0.0
8990,13413,,India,2020-02-03,3.0,0.0
8991,13414,,India,2020-02-04,3.0,0.0
8992,13415,,India,2020-02-05,3.0,0.0
8993,13416,,India,2020-02-06,3.0,0.0
8994,13417,,India,2020-02-07,3.0,0.0
8995,13418,,India,2020-02-08,3.0,0.0
8996,13419,,India,2020-02-09,3.0,0.0
8997,13420,,India,2020-02-10,3.0,0.0
8998,13421,,India,2020-02-11,3.0,0.0
8999,13422,,India,2020-02-12,3.0,0.0
9000,13423,,India,2020-02-13,3.0,0.0
9001,13424,,India,2020-02-14,3.0,0.0
9002,13425,,India,2020-02-15,3.0,0.0
9003,13426,,India,2020-02-16,3.0,0.0
9004,13427,,India,2020-02-17,3.0,0.0
9005,13428,,India,2020-02-18,3.0,0.0
9006,13429,,India,2020-02-19,3.0,0.0
9007,13430,,India,2020-02-20,3.0,0.0
9008,13431,,India,2020-02-21,3.0,0.0
9009,13432,,India,2020-02-22,3.0,0.0
9010,13433,,India,2020-02-23,3.0,0.0
9011,13434,,India,2020-02-24,3.0,0.0
9012,13435,,India,2020-02-25,3.0,0.0
9013,13436,,India,2020-02-26,3.0,0.0
9014,13437,,India,2020-02-27,3.0,0.0
9015,13438,,India,2020-02-28,3.0,0.0
9016,13439,,India,2020-02-29,3.0,0.0
9017,13440,,India,2020-03-01,3.0,0.0
9018,13441,,India,2020-03-02,5.0,0.0
9019,13442,,India,2020-03-03,5.0,0.0
9020,13443,,India,2020-03-04,28.0,0.0
9021,13444,,India,2020-03-05,30.0,0.0
9022,13445,,India,2020-03-06,31.0,0.0
9023,13446,,India,2020-03-07,34.0,0.0
9024,13447,,India,2020-03-08,39.0,0.0
9025,13448,,India,2020-03-09,43.0,0.0
9026,13449,,India,2020-03-10,56.0,0.0
9027,13450,,India,2020-03-11,62.0,1.0
9028,13451,,India,2020-03-12,73.0,1.0
9029,13452,,India,2020-03-13,82.0,2.0
9030,13453,,India,2020-03-14,102.0,2.0
9031,13454,,India,2020-03-15,113.0,2.0
9032,13455,,India,2020-03-16,119.0,2.0
9033,13456,,India,2020-03-17,142.0,3.0
9034,13457,,India,2020-03-18,156.0,3.0
9035,13458,,India,2020-03-19,194.0,4.0
9036,13459,,India,2020-03-20,244.0,5.0
9037,13460,,India,2020-03-21,330.0,4.0
9038,13461,,India,2020-03-22,396.0,7.0
9039,13462,,India,2020-03-23,499.0,10.0
9040,13463,,India,2020-03-24,536.0,10.0
9041,13464,,India,2020-03-25,657.0,12.0
9042,13465,,India,2020-03-26,727.0,20.0
9043,13466,,India,2020-03-27,887.0,20.0
9044,13467,,India,2020-03-28,987.0,24.0
