,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9112,13601,,Iran,2020-01-22,0.0,0.0
9113,13602,,Iran,2020-01-23,0.0,0.0
9114,13603,,Iran,2020-01-24,0.0,0.0
9115,13604,,Iran,2020-01-25,0.0,0.0
9116,13605,,Iran,2020-01-26,0.0,0.0
9117,13606,,Iran,2020-01-27,0.0,0.0
9118,13607,,Iran,2020-01-28,0.0,0.0
9119,13608,,Iran,2020-01-29,0.0,0.0
9120,13609,,Iran,2020-01-30,0.0,0.0
9121,13610,,Iran,2020-01-31,0.0,0.0
9122,13611,,Iran,2020-02-01,0.0,0.0
9123,13612,,Iran,2020-02-02,0.0,0.0
9124,13613,,Iran,2020-02-03,0.0,0.0
9125,13614,,Iran,2020-02-04,0.0,0.0
9126,13615,,Iran,2020-02-05,0.0,0.0
9127,13616,,Iran,2020-02-06,0.0,0.0
9128,13617,,Iran,2020-02-07,0.0,0.0
9129,13618,,Iran,2020-02-08,0.0,0.0
9130,13619,,Iran,2020-02-09,0.0,0.0
9131,13620,,Iran,2020-02-10,0.0,0.0
9132,13621,,Iran,2020-02-11,0.0,0.0
9133,13622,,Iran,2020-02-12,0.0,0.0
9134,13623,,Iran,2020-02-13,0.0,0.0
9135,13624,,Iran,2020-02-14,0.0,0.0
9136,13625,,Iran,2020-02-15,0.0,0.0
9137,13626,,Iran,2020-02-16,0.0,0.0
9138,13627,,Iran,2020-02-17,0.0,0.0
9139,13628,,Iran,2020-02-18,0.0,0.0
9140,13629,,Iran,2020-02-19,2.0,2.0
9141,13630,,Iran,2020-02-20,5.0,2.0
9142,13631,,Iran,2020-02-21,18.0,4.0
9143,13632,,Iran,2020-02-22,28.0,5.0
9144,13633,,Iran,2020-02-23,43.0,8.0
9145,13634,,Iran,2020-02-24,61.0,12.0
9146,13635,,Iran,2020-02-25,95.0,16.0
9147,13636,,Iran,2020-02-26,139.0,19.0
9148,13637,,Iran,2020-02-27,245.0,26.0
9149,13638,,Iran,2020-02-28,388.0,34.0
9150,13639,,Iran,2020-02-29,593.0,43.0
9151,13640,,Iran,2020-03-01,978.0,54.0
9152,13641,,Iran,2020-03-02,1501.0,66.0
9153,13642,,Iran,2020-03-03,2336.0,77.0
9154,13643,,Iran,2020-03-04,2922.0,92.0
9155,13644,,Iran,2020-03-05,3513.0,107.0
9156,13645,,Iran,2020-03-06,4747.0,124.0
9157,13646,,Iran,2020-03-07,5823.0,145.0
9158,13647,,Iran,2020-03-08,6566.0,194.0
9159,13648,,Iran,2020-03-09,7161.0,237.0
9160,13649,,Iran,2020-03-10,8042.0,291.0
9161,13650,,Iran,2020-03-11,9000.0,354.0
9162,13651,,Iran,2020-03-12,10075.0,429.0
9163,13652,,Iran,2020-03-13,11364.0,514.0
9164,13653,,Iran,2020-03-14,12729.0,611.0
9165,13654,,Iran,2020-03-15,13938.0,724.0
9166,13655,,Iran,2020-03-16,14991.0,853.0
9167,13656,,Iran,2020-03-17,16169.0,988.0
9168,13657,,Iran,2020-03-18,17361.0,1135.0
9169,13658,,Iran,2020-03-19,18407.0,1284.0
9170,13659,,Iran,2020-03-20,19644.0,1433.0
9171,13660,,Iran,2020-03-21,20610.0,1556.0
9172,13661,,Iran,2020-03-22,21638.0,1685.0
9173,13662,,Iran,2020-03-23,23049.0,1812.0
9174,13663,,Iran,2020-03-24,24811.0,1934.0
9175,13664,,Iran,2020-03-25,27017.0,2077.0
9176,13665,,Iran,2020-03-26,29406.0,2234.0
9177,13666,,Iran,2020-03-27,32332.0,2378.0
9178,13667,,Iran,2020-03-28,35408.0,2517.0
