,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9179,13701,,Iraq,2020-01-22,0.0,0.0
9180,13702,,Iraq,2020-01-23,0.0,0.0
9181,13703,,Iraq,2020-01-24,0.0,0.0
9182,13704,,Iraq,2020-01-25,0.0,0.0
9183,13705,,Iraq,2020-01-26,0.0,0.0
9184,13706,,Iraq,2020-01-27,0.0,0.0
9185,13707,,Iraq,2020-01-28,0.0,0.0
9186,13708,,Iraq,2020-01-29,0.0,0.0
9187,13709,,Iraq,2020-01-30,0.0,0.0
9188,13710,,Iraq,2020-01-31,0.0,0.0
9189,13711,,Iraq,2020-02-01,0.0,0.0
9190,13712,,Iraq,2020-02-02,0.0,0.0
9191,13713,,Iraq,2020-02-03,0.0,0.0
9192,13714,,Iraq,2020-02-04,0.0,0.0
9193,13715,,Iraq,2020-02-05,0.0,0.0
9194,13716,,Iraq,2020-02-06,0.0,0.0
9195,13717,,Iraq,2020-02-07,0.0,0.0
9196,13718,,Iraq,2020-02-08,0.0,0.0
9197,13719,,Iraq,2020-02-09,0.0,0.0
9198,13720,,Iraq,2020-02-10,0.0,0.0
9199,13721,,Iraq,2020-02-11,0.0,0.0
9200,13722,,Iraq,2020-02-12,0.0,0.0
9201,13723,,Iraq,2020-02-13,0.0,0.0
9202,13724,,Iraq,2020-02-14,0.0,0.0
9203,13725,,Iraq,2020-02-15,0.0,0.0
9204,13726,,Iraq,2020-02-16,0.0,0.0
9205,13727,,Iraq,2020-02-17,0.0,0.0
9206,13728,,Iraq,2020-02-18,0.0,0.0
9207,13729,,Iraq,2020-02-19,0.0,0.0
9208,13730,,Iraq,2020-02-20,0.0,0.0
9209,13731,,Iraq,2020-02-21,0.0,0.0
9210,13732,,Iraq,2020-02-22,0.0,0.0
9211,13733,,Iraq,2020-02-23,0.0,0.0
9212,13734,,Iraq,2020-02-24,1.0,0.0
9213,13735,,Iraq,2020-02-25,1.0,0.0
9214,13736,,Iraq,2020-02-26,5.0,0.0
9215,13737,,Iraq,2020-02-27,7.0,0.0
9216,13738,,Iraq,2020-02-28,7.0,0.0
9217,13739,,Iraq,2020-02-29,13.0,0.0
9218,13740,,Iraq,2020-03-01,19.0,0.0
9219,13741,,Iraq,2020-03-02,26.0,0.0
9220,13742,,Iraq,2020-03-03,32.0,0.0
9221,13743,,Iraq,2020-03-04,35.0,2.0
9222,13744,,Iraq,2020-03-05,35.0,2.0
9223,13745,,Iraq,2020-03-06,40.0,3.0
9224,13746,,Iraq,2020-03-07,54.0,4.0
9225,13747,,Iraq,2020-03-08,60.0,6.0
9226,13748,,Iraq,2020-03-09,60.0,6.0
9227,13749,,Iraq,2020-03-10,71.0,7.0
9228,13750,,Iraq,2020-03-11,71.0,7.0
9229,13751,,Iraq,2020-03-12,71.0,8.0
9230,13752,,Iraq,2020-03-13,101.0,9.0
9231,13753,,Iraq,2020-03-14,110.0,10.0
9232,13754,,Iraq,2020-03-15,116.0,10.0
9233,13755,,Iraq,2020-03-16,124.0,10.0
9234,13756,,Iraq,2020-03-17,154.0,11.0
9235,13757,,Iraq,2020-03-18,164.0,12.0
9236,13758,,Iraq,2020-03-19,192.0,13.0
9237,13759,,Iraq,2020-03-20,208.0,17.0
9238,13760,,Iraq,2020-03-21,214.0,17.0
9239,13761,,Iraq,2020-03-22,233.0,20.0
9240,13762,,Iraq,2020-03-23,266.0,23.0
9241,13763,,Iraq,2020-03-24,316.0,27.0
9242,13764,,Iraq,2020-03-25,346.0,29.0
9243,13765,,Iraq,2020-03-26,382.0,36.0
9244,13766,,Iraq,2020-03-27,458.0,40.0
9245,13767,,Iraq,2020-03-28,506.0,42.0
