,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9246,13801,,Ireland,2020-01-22,0.0,0.0
9247,13802,,Ireland,2020-01-23,0.0,0.0
9248,13803,,Ireland,2020-01-24,0.0,0.0
9249,13804,,Ireland,2020-01-25,0.0,0.0
9250,13805,,Ireland,2020-01-26,0.0,0.0
9251,13806,,Ireland,2020-01-27,0.0,0.0
9252,13807,,Ireland,2020-01-28,0.0,0.0
9253,13808,,Ireland,2020-01-29,0.0,0.0
9254,13809,,Ireland,2020-01-30,0.0,0.0
9255,13810,,Ireland,2020-01-31,0.0,0.0
9256,13811,,Ireland,2020-02-01,0.0,0.0
9257,13812,,Ireland,2020-02-02,0.0,0.0
9258,13813,,Ireland,2020-02-03,0.0,0.0
9259,13814,,Ireland,2020-02-04,0.0,0.0
9260,13815,,Ireland,2020-02-05,0.0,0.0
9261,13816,,Ireland,2020-02-06,0.0,0.0
9262,13817,,Ireland,2020-02-07,0.0,0.0
9263,13818,,Ireland,2020-02-08,0.0,0.0
9264,13819,,Ireland,2020-02-09,0.0,0.0
9265,13820,,Ireland,2020-02-10,0.0,0.0
9266,13821,,Ireland,2020-02-11,0.0,0.0
9267,13822,,Ireland,2020-02-12,0.0,0.0
9268,13823,,Ireland,2020-02-13,0.0,0.0
9269,13824,,Ireland,2020-02-14,0.0,0.0
9270,13825,,Ireland,2020-02-15,0.0,0.0
9271,13826,,Ireland,2020-02-16,0.0,0.0
9272,13827,,Ireland,2020-02-17,0.0,0.0
9273,13828,,Ireland,2020-02-18,0.0,0.0
9274,13829,,Ireland,2020-02-19,0.0,0.0
9275,13830,,Ireland,2020-02-20,0.0,0.0
9276,13831,,Ireland,2020-02-21,0.0,0.0
9277,13832,,Ireland,2020-02-22,0.0,0.0
9278,13833,,Ireland,2020-02-23,0.0,0.0
9279,13834,,Ireland,2020-02-24,0.0,0.0
9280,13835,,Ireland,2020-02-25,0.0,0.0
9281,13836,,Ireland,2020-02-26,0.0,0.0
9282,13837,,Ireland,2020-02-27,0.0,0.0
9283,13838,,Ireland,2020-02-28,0.0,0.0
9284,13839,,Ireland,2020-02-29,1.0,0.0
9285,13840,,Ireland,2020-03-01,1.0,0.0
9286,13841,,Ireland,2020-03-02,1.0,0.0
9287,13842,,Ireland,2020-03-03,2.0,0.0
9288,13843,,Ireland,2020-03-04,6.0,0.0
9289,13844,,Ireland,2020-03-05,6.0,0.0
9290,13845,,Ireland,2020-03-06,18.0,0.0
9291,13846,,Ireland,2020-03-07,18.0,0.0
9292,13847,,Ireland,2020-03-08,19.0,0.0
9293,13848,,Ireland,2020-03-09,21.0,0.0
9294,13849,,Ireland,2020-03-10,34.0,0.0
9295,13850,,Ireland,2020-03-11,43.0,1.0
9296,13851,,Ireland,2020-03-12,43.0,1.0
9297,13852,,Ireland,2020-03-13,90.0,1.0
9298,13853,,Ireland,2020-03-14,129.0,2.0
9299,13854,,Ireland,2020-03-15,129.0,2.0
9300,13855,,Ireland,2020-03-16,169.0,2.0
9301,13856,,Ireland,2020-03-17,223.0,2.0
9302,13857,,Ireland,2020-03-18,292.0,2.0
9303,13858,,Ireland,2020-03-19,557.0,3.0
9304,13859,,Ireland,2020-03-20,683.0,3.0
9305,13860,,Ireland,2020-03-21,785.0,3.0
9306,13861,,Ireland,2020-03-22,906.0,4.0
9307,13862,,Ireland,2020-03-23,1125.0,6.0
9308,13863,,Ireland,2020-03-24,1329.0,7.0
9309,13864,,Ireland,2020-03-25,1564.0,9.0
9310,13865,,Ireland,2020-03-26,1819.0,19.0
9311,13866,,Ireland,2020-03-27,2121.0,22.0
9312,13867,,Ireland,2020-03-28,2415.0,36.0
