,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9313,13901,,Israel,2020-01-22,0.0,0.0
9314,13902,,Israel,2020-01-23,0.0,0.0
9315,13903,,Israel,2020-01-24,0.0,0.0
9316,13904,,Israel,2020-01-25,0.0,0.0
9317,13905,,Israel,2020-01-26,0.0,0.0
9318,13906,,Israel,2020-01-27,0.0,0.0
9319,13907,,Israel,2020-01-28,0.0,0.0
9320,13908,,Israel,2020-01-29,0.0,0.0
9321,13909,,Israel,2020-01-30,0.0,0.0
9322,13910,,Israel,2020-01-31,0.0,0.0
9323,13911,,Israel,2020-02-01,0.0,0.0
9324,13912,,Israel,2020-02-02,0.0,0.0
9325,13913,,Israel,2020-02-03,0.0,0.0
9326,13914,,Israel,2020-02-04,0.0,0.0
9327,13915,,Israel,2020-02-05,0.0,0.0
9328,13916,,Israel,2020-02-06,0.0,0.0
9329,13917,,Israel,2020-02-07,0.0,0.0
9330,13918,,Israel,2020-02-08,0.0,0.0
9331,13919,,Israel,2020-02-09,0.0,0.0
9332,13920,,Israel,2020-02-10,0.0,0.0
9333,13921,,Israel,2020-02-11,0.0,0.0
9334,13922,,Israel,2020-02-12,0.0,0.0
9335,13923,,Israel,2020-02-13,0.0,0.0
9336,13924,,Israel,2020-02-14,0.0,0.0
9337,13925,,Israel,2020-02-15,0.0,0.0
9338,13926,,Israel,2020-02-16,0.0,0.0
9339,13927,,Israel,2020-02-17,0.0,0.0
9340,13928,,Israel,2020-02-18,0.0,0.0
9341,13929,,Israel,2020-02-19,0.0,0.0
9342,13930,,Israel,2020-02-20,0.0,0.0
9343,13931,,Israel,2020-02-21,1.0,0.0
9344,13932,,Israel,2020-02-22,1.0,0.0
9345,13933,,Israel,2020-02-23,1.0,0.0
9346,13934,,Israel,2020-02-24,1.0,0.0
9347,13935,,Israel,2020-02-25,1.0,0.0
9348,13936,,Israel,2020-02-26,2.0,0.0
9349,13937,,Israel,2020-02-27,3.0,0.0
9350,13938,,Israel,2020-02-28,4.0,0.0
9351,13939,,Israel,2020-02-29,7.0,0.0
9352,13940,,Israel,2020-03-01,10.0,0.0
9353,13941,,Israel,2020-03-02,10.0,0.0
9354,13942,,Israel,2020-03-03,12.0,0.0
9355,13943,,Israel,2020-03-04,15.0,0.0
9356,13944,,Israel,2020-03-05,20.0,0.0
9357,13945,,Israel,2020-03-06,37.0,0.0
9358,13946,,Israel,2020-03-07,43.0,0.0
9359,13947,,Israel,2020-03-08,61.0,0.0
9360,13948,,Israel,2020-03-09,61.0,0.0
9361,13949,,Israel,2020-03-10,75.0,0.0
9362,13950,,Israel,2020-03-11,79.0,0.0
9363,13951,,Israel,2020-03-12,100.0,0.0
9364,13952,,Israel,2020-03-13,126.0,0.0
9365,13953,,Israel,2020-03-14,155.0,0.0
9366,13954,,Israel,2020-03-15,213.0,0.0
9367,13955,,Israel,2020-03-16,218.0,0.0
9368,13956,,Israel,2020-03-17,250.0,0.0
9369,13957,,Israel,2020-03-18,304.0,0.0
9370,13958,,Israel,2020-03-19,427.0,0.0
9371,13959,,Israel,2020-03-20,529.0,0.0
9372,13960,,Israel,2020-03-21,712.0,1.0
9373,13961,,Israel,2020-03-22,883.0,1.0
9374,13962,,Israel,2020-03-23,1071.0,1.0
9375,13963,,Israel,2020-03-24,1238.0,3.0
9376,13964,,Israel,2020-03-25,2369.0,5.0
9377,13965,,Israel,2020-03-26,2693.0,8.0
9378,13966,,Israel,2020-03-27,3035.0,12.0
9379,13967,,Israel,2020-03-28,3619.0,12.0
