,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9380,14001,,Italy,2020-01-22,0.0,0.0
9381,14002,,Italy,2020-01-23,0.0,0.0
9382,14003,,Italy,2020-01-24,0.0,0.0
9383,14004,,Italy,2020-01-25,0.0,0.0
9384,14005,,Italy,2020-01-26,0.0,0.0
9385,14006,,Italy,2020-01-27,0.0,0.0
9386,14007,,Italy,2020-01-28,0.0,0.0
9387,14008,,Italy,2020-01-29,0.0,0.0
9388,14009,,Italy,2020-01-30,0.0,0.0
9389,14010,,Italy,2020-01-31,2.0,0.0
9390,14011,,Italy,2020-02-01,2.0,0.0
9391,14012,,Italy,2020-02-02,2.0,0.0
9392,14013,,Italy,2020-02-03,2.0,0.0
9393,14014,,Italy,2020-02-04,2.0,0.0
9394,14015,,Italy,2020-02-05,2.0,0.0
9395,14016,,Italy,2020-02-06,2.0,0.0
9396,14017,,Italy,2020-02-07,3.0,0.0
9397,14018,,Italy,2020-02-08,3.0,0.0
9398,14019,,Italy,2020-02-09,3.0,0.0
9399,14020,,Italy,2020-02-10,3.0,0.0
9400,14021,,Italy,2020-02-11,3.0,0.0
9401,14022,,Italy,2020-02-12,3.0,0.0
9402,14023,,Italy,2020-02-13,3.0,0.0
9403,14024,,Italy,2020-02-14,3.0,0.0
9404,14025,,Italy,2020-02-15,3.0,0.0
9405,14026,,Italy,2020-02-16,3.0,0.0
9406,14027,,Italy,2020-02-17,3.0,0.0
9407,14028,,Italy,2020-02-18,3.0,0.0
9408,14029,,Italy,2020-02-19,3.0,0.0
9409,14030,,Italy,2020-02-20,3.0,0.0
9410,14031,,Italy,2020-02-21,20.0,1.0
9411,14032,,Italy,2020-02-22,62.0,2.0
9412,14033,,Italy,2020-02-23,155.0,3.0
9413,14034,,Italy,2020-02-24,229.0,7.0
9414,14035,,Italy,2020-02-25,322.0,10.0
9415,14036,,Italy,2020-02-26,453.0,12.0
9416,14037,,Italy,2020-02-27,655.0,17.0
9417,14038,,Italy,2020-02-28,888.0,21.0
9418,14039,,Italy,2020-02-29,1128.0,29.0
9419,14040,,Italy,2020-03-01,1694.0,34.0
9420,14041,,Italy,2020-03-02,2036.0,52.0
9421,14042,,Italy,2020-03-03,2502.0,79.0
9422,14043,,Italy,2020-03-04,3089.0,107.0
9423,14044,,Italy,2020-03-05,3858.0,148.0
9424,14045,,Italy,2020-03-06,4636.0,197.0
9425,14046,,Italy,2020-03-07,5883.0,233.0
9426,14047,,Italy,2020-03-08,7375.0,366.0
9427,14048,,Italy,2020-03-09,9172.0,463.0
9428,14049,,Italy,2020-03-10,10149.0,631.0
9429,14050,,Italy,2020-03-11,12462.0,827.0
9430,14051,,Italy,2020-03-12,12462.0,827.0
9431,14052,,Italy,2020-03-13,17660.0,1266.0
9432,14053,,Italy,2020-03-14,21157.0,1441.0
9433,14054,,Italy,2020-03-15,24747.0,1809.0
9434,14055,,Italy,2020-03-16,27980.0,2158.0
9435,14056,,Italy,2020-03-17,31506.0,2503.0
9436,14057,,Italy,2020-03-18,35713.0,2978.0
9437,14058,,Italy,2020-03-19,41035.0,3405.0
9438,14059,,Italy,2020-03-20,47021.0,4032.0
9439,14060,,Italy,2020-03-21,53578.0,4825.0
9440,14061,,Italy,2020-03-22,59138.0,5476.0
9441,14062,,Italy,2020-03-23,63927.0,6077.0
9442,14063,,Italy,2020-03-24,69176.0,6820.0
9443,14064,,Italy,2020-03-25,74386.0,7503.0
9444,14065,,Italy,2020-03-26,80589.0,8215.0
9445,14066,,Italy,2020-03-27,86498.0,9134.0
9446,14067,,Italy,2020-03-28,92472.0,10023.0
