,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9447,14101,,Jamaica,2020-01-22,0.0,0.0
9448,14102,,Jamaica,2020-01-23,0.0,0.0
9449,14103,,Jamaica,2020-01-24,0.0,0.0
9450,14104,,Jamaica,2020-01-25,0.0,0.0
9451,14105,,Jamaica,2020-01-26,0.0,0.0
9452,14106,,Jamaica,2020-01-27,0.0,0.0
9453,14107,,Jamaica,2020-01-28,0.0,0.0
9454,14108,,Jamaica,2020-01-29,0.0,0.0
9455,14109,,Jamaica,2020-01-30,0.0,0.0
9456,14110,,Jamaica,2020-01-31,0.0,0.0
9457,14111,,Jamaica,2020-02-01,0.0,0.0
9458,14112,,Jamaica,2020-02-02,0.0,0.0
9459,14113,,Jamaica,2020-02-03,0.0,0.0
9460,14114,,Jamaica,2020-02-04,0.0,0.0
9461,14115,,Jamaica,2020-02-05,0.0,0.0
9462,14116,,Jamaica,2020-02-06,0.0,0.0
9463,14117,,Jamaica,2020-02-07,0.0,0.0
9464,14118,,Jamaica,2020-02-08,0.0,0.0
9465,14119,,Jamaica,2020-02-09,0.0,0.0
9466,14120,,Jamaica,2020-02-10,0.0,0.0
9467,14121,,Jamaica,2020-02-11,0.0,0.0
9468,14122,,Jamaica,2020-02-12,0.0,0.0
9469,14123,,Jamaica,2020-02-13,0.0,0.0
9470,14124,,Jamaica,2020-02-14,0.0,0.0
9471,14125,,Jamaica,2020-02-15,0.0,0.0
9472,14126,,Jamaica,2020-02-16,0.0,0.0
9473,14127,,Jamaica,2020-02-17,0.0,0.0
9474,14128,,Jamaica,2020-02-18,0.0,0.0
9475,14129,,Jamaica,2020-02-19,0.0,0.0
9476,14130,,Jamaica,2020-02-20,0.0,0.0
9477,14131,,Jamaica,2020-02-21,0.0,0.0
9478,14132,,Jamaica,2020-02-22,0.0,0.0
9479,14133,,Jamaica,2020-02-23,0.0,0.0
9480,14134,,Jamaica,2020-02-24,0.0,0.0
9481,14135,,Jamaica,2020-02-25,0.0,0.0
9482,14136,,Jamaica,2020-02-26,0.0,0.0
9483,14137,,Jamaica,2020-02-27,0.0,0.0
9484,14138,,Jamaica,2020-02-28,0.0,0.0
9485,14139,,Jamaica,2020-02-29,0.0,0.0
9486,14140,,Jamaica,2020-03-01,0.0,0.0
9487,14141,,Jamaica,2020-03-02,0.0,0.0
9488,14142,,Jamaica,2020-03-03,0.0,0.0
9489,14143,,Jamaica,2020-03-04,0.0,0.0
9490,14144,,Jamaica,2020-03-05,0.0,0.0
9491,14145,,Jamaica,2020-03-06,0.0,0.0
9492,14146,,Jamaica,2020-03-07,0.0,0.0
9493,14147,,Jamaica,2020-03-08,0.0,0.0
9494,14148,,Jamaica,2020-03-09,0.0,0.0
9495,14149,,Jamaica,2020-03-10,0.0,0.0
9496,14150,,Jamaica,2020-03-11,1.0,0.0
9497,14151,,Jamaica,2020-03-12,2.0,0.0
9498,14152,,Jamaica,2020-03-13,8.0,0.0
9499,14153,,Jamaica,2020-03-14,8.0,0.0
9500,14154,,Jamaica,2020-03-15,10.0,0.0
9501,14155,,Jamaica,2020-03-16,10.0,0.0
9502,14156,,Jamaica,2020-03-17,12.0,0.0
9503,14157,,Jamaica,2020-03-18,13.0,0.0
9504,14158,,Jamaica,2020-03-19,15.0,1.0
9505,14159,,Jamaica,2020-03-20,16.0,1.0
9506,14160,,Jamaica,2020-03-21,16.0,1.0
9507,14161,,Jamaica,2020-03-22,19.0,1.0
9508,14162,,Jamaica,2020-03-23,19.0,1.0
9509,14163,,Jamaica,2020-03-24,21.0,1.0
9510,14164,,Jamaica,2020-03-25,26.0,1.0
9511,14165,,Jamaica,2020-03-26,26.0,1.0
9512,14166,,Jamaica,2020-03-27,26.0,1.0
9513,14167,,Jamaica,2020-03-28,30.0,1.0
