,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9715,14501,,Kenya,2020-01-22,0.0,0.0
9716,14502,,Kenya,2020-01-23,0.0,0.0
9717,14503,,Kenya,2020-01-24,0.0,0.0
9718,14504,,Kenya,2020-01-25,0.0,0.0
9719,14505,,Kenya,2020-01-26,0.0,0.0
9720,14506,,Kenya,2020-01-27,0.0,0.0
9721,14507,,Kenya,2020-01-28,0.0,0.0
9722,14508,,Kenya,2020-01-29,0.0,0.0
9723,14509,,Kenya,2020-01-30,0.0,0.0
9724,14510,,Kenya,2020-01-31,0.0,0.0
9725,14511,,Kenya,2020-02-01,0.0,0.0
9726,14512,,Kenya,2020-02-02,0.0,0.0
9727,14513,,Kenya,2020-02-03,0.0,0.0
9728,14514,,Kenya,2020-02-04,0.0,0.0
9729,14515,,Kenya,2020-02-05,0.0,0.0
9730,14516,,Kenya,2020-02-06,0.0,0.0
9731,14517,,Kenya,2020-02-07,0.0,0.0
9732,14518,,Kenya,2020-02-08,0.0,0.0
9733,14519,,Kenya,2020-02-09,0.0,0.0
9734,14520,,Kenya,2020-02-10,0.0,0.0
9735,14521,,Kenya,2020-02-11,0.0,0.0
9736,14522,,Kenya,2020-02-12,0.0,0.0
9737,14523,,Kenya,2020-02-13,0.0,0.0
9738,14524,,Kenya,2020-02-14,0.0,0.0
9739,14525,,Kenya,2020-02-15,0.0,0.0
9740,14526,,Kenya,2020-02-16,0.0,0.0
9741,14527,,Kenya,2020-02-17,0.0,0.0
9742,14528,,Kenya,2020-02-18,0.0,0.0
9743,14529,,Kenya,2020-02-19,0.0,0.0
9744,14530,,Kenya,2020-02-20,0.0,0.0
9745,14531,,Kenya,2020-02-21,0.0,0.0
9746,14532,,Kenya,2020-02-22,0.0,0.0
9747,14533,,Kenya,2020-02-23,0.0,0.0
9748,14534,,Kenya,2020-02-24,0.0,0.0
9749,14535,,Kenya,2020-02-25,0.0,0.0
9750,14536,,Kenya,2020-02-26,0.0,0.0
9751,14537,,Kenya,2020-02-27,0.0,0.0
9752,14538,,Kenya,2020-02-28,0.0,0.0
9753,14539,,Kenya,2020-02-29,0.0,0.0
9754,14540,,Kenya,2020-03-01,0.0,0.0
9755,14541,,Kenya,2020-03-02,0.0,0.0
9756,14542,,Kenya,2020-03-03,0.0,0.0
9757,14543,,Kenya,2020-03-04,0.0,0.0
9758,14544,,Kenya,2020-03-05,0.0,0.0
9759,14545,,Kenya,2020-03-06,0.0,0.0
9760,14546,,Kenya,2020-03-07,0.0,0.0
9761,14547,,Kenya,2020-03-08,0.0,0.0
9762,14548,,Kenya,2020-03-09,0.0,0.0
9763,14549,,Kenya,2020-03-10,0.0,0.0
9764,14550,,Kenya,2020-03-11,0.0,0.0
9765,14551,,Kenya,2020-03-12,0.0,0.0
9766,14552,,Kenya,2020-03-13,1.0,0.0
9767,14553,,Kenya,2020-03-14,1.0,0.0
9768,14554,,Kenya,2020-03-15,3.0,0.0
9769,14555,,Kenya,2020-03-16,3.0,0.0
9770,14556,,Kenya,2020-03-17,3.0,0.0
9771,14557,,Kenya,2020-03-18,3.0,0.0
9772,14558,,Kenya,2020-03-19,7.0,0.0
9773,14559,,Kenya,2020-03-20,7.0,0.0
9774,14560,,Kenya,2020-03-21,7.0,0.0
9775,14561,,Kenya,2020-03-22,15.0,0.0
9776,14562,,Kenya,2020-03-23,16.0,0.0
9777,14563,,Kenya,2020-03-24,25.0,0.0
9778,14564,,Kenya,2020-03-25,28.0,0.0
9779,14565,,Kenya,2020-03-26,31.0,1.0
9780,14566,,Kenya,2020-03-27,31.0,1.0
9781,14567,,Kenya,2020-03-28,38.0,1.0
