,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9782,14601,,"Korea, South",2020-01-22,1.0,0.0
9783,14602,,"Korea, South",2020-01-23,1.0,0.0
9784,14603,,"Korea, South",2020-01-24,2.0,0.0
9785,14604,,"Korea, South",2020-01-25,2.0,0.0
9786,14605,,"Korea, South",2020-01-26,3.0,0.0
9787,14606,,"Korea, South",2020-01-27,4.0,0.0
9788,14607,,"Korea, South",2020-01-28,4.0,0.0
9789,14608,,"Korea, South",2020-01-29,4.0,0.0
9790,14609,,"Korea, South",2020-01-30,4.0,0.0
9791,14610,,"Korea, South",2020-01-31,11.0,0.0
9792,14611,,"Korea, South",2020-02-01,12.0,0.0
9793,14612,,"Korea, South",2020-02-02,15.0,0.0
9794,14613,,"Korea, South",2020-02-03,15.0,0.0
9795,14614,,"Korea, South",2020-02-04,16.0,0.0
9796,14615,,"Korea, South",2020-02-05,19.0,0.0
9797,14616,,"Korea, South",2020-02-06,23.0,0.0
9798,14617,,"Korea, South",2020-02-07,24.0,0.0
9799,14618,,"Korea, South",2020-02-08,24.0,0.0
9800,14619,,"Korea, South",2020-02-09,25.0,0.0
9801,14620,,"Korea, South",2020-02-10,27.0,0.0
9802,14621,,"Korea, South",2020-02-11,28.0,0.0
9803,14622,,"Korea, South",2020-02-12,28.0,0.0
9804,14623,,"Korea, South",2020-02-13,28.0,0.0
9805,14624,,"Korea, South",2020-02-14,28.0,0.0
9806,14625,,"Korea, South",2020-02-15,28.0,0.0
9807,14626,,"Korea, South",2020-02-16,29.0,0.0
9808,14627,,"Korea, South",2020-02-17,30.0,0.0
9809,14628,,"Korea, South",2020-02-18,31.0,0.0
9810,14629,,"Korea, South",2020-02-19,31.0,0.0
9811,14630,,"Korea, South",2020-02-20,104.0,1.0
9812,14631,,"Korea, South",2020-02-21,204.0,2.0
9813,14632,,"Korea, South",2020-02-22,433.0,2.0
9814,14633,,"Korea, South",2020-02-23,602.0,6.0
9815,14634,,"Korea, South",2020-02-24,833.0,8.0
9816,14635,,"Korea, South",2020-02-25,977.0,10.0
9817,14636,,"Korea, South",2020-02-26,1261.0,12.0
9818,14637,,"Korea, South",2020-02-27,1766.0,13.0
9819,14638,,"Korea, South",2020-02-28,2337.0,13.0
9820,14639,,"Korea, South",2020-02-29,3150.0,16.0
9821,14640,,"Korea, South",2020-03-01,3736.0,17.0
9822,14641,,"Korea, South",2020-03-02,4335.0,28.0
9823,14642,,"Korea, South",2020-03-03,5186.0,28.0
9824,14643,,"Korea, South",2020-03-04,5621.0,35.0
9825,14644,,"Korea, South",2020-03-05,6088.0,35.0
9826,14645,,"Korea, South",2020-03-06,6593.0,42.0
9827,14646,,"Korea, South",2020-03-07,7041.0,44.0
9828,14647,,"Korea, South",2020-03-08,7314.0,50.0
9829,14648,,"Korea, South",2020-03-09,7478.0,53.0
9830,14649,,"Korea, South",2020-03-10,7513.0,54.0
9831,14650,,"Korea, South",2020-03-11,7755.0,60.0
9832,14651,,"Korea, South",2020-03-12,7869.0,66.0
9833,14652,,"Korea, South",2020-03-13,7979.0,66.0
9834,14653,,"Korea, South",2020-03-14,8086.0,72.0
9835,14654,,"Korea, South",2020-03-15,8162.0,75.0
9836,14655,,"Korea, South",2020-03-16,8236.0,75.0
9837,14656,,"Korea, South",2020-03-17,8320.0,81.0
9838,14657,,"Korea, South",2020-03-18,8413.0,84.0
9839,14658,,"Korea, South",2020-03-19,8565.0,91.0
9840,14659,,"Korea, South",2020-03-20,8652.0,94.0
9841,14660,,"Korea, South",2020-03-21,8799.0,102.0
9842,14661,,"Korea, South",2020-03-22,8961.0,111.0
9843,14662,,"Korea, South",2020-03-23,8961.0,111.0
9844,14663,,"Korea, South",2020-03-24,9037.0,120.0
9845,14664,,"Korea, South",2020-03-25,9137.0,126.0
9846,14665,,"Korea, South",2020-03-26,9241.0,131.0
9847,14666,,"Korea, South",2020-03-27,9332.0,139.0
9848,14667,,"Korea, South",2020-03-28,9478.0,144.0
