,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10117,15101,,Lebanon,2020-01-22,0.0,0.0
10118,15102,,Lebanon,2020-01-23,0.0,0.0
10119,15103,,Lebanon,2020-01-24,0.0,0.0
10120,15104,,Lebanon,2020-01-25,0.0,0.0
10121,15105,,Lebanon,2020-01-26,0.0,0.0
10122,15106,,Lebanon,2020-01-27,0.0,0.0
10123,15107,,Lebanon,2020-01-28,0.0,0.0
10124,15108,,Lebanon,2020-01-29,0.0,0.0
10125,15109,,Lebanon,2020-01-30,0.0,0.0
10126,15110,,Lebanon,2020-01-31,0.0,0.0
10127,15111,,Lebanon,2020-02-01,0.0,0.0
10128,15112,,Lebanon,2020-02-02,0.0,0.0
10129,15113,,Lebanon,2020-02-03,0.0,0.0
10130,15114,,Lebanon,2020-02-04,0.0,0.0
10131,15115,,Lebanon,2020-02-05,0.0,0.0
10132,15116,,Lebanon,2020-02-06,0.0,0.0
10133,15117,,Lebanon,2020-02-07,0.0,0.0
10134,15118,,Lebanon,2020-02-08,0.0,0.0
10135,15119,,Lebanon,2020-02-09,0.0,0.0
10136,15120,,Lebanon,2020-02-10,0.0,0.0
10137,15121,,Lebanon,2020-02-11,0.0,0.0
10138,15122,,Lebanon,2020-02-12,0.0,0.0
10139,15123,,Lebanon,2020-02-13,0.0,0.0
10140,15124,,Lebanon,2020-02-14,0.0,0.0
10141,15125,,Lebanon,2020-02-15,0.0,0.0
10142,15126,,Lebanon,2020-02-16,0.0,0.0
10143,15127,,Lebanon,2020-02-17,0.0,0.0
10144,15128,,Lebanon,2020-02-18,0.0,0.0
10145,15129,,Lebanon,2020-02-19,0.0,0.0
10146,15130,,Lebanon,2020-02-20,0.0,0.0
10147,15131,,Lebanon,2020-02-21,1.0,0.0
10148,15132,,Lebanon,2020-02-22,1.0,0.0
10149,15133,,Lebanon,2020-02-23,1.0,0.0
10150,15134,,Lebanon,2020-02-24,1.0,0.0
10151,15135,,Lebanon,2020-02-25,1.0,0.0
10152,15136,,Lebanon,2020-02-26,2.0,0.0
10153,15137,,Lebanon,2020-02-27,2.0,0.0
10154,15138,,Lebanon,2020-02-28,2.0,0.0
10155,15139,,Lebanon,2020-02-29,4.0,0.0
10156,15140,,Lebanon,2020-03-01,10.0,0.0
10157,15141,,Lebanon,2020-03-02,13.0,0.0
10158,15142,,Lebanon,2020-03-03,13.0,0.0
10159,15143,,Lebanon,2020-03-04,13.0,0.0
10160,15144,,Lebanon,2020-03-05,16.0,0.0
10161,15145,,Lebanon,2020-03-06,22.0,0.0
10162,15146,,Lebanon,2020-03-07,22.0,0.0
10163,15147,,Lebanon,2020-03-08,32.0,0.0
10164,15148,,Lebanon,2020-03-09,32.0,0.0
10165,15149,,Lebanon,2020-03-10,41.0,1.0
10166,15150,,Lebanon,2020-03-11,61.0,3.0
10167,15151,,Lebanon,2020-03-12,61.0,3.0
10168,15152,,Lebanon,2020-03-13,77.0,3.0
10169,15153,,Lebanon,2020-03-14,93.0,3.0
10170,15154,,Lebanon,2020-03-15,110.0,3.0
10171,15155,,Lebanon,2020-03-16,110.0,3.0
10172,15156,,Lebanon,2020-03-17,120.0,3.0
10173,15157,,Lebanon,2020-03-18,133.0,3.0
10174,15158,,Lebanon,2020-03-19,157.0,4.0
10175,15159,,Lebanon,2020-03-20,163.0,4.0
10176,15160,,Lebanon,2020-03-21,187.0,4.0
10177,15161,,Lebanon,2020-03-22,248.0,4.0
10178,15162,,Lebanon,2020-03-23,267.0,4.0
10179,15163,,Lebanon,2020-03-24,318.0,4.0
10180,15164,,Lebanon,2020-03-25,333.0,6.0
10181,15165,,Lebanon,2020-03-26,368.0,6.0
10182,15166,,Lebanon,2020-03-27,391.0,8.0
10183,15167,,Lebanon,2020-03-28,412.0,8.0
