,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10251,15301,,Libya,2020-01-22,0.0,0.0
10252,15302,,Libya,2020-01-23,0.0,0.0
10253,15303,,Libya,2020-01-24,0.0,0.0
10254,15304,,Libya,2020-01-25,0.0,0.0
10255,15305,,Libya,2020-01-26,0.0,0.0
10256,15306,,Libya,2020-01-27,0.0,0.0
10257,15307,,Libya,2020-01-28,0.0,0.0
10258,15308,,Libya,2020-01-29,0.0,0.0
10259,15309,,Libya,2020-01-30,0.0,0.0
10260,15310,,Libya,2020-01-31,0.0,0.0
10261,15311,,Libya,2020-02-01,0.0,0.0
10262,15312,,Libya,2020-02-02,0.0,0.0
10263,15313,,Libya,2020-02-03,0.0,0.0
10264,15314,,Libya,2020-02-04,0.0,0.0
10265,15315,,Libya,2020-02-05,0.0,0.0
10266,15316,,Libya,2020-02-06,0.0,0.0
10267,15317,,Libya,2020-02-07,0.0,0.0
10268,15318,,Libya,2020-02-08,0.0,0.0
10269,15319,,Libya,2020-02-09,0.0,0.0
10270,15320,,Libya,2020-02-10,0.0,0.0
10271,15321,,Libya,2020-02-11,0.0,0.0
10272,15322,,Libya,2020-02-12,0.0,0.0
10273,15323,,Libya,2020-02-13,0.0,0.0
10274,15324,,Libya,2020-02-14,0.0,0.0
10275,15325,,Libya,2020-02-15,0.0,0.0
10276,15326,,Libya,2020-02-16,0.0,0.0
10277,15327,,Libya,2020-02-17,0.0,0.0
10278,15328,,Libya,2020-02-18,0.0,0.0
10279,15329,,Libya,2020-02-19,0.0,0.0
10280,15330,,Libya,2020-02-20,0.0,0.0
10281,15331,,Libya,2020-02-21,0.0,0.0
10282,15332,,Libya,2020-02-22,0.0,0.0
10283,15333,,Libya,2020-02-23,0.0,0.0
10284,15334,,Libya,2020-02-24,0.0,0.0
10285,15335,,Libya,2020-02-25,0.0,0.0
10286,15336,,Libya,2020-02-26,0.0,0.0
10287,15337,,Libya,2020-02-27,0.0,0.0
10288,15338,,Libya,2020-02-28,0.0,0.0
10289,15339,,Libya,2020-02-29,0.0,0.0
10290,15340,,Libya,2020-03-01,0.0,0.0
10291,15341,,Libya,2020-03-02,0.0,0.0
10292,15342,,Libya,2020-03-03,0.0,0.0
10293,15343,,Libya,2020-03-04,0.0,0.0
10294,15344,,Libya,2020-03-05,0.0,0.0
10295,15345,,Libya,2020-03-06,0.0,0.0
10296,15346,,Libya,2020-03-07,0.0,0.0
10297,15347,,Libya,2020-03-08,0.0,0.0
10298,15348,,Libya,2020-03-09,0.0,0.0
10299,15349,,Libya,2020-03-10,0.0,0.0
10300,15350,,Libya,2020-03-11,0.0,0.0
10301,15351,,Libya,2020-03-12,0.0,0.0
10302,15352,,Libya,2020-03-13,0.0,0.0
10303,15353,,Libya,2020-03-14,0.0,0.0
10304,15354,,Libya,2020-03-15,0.0,0.0
10305,15355,,Libya,2020-03-16,0.0,0.0
10306,15356,,Libya,2020-03-17,0.0,0.0
10307,15357,,Libya,2020-03-18,0.0,0.0
10308,15358,,Libya,2020-03-19,0.0,0.0
10309,15359,,Libya,2020-03-20,0.0,0.0
10310,15360,,Libya,2020-03-21,0.0,0.0
10311,15361,,Libya,2020-03-22,0.0,0.0
10312,15362,,Libya,2020-03-23,0.0,0.0
10313,15363,,Libya,2020-03-24,1.0,0.0
10314,15364,,Libya,2020-03-25,1.0,0.0
10315,15365,,Libya,2020-03-26,1.0,0.0
10316,15366,,Libya,2020-03-27,1.0,0.0
10317,15367,,Libya,2020-03-28,3.0,0.0
