,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10385,15501,,Lithuania,2020-01-22,0.0,0.0
10386,15502,,Lithuania,2020-01-23,0.0,0.0
10387,15503,,Lithuania,2020-01-24,0.0,0.0
10388,15504,,Lithuania,2020-01-25,0.0,0.0
10389,15505,,Lithuania,2020-01-26,0.0,0.0
10390,15506,,Lithuania,2020-01-27,0.0,0.0
10391,15507,,Lithuania,2020-01-28,0.0,0.0
10392,15508,,Lithuania,2020-01-29,0.0,0.0
10393,15509,,Lithuania,2020-01-30,0.0,0.0
10394,15510,,Lithuania,2020-01-31,0.0,0.0
10395,15511,,Lithuania,2020-02-01,0.0,0.0
10396,15512,,Lithuania,2020-02-02,0.0,0.0
10397,15513,,Lithuania,2020-02-03,0.0,0.0
10398,15514,,Lithuania,2020-02-04,0.0,0.0
10399,15515,,Lithuania,2020-02-05,0.0,0.0
10400,15516,,Lithuania,2020-02-06,0.0,0.0
10401,15517,,Lithuania,2020-02-07,0.0,0.0
10402,15518,,Lithuania,2020-02-08,0.0,0.0
10403,15519,,Lithuania,2020-02-09,0.0,0.0
10404,15520,,Lithuania,2020-02-10,0.0,0.0
10405,15521,,Lithuania,2020-02-11,0.0,0.0
10406,15522,,Lithuania,2020-02-12,0.0,0.0
10407,15523,,Lithuania,2020-02-13,0.0,0.0
10408,15524,,Lithuania,2020-02-14,0.0,0.0
10409,15525,,Lithuania,2020-02-15,0.0,0.0
10410,15526,,Lithuania,2020-02-16,0.0,0.0
10411,15527,,Lithuania,2020-02-17,0.0,0.0
10412,15528,,Lithuania,2020-02-18,0.0,0.0
10413,15529,,Lithuania,2020-02-19,0.0,0.0
10414,15530,,Lithuania,2020-02-20,0.0,0.0
10415,15531,,Lithuania,2020-02-21,0.0,0.0
10416,15532,,Lithuania,2020-02-22,0.0,0.0
10417,15533,,Lithuania,2020-02-23,0.0,0.0
10418,15534,,Lithuania,2020-02-24,0.0,0.0
10419,15535,,Lithuania,2020-02-25,0.0,0.0
10420,15536,,Lithuania,2020-02-26,0.0,0.0
10421,15537,,Lithuania,2020-02-27,0.0,0.0
10422,15538,,Lithuania,2020-02-28,1.0,0.0
10423,15539,,Lithuania,2020-02-29,1.0,0.0
10424,15540,,Lithuania,2020-03-01,1.0,0.0
10425,15541,,Lithuania,2020-03-02,1.0,0.0
10426,15542,,Lithuania,2020-03-03,1.0,0.0
10427,15543,,Lithuania,2020-03-04,1.0,0.0
10428,15544,,Lithuania,2020-03-05,1.0,0.0
10429,15545,,Lithuania,2020-03-06,1.0,0.0
10430,15546,,Lithuania,2020-03-07,1.0,0.0
10431,15547,,Lithuania,2020-03-08,1.0,0.0
10432,15548,,Lithuania,2020-03-09,1.0,0.0
10433,15549,,Lithuania,2020-03-10,1.0,0.0
10434,15550,,Lithuania,2020-03-11,3.0,0.0
10435,15551,,Lithuania,2020-03-12,3.0,0.0
10436,15552,,Lithuania,2020-03-13,6.0,0.0
10437,15553,,Lithuania,2020-03-14,8.0,0.0
10438,15554,,Lithuania,2020-03-15,12.0,0.0
10439,15555,,Lithuania,2020-03-16,17.0,0.0
10440,15556,,Lithuania,2020-03-17,25.0,0.0
10441,15557,,Lithuania,2020-03-18,27.0,0.0
10442,15558,,Lithuania,2020-03-19,36.0,0.0
10443,15559,,Lithuania,2020-03-20,49.0,0.0
10444,15560,,Lithuania,2020-03-21,83.0,1.0
10445,15561,,Lithuania,2020-03-22,143.0,1.0
10446,15562,,Lithuania,2020-03-23,179.0,1.0
10447,15563,,Lithuania,2020-03-24,209.0,2.0
10448,15564,,Lithuania,2020-03-25,274.0,4.0
10449,15565,,Lithuania,2020-03-26,299.0,4.0
10450,15566,,Lithuania,2020-03-27,358.0,5.0
10451,15567,,Lithuania,2020-03-28,394.0,7.0
