,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10586,15801,,Malaysia,2020-01-22,0.0,0.0
10587,15802,,Malaysia,2020-01-23,0.0,0.0
10588,15803,,Malaysia,2020-01-24,0.0,0.0
10589,15804,,Malaysia,2020-01-25,3.0,0.0
10590,15805,,Malaysia,2020-01-26,4.0,0.0
10591,15806,,Malaysia,2020-01-27,4.0,0.0
10592,15807,,Malaysia,2020-01-28,4.0,0.0
10593,15808,,Malaysia,2020-01-29,7.0,0.0
10594,15809,,Malaysia,2020-01-30,8.0,0.0
10595,15810,,Malaysia,2020-01-31,8.0,0.0
10596,15811,,Malaysia,2020-02-01,8.0,0.0
10597,15812,,Malaysia,2020-02-02,8.0,0.0
10598,15813,,Malaysia,2020-02-03,8.0,0.0
10599,15814,,Malaysia,2020-02-04,10.0,0.0
10600,15815,,Malaysia,2020-02-05,12.0,0.0
10601,15816,,Malaysia,2020-02-06,12.0,0.0
10602,15817,,Malaysia,2020-02-07,12.0,0.0
10603,15818,,Malaysia,2020-02-08,16.0,0.0
10604,15819,,Malaysia,2020-02-09,16.0,0.0
10605,15820,,Malaysia,2020-02-10,18.0,0.0
10606,15821,,Malaysia,2020-02-11,18.0,0.0
10607,15822,,Malaysia,2020-02-12,18.0,0.0
10608,15823,,Malaysia,2020-02-13,19.0,0.0
10609,15824,,Malaysia,2020-02-14,19.0,0.0
10610,15825,,Malaysia,2020-02-15,22.0,0.0
10611,15826,,Malaysia,2020-02-16,22.0,0.0
10612,15827,,Malaysia,2020-02-17,22.0,0.0
10613,15828,,Malaysia,2020-02-18,22.0,0.0
10614,15829,,Malaysia,2020-02-19,22.0,0.0
10615,15830,,Malaysia,2020-02-20,22.0,0.0
10616,15831,,Malaysia,2020-02-21,22.0,0.0
10617,15832,,Malaysia,2020-02-22,22.0,0.0
10618,15833,,Malaysia,2020-02-23,22.0,0.0
10619,15834,,Malaysia,2020-02-24,22.0,0.0
10620,15835,,Malaysia,2020-02-25,22.0,0.0
10621,15836,,Malaysia,2020-02-26,22.0,0.0
10622,15837,,Malaysia,2020-02-27,23.0,0.0
10623,15838,,Malaysia,2020-02-28,23.0,0.0
10624,15839,,Malaysia,2020-02-29,25.0,0.0
10625,15840,,Malaysia,2020-03-01,29.0,0.0
10626,15841,,Malaysia,2020-03-02,29.0,0.0
10627,15842,,Malaysia,2020-03-03,36.0,0.0
10628,15843,,Malaysia,2020-03-04,50.0,0.0
10629,15844,,Malaysia,2020-03-05,50.0,0.0
10630,15845,,Malaysia,2020-03-06,83.0,0.0
10631,15846,,Malaysia,2020-03-07,93.0,0.0
10632,15847,,Malaysia,2020-03-08,99.0,0.0
10633,15848,,Malaysia,2020-03-09,117.0,0.0
10634,15849,,Malaysia,2020-03-10,129.0,0.0
10635,15850,,Malaysia,2020-03-11,149.0,0.0
10636,15851,,Malaysia,2020-03-12,149.0,0.0
10637,15852,,Malaysia,2020-03-13,197.0,0.0
10638,15853,,Malaysia,2020-03-14,238.0,0.0
10639,15854,,Malaysia,2020-03-15,428.0,0.0
10640,15855,,Malaysia,2020-03-16,566.0,0.0
10641,15856,,Malaysia,2020-03-17,673.0,2.0
10642,15857,,Malaysia,2020-03-18,790.0,2.0
10643,15858,,Malaysia,2020-03-19,900.0,2.0
10644,15859,,Malaysia,2020-03-20,1030.0,3.0
10645,15860,,Malaysia,2020-03-21,1183.0,4.0
10646,15861,,Malaysia,2020-03-22,1306.0,10.0
10647,15862,,Malaysia,2020-03-23,1518.0,14.0
10648,15863,,Malaysia,2020-03-24,1624.0,16.0
10649,15864,,Malaysia,2020-03-25,1796.0,20.0
10650,15865,,Malaysia,2020-03-26,2031.0,23.0
10651,15866,,Malaysia,2020-03-27,2161.0,26.0
10652,15867,,Malaysia,2020-03-28,2320.0,27.0
