,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10653,15901,,Maldives,2020-01-22,0.0,0.0
10654,15902,,Maldives,2020-01-23,0.0,0.0
10655,15903,,Maldives,2020-01-24,0.0,0.0
10656,15904,,Maldives,2020-01-25,0.0,0.0
10657,15905,,Maldives,2020-01-26,0.0,0.0
10658,15906,,Maldives,2020-01-27,0.0,0.0
10659,15907,,Maldives,2020-01-28,0.0,0.0
10660,15908,,Maldives,2020-01-29,0.0,0.0
10661,15909,,Maldives,2020-01-30,0.0,0.0
10662,15910,,Maldives,2020-01-31,0.0,0.0
10663,15911,,Maldives,2020-02-01,0.0,0.0
10664,15912,,Maldives,2020-02-02,0.0,0.0
10665,15913,,Maldives,2020-02-03,0.0,0.0
10666,15914,,Maldives,2020-02-04,0.0,0.0
10667,15915,,Maldives,2020-02-05,0.0,0.0
10668,15916,,Maldives,2020-02-06,0.0,0.0
10669,15917,,Maldives,2020-02-07,0.0,0.0
10670,15918,,Maldives,2020-02-08,0.0,0.0
10671,15919,,Maldives,2020-02-09,0.0,0.0
10672,15920,,Maldives,2020-02-10,0.0,0.0
10673,15921,,Maldives,2020-02-11,0.0,0.0
10674,15922,,Maldives,2020-02-12,0.0,0.0
10675,15923,,Maldives,2020-02-13,0.0,0.0
10676,15924,,Maldives,2020-02-14,0.0,0.0
10677,15925,,Maldives,2020-02-15,0.0,0.0
10678,15926,,Maldives,2020-02-16,0.0,0.0
10679,15927,,Maldives,2020-02-17,0.0,0.0
10680,15928,,Maldives,2020-02-18,0.0,0.0
10681,15929,,Maldives,2020-02-19,0.0,0.0
10682,15930,,Maldives,2020-02-20,0.0,0.0
10683,15931,,Maldives,2020-02-21,0.0,0.0
10684,15932,,Maldives,2020-02-22,0.0,0.0
10685,15933,,Maldives,2020-02-23,0.0,0.0
10686,15934,,Maldives,2020-02-24,0.0,0.0
10687,15935,,Maldives,2020-02-25,0.0,0.0
10688,15936,,Maldives,2020-02-26,0.0,0.0
10689,15937,,Maldives,2020-02-27,0.0,0.0
10690,15938,,Maldives,2020-02-28,0.0,0.0
10691,15939,,Maldives,2020-02-29,0.0,0.0
10692,15940,,Maldives,2020-03-01,0.0,0.0
10693,15941,,Maldives,2020-03-02,0.0,0.0
10694,15942,,Maldives,2020-03-03,0.0,0.0
10695,15943,,Maldives,2020-03-04,0.0,0.0
10696,15944,,Maldives,2020-03-05,0.0,0.0
10697,15945,,Maldives,2020-03-06,0.0,0.0
10698,15946,,Maldives,2020-03-07,0.0,0.0
10699,15947,,Maldives,2020-03-08,4.0,0.0
10700,15948,,Maldives,2020-03-09,4.0,0.0
10701,15949,,Maldives,2020-03-10,6.0,0.0
10702,15950,,Maldives,2020-03-11,8.0,0.0
10703,15951,,Maldives,2020-03-12,8.0,0.0
10704,15952,,Maldives,2020-03-13,9.0,0.0
10705,15953,,Maldives,2020-03-14,10.0,0.0
10706,15954,,Maldives,2020-03-15,13.0,0.0
10707,15955,,Maldives,2020-03-16,13.0,0.0
10708,15956,,Maldives,2020-03-17,13.0,0.0
10709,15957,,Maldives,2020-03-18,13.0,0.0
10710,15958,,Maldives,2020-03-19,13.0,0.0
10711,15959,,Maldives,2020-03-20,13.0,0.0
10712,15960,,Maldives,2020-03-21,13.0,0.0
10713,15961,,Maldives,2020-03-22,13.0,0.0
10714,15962,,Maldives,2020-03-23,13.0,0.0
10715,15963,,Maldives,2020-03-24,13.0,0.0
10716,15964,,Maldives,2020-03-25,13.0,0.0
10717,15965,,Maldives,2020-03-26,13.0,0.0
10718,15966,,Maldives,2020-03-27,16.0,0.0
10719,15967,,Maldives,2020-03-28,16.0,0.0
