,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11122,16601,,Monaco,2020-01-22,0.0,0.0
11123,16602,,Monaco,2020-01-23,0.0,0.0
11124,16603,,Monaco,2020-01-24,0.0,0.0
11125,16604,,Monaco,2020-01-25,0.0,0.0
11126,16605,,Monaco,2020-01-26,0.0,0.0
11127,16606,,Monaco,2020-01-27,0.0,0.0
11128,16607,,Monaco,2020-01-28,0.0,0.0
11129,16608,,Monaco,2020-01-29,0.0,0.0
11130,16609,,Monaco,2020-01-30,0.0,0.0
11131,16610,,Monaco,2020-01-31,0.0,0.0
11132,16611,,Monaco,2020-02-01,0.0,0.0
11133,16612,,Monaco,2020-02-02,0.0,0.0
11134,16613,,Monaco,2020-02-03,0.0,0.0
11135,16614,,Monaco,2020-02-04,0.0,0.0
11136,16615,,Monaco,2020-02-05,0.0,0.0
11137,16616,,Monaco,2020-02-06,0.0,0.0
11138,16617,,Monaco,2020-02-07,0.0,0.0
11139,16618,,Monaco,2020-02-08,0.0,0.0
11140,16619,,Monaco,2020-02-09,0.0,0.0
11141,16620,,Monaco,2020-02-10,0.0,0.0
11142,16621,,Monaco,2020-02-11,0.0,0.0
11143,16622,,Monaco,2020-02-12,0.0,0.0
11144,16623,,Monaco,2020-02-13,0.0,0.0
11145,16624,,Monaco,2020-02-14,0.0,0.0
11146,16625,,Monaco,2020-02-15,0.0,0.0
11147,16626,,Monaco,2020-02-16,0.0,0.0
11148,16627,,Monaco,2020-02-17,0.0,0.0
11149,16628,,Monaco,2020-02-18,0.0,0.0
11150,16629,,Monaco,2020-02-19,0.0,0.0
11151,16630,,Monaco,2020-02-20,0.0,0.0
11152,16631,,Monaco,2020-02-21,0.0,0.0
11153,16632,,Monaco,2020-02-22,0.0,0.0
11154,16633,,Monaco,2020-02-23,0.0,0.0
11155,16634,,Monaco,2020-02-24,0.0,0.0
11156,16635,,Monaco,2020-02-25,0.0,0.0
11157,16636,,Monaco,2020-02-26,0.0,0.0
11158,16637,,Monaco,2020-02-27,0.0,0.0
11159,16638,,Monaco,2020-02-28,0.0,0.0
11160,16639,,Monaco,2020-02-29,1.0,0.0
11161,16640,,Monaco,2020-03-01,1.0,0.0
11162,16641,,Monaco,2020-03-02,1.0,0.0
11163,16642,,Monaco,2020-03-03,1.0,0.0
11164,16643,,Monaco,2020-03-04,1.0,0.0
11165,16644,,Monaco,2020-03-05,1.0,0.0
11166,16645,,Monaco,2020-03-06,1.0,0.0
11167,16646,,Monaco,2020-03-07,1.0,0.0
11168,16647,,Monaco,2020-03-08,1.0,0.0
11169,16648,,Monaco,2020-03-09,1.0,0.0
11170,16649,,Monaco,2020-03-10,1.0,0.0
11171,16650,,Monaco,2020-03-11,1.0,0.0
11172,16651,,Monaco,2020-03-12,2.0,0.0
11173,16652,,Monaco,2020-03-13,2.0,0.0
11174,16653,,Monaco,2020-03-14,2.0,0.0
11175,16654,,Monaco,2020-03-15,2.0,0.0
11176,16655,,Monaco,2020-03-16,7.0,0.0
11177,16656,,Monaco,2020-03-17,7.0,0.0
11178,16657,,Monaco,2020-03-18,7.0,0.0
11179,16658,,Monaco,2020-03-19,7.0,0.0
11180,16659,,Monaco,2020-03-20,11.0,0.0
11181,16660,,Monaco,2020-03-21,11.0,0.0
11182,16661,,Monaco,2020-03-22,23.0,0.0
11183,16662,,Monaco,2020-03-23,23.0,0.0
11184,16663,,Monaco,2020-03-24,23.0,0.0
11185,16664,,Monaco,2020-03-25,31.0,0.0
11186,16665,,Monaco,2020-03-26,33.0,0.0
11187,16666,,Monaco,2020-03-27,42.0,0.0
11188,16667,,Monaco,2020-03-28,42.0,0.0
