,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11524,17201,,Nepal,2020-01-22,0.0,0.0
11525,17202,,Nepal,2020-01-23,0.0,0.0
11526,17203,,Nepal,2020-01-24,0.0,0.0
11527,17204,,Nepal,2020-01-25,1.0,0.0
11528,17205,,Nepal,2020-01-26,1.0,0.0
11529,17206,,Nepal,2020-01-27,1.0,0.0
11530,17207,,Nepal,2020-01-28,1.0,0.0
11531,17208,,Nepal,2020-01-29,1.0,0.0
11532,17209,,Nepal,2020-01-30,1.0,0.0
11533,17210,,Nepal,2020-01-31,1.0,0.0
11534,17211,,Nepal,2020-02-01,1.0,0.0
11535,17212,,Nepal,2020-02-02,1.0,0.0
11536,17213,,Nepal,2020-02-03,1.0,0.0
11537,17214,,Nepal,2020-02-04,1.0,0.0
11538,17215,,Nepal,2020-02-05,1.0,0.0
11539,17216,,Nepal,2020-02-06,1.0,0.0
11540,17217,,Nepal,2020-02-07,1.0,0.0
11541,17218,,Nepal,2020-02-08,1.0,0.0
11542,17219,,Nepal,2020-02-09,1.0,0.0
11543,17220,,Nepal,2020-02-10,1.0,0.0
11544,17221,,Nepal,2020-02-11,1.0,0.0
11545,17222,,Nepal,2020-02-12,1.0,0.0
11546,17223,,Nepal,2020-02-13,1.0,0.0
11547,17224,,Nepal,2020-02-14,1.0,0.0
11548,17225,,Nepal,2020-02-15,1.0,0.0
11549,17226,,Nepal,2020-02-16,1.0,0.0
11550,17227,,Nepal,2020-02-17,1.0,0.0
11551,17228,,Nepal,2020-02-18,1.0,0.0
11552,17229,,Nepal,2020-02-19,1.0,0.0
11553,17230,,Nepal,2020-02-20,1.0,0.0
11554,17231,,Nepal,2020-02-21,1.0,0.0
11555,17232,,Nepal,2020-02-22,1.0,0.0
11556,17233,,Nepal,2020-02-23,1.0,0.0
11557,17234,,Nepal,2020-02-24,1.0,0.0
11558,17235,,Nepal,2020-02-25,1.0,0.0
11559,17236,,Nepal,2020-02-26,1.0,0.0
11560,17237,,Nepal,2020-02-27,1.0,0.0
11561,17238,,Nepal,2020-02-28,1.0,0.0
11562,17239,,Nepal,2020-02-29,1.0,0.0
11563,17240,,Nepal,2020-03-01,1.0,0.0
11564,17241,,Nepal,2020-03-02,1.0,0.0
11565,17242,,Nepal,2020-03-03,1.0,0.0
11566,17243,,Nepal,2020-03-04,1.0,0.0
11567,17244,,Nepal,2020-03-05,1.0,0.0
11568,17245,,Nepal,2020-03-06,1.0,0.0
11569,17246,,Nepal,2020-03-07,1.0,0.0
11570,17247,,Nepal,2020-03-08,1.0,0.0
11571,17248,,Nepal,2020-03-09,1.0,0.0
11572,17249,,Nepal,2020-03-10,1.0,0.0
11573,17250,,Nepal,2020-03-11,1.0,0.0
11574,17251,,Nepal,2020-03-12,1.0,0.0
11575,17252,,Nepal,2020-03-13,1.0,0.0
11576,17253,,Nepal,2020-03-14,1.0,0.0
11577,17254,,Nepal,2020-03-15,1.0,0.0
11578,17255,,Nepal,2020-03-16,1.0,0.0
11579,17256,,Nepal,2020-03-17,1.0,0.0
11580,17257,,Nepal,2020-03-18,1.0,0.0
11581,17258,,Nepal,2020-03-19,1.0,0.0
11582,17259,,Nepal,2020-03-20,1.0,0.0
11583,17260,,Nepal,2020-03-21,1.0,0.0
11584,17261,,Nepal,2020-03-22,1.0,0.0
11585,17262,,Nepal,2020-03-23,2.0,0.0
11586,17263,,Nepal,2020-03-24,2.0,0.0
11587,17264,,Nepal,2020-03-25,3.0,0.0
11588,17265,,Nepal,2020-03-26,3.0,0.0
11589,17266,,Nepal,2020-03-27,4.0,0.0
11590,17267,,Nepal,2020-03-28,5.0,0.0
