,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11658,17401,Curacao,Netherlands,2020-01-22,0.0,0.0
11659,17402,Curacao,Netherlands,2020-01-23,0.0,0.0
11660,17403,Curacao,Netherlands,2020-01-24,0.0,0.0
11661,17404,Curacao,Netherlands,2020-01-25,0.0,0.0
11662,17405,Curacao,Netherlands,2020-01-26,0.0,0.0
11663,17406,Curacao,Netherlands,2020-01-27,0.0,0.0
11664,17407,Curacao,Netherlands,2020-01-28,0.0,0.0
11665,17408,Curacao,Netherlands,2020-01-29,0.0,0.0
11666,17409,Curacao,Netherlands,2020-01-30,0.0,0.0
11667,17410,Curacao,Netherlands,2020-01-31,0.0,0.0
11668,17411,Curacao,Netherlands,2020-02-01,0.0,0.0
11669,17412,Curacao,Netherlands,2020-02-02,0.0,0.0
11670,17413,Curacao,Netherlands,2020-02-03,0.0,0.0
11671,17414,Curacao,Netherlands,2020-02-04,0.0,0.0
11672,17415,Curacao,Netherlands,2020-02-05,0.0,0.0
11673,17416,Curacao,Netherlands,2020-02-06,0.0,0.0
11674,17417,Curacao,Netherlands,2020-02-07,0.0,0.0
11675,17418,Curacao,Netherlands,2020-02-08,0.0,0.0
11676,17419,Curacao,Netherlands,2020-02-09,0.0,0.0
11677,17420,Curacao,Netherlands,2020-02-10,0.0,0.0
11678,17421,Curacao,Netherlands,2020-02-11,0.0,0.0
11679,17422,Curacao,Netherlands,2020-02-12,0.0,0.0
11680,17423,Curacao,Netherlands,2020-02-13,0.0,0.0
11681,17424,Curacao,Netherlands,2020-02-14,0.0,0.0
11682,17425,Curacao,Netherlands,2020-02-15,0.0,0.0
11683,17426,Curacao,Netherlands,2020-02-16,0.0,0.0
11684,17427,Curacao,Netherlands,2020-02-17,0.0,0.0
11685,17428,Curacao,Netherlands,2020-02-18,0.0,0.0
11686,17429,Curacao,Netherlands,2020-02-19,0.0,0.0
11687,17430,Curacao,Netherlands,2020-02-20,0.0,0.0
11688,17431,Curacao,Netherlands,2020-02-21,0.0,0.0
11689,17432,Curacao,Netherlands,2020-02-22,0.0,0.0
11690,17433,Curacao,Netherlands,2020-02-23,0.0,0.0
11691,17434,Curacao,Netherlands,2020-02-24,0.0,0.0
11692,17435,Curacao,Netherlands,2020-02-25,0.0,0.0
11693,17436,Curacao,Netherlands,2020-02-26,0.0,0.0
11694,17437,Curacao,Netherlands,2020-02-27,0.0,0.0
11695,17438,Curacao,Netherlands,2020-02-28,0.0,0.0
11696,17439,Curacao,Netherlands,2020-02-29,0.0,0.0
11697,17440,Curacao,Netherlands,2020-03-01,0.0,0.0
11698,17441,Curacao,Netherlands,2020-03-02,0.0,0.0
11699,17442,Curacao,Netherlands,2020-03-03,0.0,0.0
11700,17443,Curacao,Netherlands,2020-03-04,0.0,0.0
11701,17444,Curacao,Netherlands,2020-03-05,0.0,0.0
11702,17445,Curacao,Netherlands,2020-03-06,0.0,0.0
11703,17446,Curacao,Netherlands,2020-03-07,0.0,0.0
11704,17447,Curacao,Netherlands,2020-03-08,0.0,0.0
11705,17448,Curacao,Netherlands,2020-03-09,0.0,0.0
11706,17449,Curacao,Netherlands,2020-03-10,0.0,0.0
11707,17450,Curacao,Netherlands,2020-03-11,0.0,0.0
11708,17451,Curacao,Netherlands,2020-03-12,0.0,0.0
11709,17452,Curacao,Netherlands,2020-03-13,0.0,0.0
11710,17453,Curacao,Netherlands,2020-03-14,1.0,0.0
11711,17454,Curacao,Netherlands,2020-03-15,1.0,0.0
11712,17455,Curacao,Netherlands,2020-03-16,1.0,0.0
11713,17456,Curacao,Netherlands,2020-03-17,3.0,0.0
11714,17457,Curacao,Netherlands,2020-03-18,3.0,0.0
11715,17458,Curacao,Netherlands,2020-03-19,3.0,1.0
11716,17459,Curacao,Netherlands,2020-03-20,3.0,1.0
11717,17460,Curacao,Netherlands,2020-03-21,3.0,1.0
11718,17461,Curacao,Netherlands,2020-03-22,3.0,1.0
11719,17462,Curacao,Netherlands,2020-03-23,4.0,1.0
11720,17463,Curacao,Netherlands,2020-03-24,6.0,1.0
11721,17464,Curacao,Netherlands,2020-03-25,6.0,1.0
11722,17465,Curacao,Netherlands,2020-03-26,6.0,1.0
11723,17466,Curacao,Netherlands,2020-03-27,8.0,1.0
11724,17467,Curacao,Netherlands,2020-03-28,8.0,1.0
