,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11725,17501,Sint Maarten,Netherlands,2020-01-22,0.0,0.0
11726,17502,Sint Maarten,Netherlands,2020-01-23,0.0,0.0
11727,17503,Sint Maarten,Netherlands,2020-01-24,0.0,0.0
11728,17504,Sint Maarten,Netherlands,2020-01-25,0.0,0.0
11729,17505,Sint Maarten,Netherlands,2020-01-26,0.0,0.0
11730,17506,Sint Maarten,Netherlands,2020-01-27,0.0,0.0
11731,17507,Sint Maarten,Netherlands,2020-01-28,0.0,0.0
11732,17508,Sint Maarten,Netherlands,2020-01-29,0.0,0.0
11733,17509,Sint Maarten,Netherlands,2020-01-30,0.0,0.0
11734,17510,Sint Maarten,Netherlands,2020-01-31,0.0,0.0
11735,17511,Sint Maarten,Netherlands,2020-02-01,0.0,0.0
11736,17512,Sint Maarten,Netherlands,2020-02-02,0.0,0.0
11737,17513,Sint Maarten,Netherlands,2020-02-03,0.0,0.0
11738,17514,Sint Maarten,Netherlands,2020-02-04,0.0,0.0
11739,17515,Sint Maarten,Netherlands,2020-02-05,0.0,0.0
11740,17516,Sint Maarten,Netherlands,2020-02-06,0.0,0.0
11741,17517,Sint Maarten,Netherlands,2020-02-07,0.0,0.0
11742,17518,Sint Maarten,Netherlands,2020-02-08,0.0,0.0
11743,17519,Sint Maarten,Netherlands,2020-02-09,0.0,0.0
11744,17520,Sint Maarten,Netherlands,2020-02-10,0.0,0.0
11745,17521,Sint Maarten,Netherlands,2020-02-11,0.0,0.0
11746,17522,Sint Maarten,Netherlands,2020-02-12,0.0,0.0
11747,17523,Sint Maarten,Netherlands,2020-02-13,0.0,0.0
11748,17524,Sint Maarten,Netherlands,2020-02-14,0.0,0.0
11749,17525,Sint Maarten,Netherlands,2020-02-15,0.0,0.0
11750,17526,Sint Maarten,Netherlands,2020-02-16,0.0,0.0
11751,17527,Sint Maarten,Netherlands,2020-02-17,0.0,0.0
11752,17528,Sint Maarten,Netherlands,2020-02-18,0.0,0.0
11753,17529,Sint Maarten,Netherlands,2020-02-19,0.0,0.0
11754,17530,Sint Maarten,Netherlands,2020-02-20,0.0,0.0
11755,17531,Sint Maarten,Netherlands,2020-02-21,0.0,0.0
11756,17532,Sint Maarten,Netherlands,2020-02-22,0.0,0.0
11757,17533,Sint Maarten,Netherlands,2020-02-23,0.0,0.0
11758,17534,Sint Maarten,Netherlands,2020-02-24,0.0,0.0
11759,17535,Sint Maarten,Netherlands,2020-02-25,0.0,0.0
11760,17536,Sint Maarten,Netherlands,2020-02-26,0.0,0.0
11761,17537,Sint Maarten,Netherlands,2020-02-27,0.0,0.0
11762,17538,Sint Maarten,Netherlands,2020-02-28,0.0,0.0
11763,17539,Sint Maarten,Netherlands,2020-02-29,0.0,0.0
11764,17540,Sint Maarten,Netherlands,2020-03-01,0.0,0.0
11765,17541,Sint Maarten,Netherlands,2020-03-02,0.0,0.0
11766,17542,Sint Maarten,Netherlands,2020-03-03,0.0,0.0
11767,17543,Sint Maarten,Netherlands,2020-03-04,0.0,0.0
11768,17544,Sint Maarten,Netherlands,2020-03-05,0.0,0.0
11769,17545,Sint Maarten,Netherlands,2020-03-06,0.0,0.0
11770,17546,Sint Maarten,Netherlands,2020-03-07,0.0,0.0
11771,17547,Sint Maarten,Netherlands,2020-03-08,0.0,0.0
11772,17548,Sint Maarten,Netherlands,2020-03-09,0.0,0.0
11773,17549,Sint Maarten,Netherlands,2020-03-10,0.0,0.0
11774,17550,Sint Maarten,Netherlands,2020-03-11,0.0,0.0
11775,17551,Sint Maarten,Netherlands,2020-03-12,0.0,0.0
11776,17552,Sint Maarten,Netherlands,2020-03-13,0.0,0.0
11777,17553,Sint Maarten,Netherlands,2020-03-14,0.0,0.0
11778,17554,Sint Maarten,Netherlands,2020-03-15,0.0,0.0
11779,17555,Sint Maarten,Netherlands,2020-03-16,0.0,0.0
11780,17556,Sint Maarten,Netherlands,2020-03-17,0.0,0.0
11781,17557,Sint Maarten,Netherlands,2020-03-18,0.0,0.0
11782,17558,Sint Maarten,Netherlands,2020-03-19,0.0,0.0
11783,17559,Sint Maarten,Netherlands,2020-03-20,1.0,0.0
11784,17560,Sint Maarten,Netherlands,2020-03-21,1.0,0.0
11785,17561,Sint Maarten,Netherlands,2020-03-22,1.0,0.0
11786,17562,Sint Maarten,Netherlands,2020-03-23,2.0,0.0
11787,17563,Sint Maarten,Netherlands,2020-03-24,2.0,0.0
11788,17564,Sint Maarten,Netherlands,2020-03-25,3.0,0.0
11789,17565,Sint Maarten,Netherlands,2020-03-26,3.0,0.0
11790,17566,Sint Maarten,Netherlands,2020-03-27,3.0,0.0
11791,17567,Sint Maarten,Netherlands,2020-03-28,3.0,0.0
