,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11859,17701,,New Zealand,2020-01-22,0.0,0.0
11860,17702,,New Zealand,2020-01-23,0.0,0.0
11861,17703,,New Zealand,2020-01-24,0.0,0.0
11862,17704,,New Zealand,2020-01-25,0.0,0.0
11863,17705,,New Zealand,2020-01-26,0.0,0.0
11864,17706,,New Zealand,2020-01-27,0.0,0.0
11865,17707,,New Zealand,2020-01-28,0.0,0.0
11866,17708,,New Zealand,2020-01-29,0.0,0.0
11867,17709,,New Zealand,2020-01-30,0.0,0.0
11868,17710,,New Zealand,2020-01-31,0.0,0.0
11869,17711,,New Zealand,2020-02-01,0.0,0.0
11870,17712,,New Zealand,2020-02-02,0.0,0.0
11871,17713,,New Zealand,2020-02-03,0.0,0.0
11872,17714,,New Zealand,2020-02-04,0.0,0.0
11873,17715,,New Zealand,2020-02-05,0.0,0.0
11874,17716,,New Zealand,2020-02-06,0.0,0.0
11875,17717,,New Zealand,2020-02-07,0.0,0.0
11876,17718,,New Zealand,2020-02-08,0.0,0.0
11877,17719,,New Zealand,2020-02-09,0.0,0.0
11878,17720,,New Zealand,2020-02-10,0.0,0.0
11879,17721,,New Zealand,2020-02-11,0.0,0.0
11880,17722,,New Zealand,2020-02-12,0.0,0.0
11881,17723,,New Zealand,2020-02-13,0.0,0.0
11882,17724,,New Zealand,2020-02-14,0.0,0.0
11883,17725,,New Zealand,2020-02-15,0.0,0.0
11884,17726,,New Zealand,2020-02-16,0.0,0.0
11885,17727,,New Zealand,2020-02-17,0.0,0.0
11886,17728,,New Zealand,2020-02-18,0.0,0.0
11887,17729,,New Zealand,2020-02-19,0.0,0.0
11888,17730,,New Zealand,2020-02-20,0.0,0.0
11889,17731,,New Zealand,2020-02-21,0.0,0.0
11890,17732,,New Zealand,2020-02-22,0.0,0.0
11891,17733,,New Zealand,2020-02-23,0.0,0.0
11892,17734,,New Zealand,2020-02-24,0.0,0.0
11893,17735,,New Zealand,2020-02-25,0.0,0.0
11894,17736,,New Zealand,2020-02-26,0.0,0.0
11895,17737,,New Zealand,2020-02-27,0.0,0.0
11896,17738,,New Zealand,2020-02-28,1.0,0.0
11897,17739,,New Zealand,2020-02-29,1.0,0.0
11898,17740,,New Zealand,2020-03-01,1.0,0.0
11899,17741,,New Zealand,2020-03-02,1.0,0.0
11900,17742,,New Zealand,2020-03-03,1.0,0.0
11901,17743,,New Zealand,2020-03-04,3.0,0.0
11902,17744,,New Zealand,2020-03-05,3.0,0.0
11903,17745,,New Zealand,2020-03-06,4.0,0.0
11904,17746,,New Zealand,2020-03-07,5.0,0.0
11905,17747,,New Zealand,2020-03-08,5.0,0.0
11906,17748,,New Zealand,2020-03-09,5.0,0.0
11907,17749,,New Zealand,2020-03-10,5.0,0.0
11908,17750,,New Zealand,2020-03-11,5.0,0.0
11909,17751,,New Zealand,2020-03-12,5.0,0.0
11910,17752,,New Zealand,2020-03-13,5.0,0.0
11911,17753,,New Zealand,2020-03-14,6.0,0.0
11912,17754,,New Zealand,2020-03-15,8.0,0.0
11913,17755,,New Zealand,2020-03-16,8.0,0.0
11914,17756,,New Zealand,2020-03-17,12.0,0.0
11915,17757,,New Zealand,2020-03-18,20.0,0.0
11916,17758,,New Zealand,2020-03-19,28.0,0.0
11917,17759,,New Zealand,2020-03-20,39.0,0.0
11918,17760,,New Zealand,2020-03-21,52.0,0.0
11919,17761,,New Zealand,2020-03-22,102.0,0.0
11920,17762,,New Zealand,2020-03-23,102.0,0.0
11921,17763,,New Zealand,2020-03-24,155.0,0.0
11922,17764,,New Zealand,2020-03-25,205.0,0.0
11923,17765,,New Zealand,2020-03-26,283.0,0.0
11924,17766,,New Zealand,2020-03-27,368.0,0.0
11925,17767,,New Zealand,2020-03-28,451.0,0.0
