,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11926,17801,,Nicaragua,2020-01-22,0.0,0.0
11927,17802,,Nicaragua,2020-01-23,0.0,0.0
11928,17803,,Nicaragua,2020-01-24,0.0,0.0
11929,17804,,Nicaragua,2020-01-25,0.0,0.0
11930,17805,,Nicaragua,2020-01-26,0.0,0.0
11931,17806,,Nicaragua,2020-01-27,0.0,0.0
11932,17807,,Nicaragua,2020-01-28,0.0,0.0
11933,17808,,Nicaragua,2020-01-29,0.0,0.0
11934,17809,,Nicaragua,2020-01-30,0.0,0.0
11935,17810,,Nicaragua,2020-01-31,0.0,0.0
11936,17811,,Nicaragua,2020-02-01,0.0,0.0
11937,17812,,Nicaragua,2020-02-02,0.0,0.0
11938,17813,,Nicaragua,2020-02-03,0.0,0.0
11939,17814,,Nicaragua,2020-02-04,0.0,0.0
11940,17815,,Nicaragua,2020-02-05,0.0,0.0
11941,17816,,Nicaragua,2020-02-06,0.0,0.0
11942,17817,,Nicaragua,2020-02-07,0.0,0.0
11943,17818,,Nicaragua,2020-02-08,0.0,0.0
11944,17819,,Nicaragua,2020-02-09,0.0,0.0
11945,17820,,Nicaragua,2020-02-10,0.0,0.0
11946,17821,,Nicaragua,2020-02-11,0.0,0.0
11947,17822,,Nicaragua,2020-02-12,0.0,0.0
11948,17823,,Nicaragua,2020-02-13,0.0,0.0
11949,17824,,Nicaragua,2020-02-14,0.0,0.0
11950,17825,,Nicaragua,2020-02-15,0.0,0.0
11951,17826,,Nicaragua,2020-02-16,0.0,0.0
11952,17827,,Nicaragua,2020-02-17,0.0,0.0
11953,17828,,Nicaragua,2020-02-18,0.0,0.0
11954,17829,,Nicaragua,2020-02-19,0.0,0.0
11955,17830,,Nicaragua,2020-02-20,0.0,0.0
11956,17831,,Nicaragua,2020-02-21,0.0,0.0
11957,17832,,Nicaragua,2020-02-22,0.0,0.0
11958,17833,,Nicaragua,2020-02-23,0.0,0.0
11959,17834,,Nicaragua,2020-02-24,0.0,0.0
11960,17835,,Nicaragua,2020-02-25,0.0,0.0
11961,17836,,Nicaragua,2020-02-26,0.0,0.0
11962,17837,,Nicaragua,2020-02-27,0.0,0.0
11963,17838,,Nicaragua,2020-02-28,0.0,0.0
11964,17839,,Nicaragua,2020-02-29,0.0,0.0
11965,17840,,Nicaragua,2020-03-01,0.0,0.0
11966,17841,,Nicaragua,2020-03-02,0.0,0.0
11967,17842,,Nicaragua,2020-03-03,0.0,0.0
11968,17843,,Nicaragua,2020-03-04,0.0,0.0
11969,17844,,Nicaragua,2020-03-05,0.0,0.0
11970,17845,,Nicaragua,2020-03-06,0.0,0.0
11971,17846,,Nicaragua,2020-03-07,0.0,0.0
11972,17847,,Nicaragua,2020-03-08,0.0,0.0
11973,17848,,Nicaragua,2020-03-09,0.0,0.0
11974,17849,,Nicaragua,2020-03-10,0.0,0.0
11975,17850,,Nicaragua,2020-03-11,0.0,0.0
11976,17851,,Nicaragua,2020-03-12,0.0,0.0
11977,17852,,Nicaragua,2020-03-13,0.0,0.0
11978,17853,,Nicaragua,2020-03-14,0.0,0.0
11979,17854,,Nicaragua,2020-03-15,0.0,0.0
11980,17855,,Nicaragua,2020-03-16,0.0,0.0
11981,17856,,Nicaragua,2020-03-17,0.0,0.0
11982,17857,,Nicaragua,2020-03-18,0.0,0.0
11983,17858,,Nicaragua,2020-03-19,1.0,0.0
11984,17859,,Nicaragua,2020-03-20,1.0,0.0
11985,17860,,Nicaragua,2020-03-21,2.0,0.0
11986,17861,,Nicaragua,2020-03-22,2.0,0.0
11987,17862,,Nicaragua,2020-03-23,2.0,0.0
11988,17863,,Nicaragua,2020-03-24,2.0,0.0
11989,17864,,Nicaragua,2020-03-25,2.0,0.0
11990,17865,,Nicaragua,2020-03-26,2.0,0.0
11991,17866,,Nicaragua,2020-03-27,2.0,1.0
11992,17867,,Nicaragua,2020-03-28,4.0,1.0
