,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11993,17901,,Niger,2020-01-22,0.0,0.0
11994,17902,,Niger,2020-01-23,0.0,0.0
11995,17903,,Niger,2020-01-24,0.0,0.0
11996,17904,,Niger,2020-01-25,0.0,0.0
11997,17905,,Niger,2020-01-26,0.0,0.0
11998,17906,,Niger,2020-01-27,0.0,0.0
11999,17907,,Niger,2020-01-28,0.0,0.0
12000,17908,,Niger,2020-01-29,0.0,0.0
12001,17909,,Niger,2020-01-30,0.0,0.0
12002,17910,,Niger,2020-01-31,0.0,0.0
12003,17911,,Niger,2020-02-01,0.0,0.0
12004,17912,,Niger,2020-02-02,0.0,0.0
12005,17913,,Niger,2020-02-03,0.0,0.0
12006,17914,,Niger,2020-02-04,0.0,0.0
12007,17915,,Niger,2020-02-05,0.0,0.0
12008,17916,,Niger,2020-02-06,0.0,0.0
12009,17917,,Niger,2020-02-07,0.0,0.0
12010,17918,,Niger,2020-02-08,0.0,0.0
12011,17919,,Niger,2020-02-09,0.0,0.0
12012,17920,,Niger,2020-02-10,0.0,0.0
12013,17921,,Niger,2020-02-11,0.0,0.0
12014,17922,,Niger,2020-02-12,0.0,0.0
12015,17923,,Niger,2020-02-13,0.0,0.0
12016,17924,,Niger,2020-02-14,0.0,0.0
12017,17925,,Niger,2020-02-15,0.0,0.0
12018,17926,,Niger,2020-02-16,0.0,0.0
12019,17927,,Niger,2020-02-17,0.0,0.0
12020,17928,,Niger,2020-02-18,0.0,0.0
12021,17929,,Niger,2020-02-19,0.0,0.0
12022,17930,,Niger,2020-02-20,0.0,0.0
12023,17931,,Niger,2020-02-21,0.0,0.0
12024,17932,,Niger,2020-02-22,0.0,0.0
12025,17933,,Niger,2020-02-23,0.0,0.0
12026,17934,,Niger,2020-02-24,0.0,0.0
12027,17935,,Niger,2020-02-25,0.0,0.0
12028,17936,,Niger,2020-02-26,0.0,0.0
12029,17937,,Niger,2020-02-27,0.0,0.0
12030,17938,,Niger,2020-02-28,0.0,0.0
12031,17939,,Niger,2020-02-29,0.0,0.0
12032,17940,,Niger,2020-03-01,0.0,0.0
12033,17941,,Niger,2020-03-02,0.0,0.0
12034,17942,,Niger,2020-03-03,0.0,0.0
12035,17943,,Niger,2020-03-04,0.0,0.0
12036,17944,,Niger,2020-03-05,0.0,0.0
12037,17945,,Niger,2020-03-06,0.0,0.0
12038,17946,,Niger,2020-03-07,0.0,0.0
12039,17947,,Niger,2020-03-08,0.0,0.0
12040,17948,,Niger,2020-03-09,0.0,0.0
12041,17949,,Niger,2020-03-10,0.0,0.0
12042,17950,,Niger,2020-03-11,0.0,0.0
12043,17951,,Niger,2020-03-12,0.0,0.0
12044,17952,,Niger,2020-03-13,0.0,0.0
12045,17953,,Niger,2020-03-14,0.0,0.0
12046,17954,,Niger,2020-03-15,0.0,0.0
12047,17955,,Niger,2020-03-16,0.0,0.0
12048,17956,,Niger,2020-03-17,0.0,0.0
12049,17957,,Niger,2020-03-18,0.0,0.0
12050,17958,,Niger,2020-03-19,0.0,0.0
12051,17959,,Niger,2020-03-20,1.0,0.0
12052,17960,,Niger,2020-03-21,1.0,0.0
12053,17961,,Niger,2020-03-22,2.0,0.0
12054,17962,,Niger,2020-03-23,3.0,0.0
12055,17963,,Niger,2020-03-24,3.0,0.0
12056,17964,,Niger,2020-03-25,7.0,1.0
12057,17965,,Niger,2020-03-26,10.0,1.0
12058,17966,,Niger,2020-03-27,10.0,1.0
12059,17967,,Niger,2020-03-28,10.0,1.0
