,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12194,18201,,Norway,2020-01-22,0.0,0.0
12195,18202,,Norway,2020-01-23,0.0,0.0
12196,18203,,Norway,2020-01-24,0.0,0.0
12197,18204,,Norway,2020-01-25,0.0,0.0
12198,18205,,Norway,2020-01-26,0.0,0.0
12199,18206,,Norway,2020-01-27,0.0,0.0
12200,18207,,Norway,2020-01-28,0.0,0.0
12201,18208,,Norway,2020-01-29,0.0,0.0
12202,18209,,Norway,2020-01-30,0.0,0.0
12203,18210,,Norway,2020-01-31,0.0,0.0
12204,18211,,Norway,2020-02-01,0.0,0.0
12205,18212,,Norway,2020-02-02,0.0,0.0
12206,18213,,Norway,2020-02-03,0.0,0.0
12207,18214,,Norway,2020-02-04,0.0,0.0
12208,18215,,Norway,2020-02-05,0.0,0.0
12209,18216,,Norway,2020-02-06,0.0,0.0
12210,18217,,Norway,2020-02-07,0.0,0.0
12211,18218,,Norway,2020-02-08,0.0,0.0
12212,18219,,Norway,2020-02-09,0.0,0.0
12213,18220,,Norway,2020-02-10,0.0,0.0
12214,18221,,Norway,2020-02-11,0.0,0.0
12215,18222,,Norway,2020-02-12,0.0,0.0
12216,18223,,Norway,2020-02-13,0.0,0.0
12217,18224,,Norway,2020-02-14,0.0,0.0
12218,18225,,Norway,2020-02-15,0.0,0.0
12219,18226,,Norway,2020-02-16,0.0,0.0
12220,18227,,Norway,2020-02-17,0.0,0.0
12221,18228,,Norway,2020-02-18,0.0,0.0
12222,18229,,Norway,2020-02-19,0.0,0.0
12223,18230,,Norway,2020-02-20,0.0,0.0
12224,18231,,Norway,2020-02-21,0.0,0.0
12225,18232,,Norway,2020-02-22,0.0,0.0
12226,18233,,Norway,2020-02-23,0.0,0.0
12227,18234,,Norway,2020-02-24,0.0,0.0
12228,18235,,Norway,2020-02-25,0.0,0.0
12229,18236,,Norway,2020-02-26,1.0,0.0
12230,18237,,Norway,2020-02-27,1.0,0.0
12231,18238,,Norway,2020-02-28,6.0,0.0
12232,18239,,Norway,2020-02-29,15.0,0.0
12233,18240,,Norway,2020-03-01,19.0,0.0
12234,18241,,Norway,2020-03-02,25.0,0.0
12235,18242,,Norway,2020-03-03,32.0,0.0
12236,18243,,Norway,2020-03-04,56.0,0.0
12237,18244,,Norway,2020-03-05,87.0,0.0
12238,18245,,Norway,2020-03-06,108.0,0.0
12239,18246,,Norway,2020-03-07,147.0,0.0
12240,18247,,Norway,2020-03-08,176.0,0.0
12241,18248,,Norway,2020-03-09,205.0,0.0
12242,18249,,Norway,2020-03-10,400.0,0.0
12243,18250,,Norway,2020-03-11,598.0,0.0
12244,18251,,Norway,2020-03-12,702.0,0.0
12245,18252,,Norway,2020-03-13,996.0,0.0
12246,18253,,Norway,2020-03-14,1090.0,3.0
12247,18254,,Norway,2020-03-15,1221.0,3.0
12248,18255,,Norway,2020-03-16,1333.0,3.0
12249,18256,,Norway,2020-03-17,1463.0,3.0
12250,18257,,Norway,2020-03-18,1550.0,6.0
12251,18258,,Norway,2020-03-19,1746.0,7.0
12252,18259,,Norway,2020-03-20,1914.0,7.0
12253,18260,,Norway,2020-03-21,2118.0,7.0
12254,18261,,Norway,2020-03-22,2385.0,7.0
12255,18262,,Norway,2020-03-23,2621.0,10.0
12256,18263,,Norway,2020-03-24,2863.0,12.0
12257,18264,,Norway,2020-03-25,3084.0,14.0
12258,18265,,Norway,2020-03-26,3369.0,14.0
12259,18266,,Norway,2020-03-27,3755.0,19.0
12260,18267,,Norway,2020-03-28,4015.0,23.0
