,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12328,18401,,Pakistan,2020-01-22,0.0,0.0
12329,18402,,Pakistan,2020-01-23,0.0,0.0
12330,18403,,Pakistan,2020-01-24,0.0,0.0
12331,18404,,Pakistan,2020-01-25,0.0,0.0
12332,18405,,Pakistan,2020-01-26,0.0,0.0
12333,18406,,Pakistan,2020-01-27,0.0,0.0
12334,18407,,Pakistan,2020-01-28,0.0,0.0
12335,18408,,Pakistan,2020-01-29,0.0,0.0
12336,18409,,Pakistan,2020-01-30,0.0,0.0
12337,18410,,Pakistan,2020-01-31,0.0,0.0
12338,18411,,Pakistan,2020-02-01,0.0,0.0
12339,18412,,Pakistan,2020-02-02,0.0,0.0
12340,18413,,Pakistan,2020-02-03,0.0,0.0
12341,18414,,Pakistan,2020-02-04,0.0,0.0
12342,18415,,Pakistan,2020-02-05,0.0,0.0
12343,18416,,Pakistan,2020-02-06,0.0,0.0
12344,18417,,Pakistan,2020-02-07,0.0,0.0
12345,18418,,Pakistan,2020-02-08,0.0,0.0
12346,18419,,Pakistan,2020-02-09,0.0,0.0
12347,18420,,Pakistan,2020-02-10,0.0,0.0
12348,18421,,Pakistan,2020-02-11,0.0,0.0
12349,18422,,Pakistan,2020-02-12,0.0,0.0
12350,18423,,Pakistan,2020-02-13,0.0,0.0
12351,18424,,Pakistan,2020-02-14,0.0,0.0
12352,18425,,Pakistan,2020-02-15,0.0,0.0
12353,18426,,Pakistan,2020-02-16,0.0,0.0
12354,18427,,Pakistan,2020-02-17,0.0,0.0
12355,18428,,Pakistan,2020-02-18,0.0,0.0
12356,18429,,Pakistan,2020-02-19,0.0,0.0
12357,18430,,Pakistan,2020-02-20,0.0,0.0
12358,18431,,Pakistan,2020-02-21,0.0,0.0
12359,18432,,Pakistan,2020-02-22,0.0,0.0
12360,18433,,Pakistan,2020-02-23,0.0,0.0
12361,18434,,Pakistan,2020-02-24,0.0,0.0
12362,18435,,Pakistan,2020-02-25,0.0,0.0
12363,18436,,Pakistan,2020-02-26,2.0,0.0
12364,18437,,Pakistan,2020-02-27,2.0,0.0
12365,18438,,Pakistan,2020-02-28,2.0,0.0
12366,18439,,Pakistan,2020-02-29,4.0,0.0
12367,18440,,Pakistan,2020-03-01,4.0,0.0
12368,18441,,Pakistan,2020-03-02,4.0,0.0
12369,18442,,Pakistan,2020-03-03,5.0,0.0
12370,18443,,Pakistan,2020-03-04,5.0,0.0
12371,18444,,Pakistan,2020-03-05,5.0,0.0
12372,18445,,Pakistan,2020-03-06,6.0,0.0
12373,18446,,Pakistan,2020-03-07,6.0,0.0
12374,18447,,Pakistan,2020-03-08,6.0,0.0
12375,18448,,Pakistan,2020-03-09,6.0,0.0
12376,18449,,Pakistan,2020-03-10,16.0,0.0
12377,18450,,Pakistan,2020-03-11,19.0,0.0
12378,18451,,Pakistan,2020-03-12,20.0,0.0
12379,18452,,Pakistan,2020-03-13,28.0,0.0
12380,18453,,Pakistan,2020-03-14,31.0,0.0
12381,18454,,Pakistan,2020-03-15,53.0,0.0
12382,18455,,Pakistan,2020-03-16,136.0,0.0
12383,18456,,Pakistan,2020-03-17,236.0,0.0
12384,18457,,Pakistan,2020-03-18,299.0,0.0
12385,18458,,Pakistan,2020-03-19,454.0,2.0
12386,18459,,Pakistan,2020-03-20,501.0,3.0
12387,18460,,Pakistan,2020-03-21,730.0,3.0
12388,18461,,Pakistan,2020-03-22,776.0,5.0
12389,18462,,Pakistan,2020-03-23,875.0,6.0
12390,18463,,Pakistan,2020-03-24,972.0,7.0
12391,18464,,Pakistan,2020-03-25,1063.0,8.0
12392,18465,,Pakistan,2020-03-26,1201.0,9.0
12393,18466,,Pakistan,2020-03-27,1373.0,11.0
12394,18467,,Pakistan,2020-03-28,1495.0,12.0
