,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12529,18701,,Paraguay,2020-01-22,0.0,0.0
12530,18702,,Paraguay,2020-01-23,0.0,0.0
12531,18703,,Paraguay,2020-01-24,0.0,0.0
12532,18704,,Paraguay,2020-01-25,0.0,0.0
12533,18705,,Paraguay,2020-01-26,0.0,0.0
12534,18706,,Paraguay,2020-01-27,0.0,0.0
12535,18707,,Paraguay,2020-01-28,0.0,0.0
12536,18708,,Paraguay,2020-01-29,0.0,0.0
12537,18709,,Paraguay,2020-01-30,0.0,0.0
12538,18710,,Paraguay,2020-01-31,0.0,0.0
12539,18711,,Paraguay,2020-02-01,0.0,0.0
12540,18712,,Paraguay,2020-02-02,0.0,0.0
12541,18713,,Paraguay,2020-02-03,0.0,0.0
12542,18714,,Paraguay,2020-02-04,0.0,0.0
12543,18715,,Paraguay,2020-02-05,0.0,0.0
12544,18716,,Paraguay,2020-02-06,0.0,0.0
12545,18717,,Paraguay,2020-02-07,0.0,0.0
12546,18718,,Paraguay,2020-02-08,0.0,0.0
12547,18719,,Paraguay,2020-02-09,0.0,0.0
12548,18720,,Paraguay,2020-02-10,0.0,0.0
12549,18721,,Paraguay,2020-02-11,0.0,0.0
12550,18722,,Paraguay,2020-02-12,0.0,0.0
12551,18723,,Paraguay,2020-02-13,0.0,0.0
12552,18724,,Paraguay,2020-02-14,0.0,0.0
12553,18725,,Paraguay,2020-02-15,0.0,0.0
12554,18726,,Paraguay,2020-02-16,0.0,0.0
12555,18727,,Paraguay,2020-02-17,0.0,0.0
12556,18728,,Paraguay,2020-02-18,0.0,0.0
12557,18729,,Paraguay,2020-02-19,0.0,0.0
12558,18730,,Paraguay,2020-02-20,0.0,0.0
12559,18731,,Paraguay,2020-02-21,0.0,0.0
12560,18732,,Paraguay,2020-02-22,0.0,0.0
12561,18733,,Paraguay,2020-02-23,0.0,0.0
12562,18734,,Paraguay,2020-02-24,0.0,0.0
12563,18735,,Paraguay,2020-02-25,0.0,0.0
12564,18736,,Paraguay,2020-02-26,0.0,0.0
12565,18737,,Paraguay,2020-02-27,0.0,0.0
12566,18738,,Paraguay,2020-02-28,0.0,0.0
12567,18739,,Paraguay,2020-02-29,0.0,0.0
12568,18740,,Paraguay,2020-03-01,0.0,0.0
12569,18741,,Paraguay,2020-03-02,0.0,0.0
12570,18742,,Paraguay,2020-03-03,0.0,0.0
12571,18743,,Paraguay,2020-03-04,0.0,0.0
12572,18744,,Paraguay,2020-03-05,0.0,0.0
12573,18745,,Paraguay,2020-03-06,0.0,0.0
12574,18746,,Paraguay,2020-03-07,0.0,0.0
12575,18747,,Paraguay,2020-03-08,1.0,0.0
12576,18748,,Paraguay,2020-03-09,1.0,0.0
12577,18749,,Paraguay,2020-03-10,1.0,0.0
12578,18750,,Paraguay,2020-03-11,5.0,0.0
12579,18751,,Paraguay,2020-03-12,5.0,0.0
12580,18752,,Paraguay,2020-03-13,6.0,0.0
12581,18753,,Paraguay,2020-03-14,6.0,0.0
12582,18754,,Paraguay,2020-03-15,6.0,0.0
12583,18755,,Paraguay,2020-03-16,8.0,0.0
12584,18756,,Paraguay,2020-03-17,9.0,0.0
12585,18757,,Paraguay,2020-03-18,11.0,0.0
12586,18758,,Paraguay,2020-03-19,11.0,0.0
12587,18759,,Paraguay,2020-03-20,13.0,0.0
12588,18760,,Paraguay,2020-03-21,18.0,1.0
12589,18761,,Paraguay,2020-03-22,22.0,1.0
12590,18762,,Paraguay,2020-03-23,22.0,1.0
12591,18763,,Paraguay,2020-03-24,27.0,2.0
12592,18764,,Paraguay,2020-03-25,37.0,3.0
12593,18765,,Paraguay,2020-03-26,41.0,3.0
12594,18766,,Paraguay,2020-03-27,52.0,3.0
12595,18767,,Paraguay,2020-03-28,56.0,3.0
