,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12663,18901,,Philippines,2020-01-22,0.0,0.0
12664,18902,,Philippines,2020-01-23,0.0,0.0
12665,18903,,Philippines,2020-01-24,0.0,0.0
12666,18904,,Philippines,2020-01-25,0.0,0.0
12667,18905,,Philippines,2020-01-26,0.0,0.0
12668,18906,,Philippines,2020-01-27,0.0,0.0
12669,18907,,Philippines,2020-01-28,0.0,0.0
12670,18908,,Philippines,2020-01-29,0.0,0.0
12671,18909,,Philippines,2020-01-30,1.0,0.0
12672,18910,,Philippines,2020-01-31,1.0,0.0
12673,18911,,Philippines,2020-02-01,1.0,0.0
12674,18912,,Philippines,2020-02-02,2.0,1.0
12675,18913,,Philippines,2020-02-03,2.0,1.0
12676,18914,,Philippines,2020-02-04,2.0,1.0
12677,18915,,Philippines,2020-02-05,2.0,1.0
12678,18916,,Philippines,2020-02-06,2.0,1.0
12679,18917,,Philippines,2020-02-07,3.0,1.0
12680,18918,,Philippines,2020-02-08,3.0,1.0
12681,18919,,Philippines,2020-02-09,3.0,1.0
12682,18920,,Philippines,2020-02-10,3.0,1.0
12683,18921,,Philippines,2020-02-11,3.0,1.0
12684,18922,,Philippines,2020-02-12,3.0,1.0
12685,18923,,Philippines,2020-02-13,3.0,1.0
12686,18924,,Philippines,2020-02-14,3.0,1.0
12687,18925,,Philippines,2020-02-15,3.0,1.0
12688,18926,,Philippines,2020-02-16,3.0,1.0
12689,18927,,Philippines,2020-02-17,3.0,1.0
12690,18928,,Philippines,2020-02-18,3.0,1.0
12691,18929,,Philippines,2020-02-19,3.0,1.0
12692,18930,,Philippines,2020-02-20,3.0,1.0
12693,18931,,Philippines,2020-02-21,3.0,1.0
12694,18932,,Philippines,2020-02-22,3.0,1.0
12695,18933,,Philippines,2020-02-23,3.0,1.0
12696,18934,,Philippines,2020-02-24,3.0,1.0
12697,18935,,Philippines,2020-02-25,3.0,1.0
12698,18936,,Philippines,2020-02-26,3.0,1.0
12699,18937,,Philippines,2020-02-27,3.0,1.0
12700,18938,,Philippines,2020-02-28,3.0,1.0
12701,18939,,Philippines,2020-02-29,3.0,1.0
12702,18940,,Philippines,2020-03-01,3.0,1.0
12703,18941,,Philippines,2020-03-02,3.0,1.0
12704,18942,,Philippines,2020-03-03,3.0,1.0
12705,18943,,Philippines,2020-03-04,3.0,1.0
12706,18944,,Philippines,2020-03-05,3.0,1.0
12707,18945,,Philippines,2020-03-06,5.0,1.0
12708,18946,,Philippines,2020-03-07,6.0,1.0
12709,18947,,Philippines,2020-03-08,10.0,1.0
12710,18948,,Philippines,2020-03-09,20.0,1.0
12711,18949,,Philippines,2020-03-10,33.0,1.0
12712,18950,,Philippines,2020-03-11,49.0,1.0
12713,18951,,Philippines,2020-03-12,52.0,2.0
12714,18952,,Philippines,2020-03-13,64.0,5.0
12715,18953,,Philippines,2020-03-14,111.0,8.0
12716,18954,,Philippines,2020-03-15,140.0,11.0
12717,18955,,Philippines,2020-03-16,142.0,12.0
12718,18956,,Philippines,2020-03-17,187.0,12.0
12719,18957,,Philippines,2020-03-18,202.0,19.0
12720,18958,,Philippines,2020-03-19,217.0,17.0
12721,18959,,Philippines,2020-03-20,230.0,18.0
12722,18960,,Philippines,2020-03-21,307.0,19.0
12723,18961,,Philippines,2020-03-22,380.0,25.0
12724,18962,,Philippines,2020-03-23,462.0,33.0
12725,18963,,Philippines,2020-03-24,552.0,35.0
12726,18964,,Philippines,2020-03-25,636.0,38.0
12727,18965,,Philippines,2020-03-26,707.0,45.0
12728,18966,,Philippines,2020-03-27,803.0,54.0
12729,18967,,Philippines,2020-03-28,1075.0,68.0
