,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12730,19001,,Poland,2020-01-22,0.0,0.0
12731,19002,,Poland,2020-01-23,0.0,0.0
12732,19003,,Poland,2020-01-24,0.0,0.0
12733,19004,,Poland,2020-01-25,0.0,0.0
12734,19005,,Poland,2020-01-26,0.0,0.0
12735,19006,,Poland,2020-01-27,0.0,0.0
12736,19007,,Poland,2020-01-28,0.0,0.0
12737,19008,,Poland,2020-01-29,0.0,0.0
12738,19009,,Poland,2020-01-30,0.0,0.0
12739,19010,,Poland,2020-01-31,0.0,0.0
12740,19011,,Poland,2020-02-01,0.0,0.0
12741,19012,,Poland,2020-02-02,0.0,0.0
12742,19013,,Poland,2020-02-03,0.0,0.0
12743,19014,,Poland,2020-02-04,0.0,0.0
12744,19015,,Poland,2020-02-05,0.0,0.0
12745,19016,,Poland,2020-02-06,0.0,0.0
12746,19017,,Poland,2020-02-07,0.0,0.0
12747,19018,,Poland,2020-02-08,0.0,0.0
12748,19019,,Poland,2020-02-09,0.0,0.0
12749,19020,,Poland,2020-02-10,0.0,0.0
12750,19021,,Poland,2020-02-11,0.0,0.0
12751,19022,,Poland,2020-02-12,0.0,0.0
12752,19023,,Poland,2020-02-13,0.0,0.0
12753,19024,,Poland,2020-02-14,0.0,0.0
12754,19025,,Poland,2020-02-15,0.0,0.0
12755,19026,,Poland,2020-02-16,0.0,0.0
12756,19027,,Poland,2020-02-17,0.0,0.0
12757,19028,,Poland,2020-02-18,0.0,0.0
12758,19029,,Poland,2020-02-19,0.0,0.0
12759,19030,,Poland,2020-02-20,0.0,0.0
12760,19031,,Poland,2020-02-21,0.0,0.0
12761,19032,,Poland,2020-02-22,0.0,0.0
12762,19033,,Poland,2020-02-23,0.0,0.0
12763,19034,,Poland,2020-02-24,0.0,0.0
12764,19035,,Poland,2020-02-25,0.0,0.0
12765,19036,,Poland,2020-02-26,0.0,0.0
12766,19037,,Poland,2020-02-27,0.0,0.0
12767,19038,,Poland,2020-02-28,0.0,0.0
12768,19039,,Poland,2020-02-29,0.0,0.0
12769,19040,,Poland,2020-03-01,0.0,0.0
12770,19041,,Poland,2020-03-02,0.0,0.0
12771,19042,,Poland,2020-03-03,0.0,0.0
12772,19043,,Poland,2020-03-04,1.0,0.0
12773,19044,,Poland,2020-03-05,1.0,0.0
12774,19045,,Poland,2020-03-06,5.0,0.0
12775,19046,,Poland,2020-03-07,5.0,0.0
12776,19047,,Poland,2020-03-08,11.0,0.0
12777,19048,,Poland,2020-03-09,16.0,0.0
12778,19049,,Poland,2020-03-10,22.0,0.0
12779,19050,,Poland,2020-03-11,31.0,0.0
12780,19051,,Poland,2020-03-12,49.0,1.0
12781,19052,,Poland,2020-03-13,68.0,2.0
12782,19053,,Poland,2020-03-14,103.0,3.0
12783,19054,,Poland,2020-03-15,119.0,3.0
12784,19055,,Poland,2020-03-16,177.0,4.0
12785,19056,,Poland,2020-03-17,238.0,5.0
12786,19057,,Poland,2020-03-18,251.0,5.0
12787,19058,,Poland,2020-03-19,355.0,5.0
12788,19059,,Poland,2020-03-20,425.0,5.0
12789,19060,,Poland,2020-03-21,536.0,5.0
12790,19061,,Poland,2020-03-22,634.0,7.0
12791,19062,,Poland,2020-03-23,749.0,8.0
12792,19063,,Poland,2020-03-24,901.0,10.0
12793,19064,,Poland,2020-03-25,1051.0,14.0
12794,19065,,Poland,2020-03-26,1221.0,16.0
12795,19066,,Poland,2020-03-27,1389.0,16.0
12796,19067,,Poland,2020-03-28,1638.0,18.0
