,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12797,19101,,Portugal,2020-01-22,0.0,0.0
12798,19102,,Portugal,2020-01-23,0.0,0.0
12799,19103,,Portugal,2020-01-24,0.0,0.0
12800,19104,,Portugal,2020-01-25,0.0,0.0
12801,19105,,Portugal,2020-01-26,0.0,0.0
12802,19106,,Portugal,2020-01-27,0.0,0.0
12803,19107,,Portugal,2020-01-28,0.0,0.0
12804,19108,,Portugal,2020-01-29,0.0,0.0
12805,19109,,Portugal,2020-01-30,0.0,0.0
12806,19110,,Portugal,2020-01-31,0.0,0.0
12807,19111,,Portugal,2020-02-01,0.0,0.0
12808,19112,,Portugal,2020-02-02,0.0,0.0
12809,19113,,Portugal,2020-02-03,0.0,0.0
12810,19114,,Portugal,2020-02-04,0.0,0.0
12811,19115,,Portugal,2020-02-05,0.0,0.0
12812,19116,,Portugal,2020-02-06,0.0,0.0
12813,19117,,Portugal,2020-02-07,0.0,0.0
12814,19118,,Portugal,2020-02-08,0.0,0.0
12815,19119,,Portugal,2020-02-09,0.0,0.0
12816,19120,,Portugal,2020-02-10,0.0,0.0
12817,19121,,Portugal,2020-02-11,0.0,0.0
12818,19122,,Portugal,2020-02-12,0.0,0.0
12819,19123,,Portugal,2020-02-13,0.0,0.0
12820,19124,,Portugal,2020-02-14,0.0,0.0
12821,19125,,Portugal,2020-02-15,0.0,0.0
12822,19126,,Portugal,2020-02-16,0.0,0.0
12823,19127,,Portugal,2020-02-17,0.0,0.0
12824,19128,,Portugal,2020-02-18,0.0,0.0
12825,19129,,Portugal,2020-02-19,0.0,0.0
12826,19130,,Portugal,2020-02-20,0.0,0.0
12827,19131,,Portugal,2020-02-21,0.0,0.0
12828,19132,,Portugal,2020-02-22,0.0,0.0
12829,19133,,Portugal,2020-02-23,0.0,0.0
12830,19134,,Portugal,2020-02-24,0.0,0.0
12831,19135,,Portugal,2020-02-25,0.0,0.0
12832,19136,,Portugal,2020-02-26,0.0,0.0
12833,19137,,Portugal,2020-02-27,0.0,0.0
12834,19138,,Portugal,2020-02-28,0.0,0.0
12835,19139,,Portugal,2020-02-29,0.0,0.0
12836,19140,,Portugal,2020-03-01,0.0,0.0
12837,19141,,Portugal,2020-03-02,2.0,0.0
12838,19142,,Portugal,2020-03-03,2.0,0.0
12839,19143,,Portugal,2020-03-04,5.0,0.0
12840,19144,,Portugal,2020-03-05,8.0,0.0
12841,19145,,Portugal,2020-03-06,13.0,0.0
12842,19146,,Portugal,2020-03-07,20.0,0.0
12843,19147,,Portugal,2020-03-08,30.0,0.0
12844,19148,,Portugal,2020-03-09,30.0,0.0
12845,19149,,Portugal,2020-03-10,41.0,0.0
12846,19150,,Portugal,2020-03-11,59.0,0.0
12847,19151,,Portugal,2020-03-12,59.0,0.0
12848,19152,,Portugal,2020-03-13,112.0,0.0
12849,19153,,Portugal,2020-03-14,169.0,0.0
12850,19154,,Portugal,2020-03-15,245.0,0.0
12851,19155,,Portugal,2020-03-16,331.0,0.0
12852,19156,,Portugal,2020-03-17,448.0,1.0
12853,19157,,Portugal,2020-03-18,448.0,2.0
12854,19158,,Portugal,2020-03-19,785.0,3.0
12855,19159,,Portugal,2020-03-20,1020.0,6.0
12856,19160,,Portugal,2020-03-21,1280.0,12.0
12857,19161,,Portugal,2020-03-22,1600.0,14.0
12858,19162,,Portugal,2020-03-23,2060.0,23.0
12859,19163,,Portugal,2020-03-24,2362.0,33.0
12860,19164,,Portugal,2020-03-25,2995.0,43.0
12861,19165,,Portugal,2020-03-26,3544.0,60.0
12862,19166,,Portugal,2020-03-27,4268.0,76.0
12863,19167,,Portugal,2020-03-28,5170.0,100.0
