,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12998,19401,,Russia,2020-01-22,0.0,0.0
12999,19402,,Russia,2020-01-23,0.0,0.0
13000,19403,,Russia,2020-01-24,0.0,0.0
13001,19404,,Russia,2020-01-25,0.0,0.0
13002,19405,,Russia,2020-01-26,0.0,0.0
13003,19406,,Russia,2020-01-27,0.0,0.0
13004,19407,,Russia,2020-01-28,0.0,0.0
13005,19408,,Russia,2020-01-29,0.0,0.0
13006,19409,,Russia,2020-01-30,0.0,0.0
13007,19410,,Russia,2020-01-31,2.0,0.0
13008,19411,,Russia,2020-02-01,2.0,0.0
13009,19412,,Russia,2020-02-02,2.0,0.0
13010,19413,,Russia,2020-02-03,2.0,0.0
13011,19414,,Russia,2020-02-04,2.0,0.0
13012,19415,,Russia,2020-02-05,2.0,0.0
13013,19416,,Russia,2020-02-06,2.0,0.0
13014,19417,,Russia,2020-02-07,2.0,0.0
13015,19418,,Russia,2020-02-08,2.0,0.0
13016,19419,,Russia,2020-02-09,2.0,0.0
13017,19420,,Russia,2020-02-10,2.0,0.0
13018,19421,,Russia,2020-02-11,2.0,0.0
13019,19422,,Russia,2020-02-12,2.0,0.0
13020,19423,,Russia,2020-02-13,2.0,0.0
13021,19424,,Russia,2020-02-14,2.0,0.0
13022,19425,,Russia,2020-02-15,2.0,0.0
13023,19426,,Russia,2020-02-16,2.0,0.0
13024,19427,,Russia,2020-02-17,2.0,0.0
13025,19428,,Russia,2020-02-18,2.0,0.0
13026,19429,,Russia,2020-02-19,2.0,0.0
13027,19430,,Russia,2020-02-20,2.0,0.0
13028,19431,,Russia,2020-02-21,2.0,0.0
13029,19432,,Russia,2020-02-22,2.0,0.0
13030,19433,,Russia,2020-02-23,2.0,0.0
13031,19434,,Russia,2020-02-24,2.0,0.0
13032,19435,,Russia,2020-02-25,2.0,0.0
13033,19436,,Russia,2020-02-26,2.0,0.0
13034,19437,,Russia,2020-02-27,2.0,0.0
13035,19438,,Russia,2020-02-28,2.0,0.0
13036,19439,,Russia,2020-02-29,2.0,0.0
13037,19440,,Russia,2020-03-01,2.0,0.0
13038,19441,,Russia,2020-03-02,3.0,0.0
13039,19442,,Russia,2020-03-03,3.0,0.0
13040,19443,,Russia,2020-03-04,3.0,0.0
13041,19444,,Russia,2020-03-05,4.0,0.0
13042,19445,,Russia,2020-03-06,13.0,0.0
13043,19446,,Russia,2020-03-07,13.0,0.0
13044,19447,,Russia,2020-03-08,17.0,0.0
13045,19448,,Russia,2020-03-09,17.0,0.0
13046,19449,,Russia,2020-03-10,20.0,0.0
13047,19450,,Russia,2020-03-11,20.0,0.0
13048,19451,,Russia,2020-03-12,28.0,0.0
13049,19452,,Russia,2020-03-13,45.0,0.0
13050,19453,,Russia,2020-03-14,59.0,0.0
13051,19454,,Russia,2020-03-15,63.0,0.0
13052,19455,,Russia,2020-03-16,90.0,0.0
13053,19456,,Russia,2020-03-17,114.0,0.0
13054,19457,,Russia,2020-03-18,147.0,0.0
13055,19458,,Russia,2020-03-19,199.0,1.0
13056,19459,,Russia,2020-03-20,253.0,1.0
13057,19460,,Russia,2020-03-21,306.0,1.0
13058,19461,,Russia,2020-03-22,367.0,1.0
13059,19462,,Russia,2020-03-23,438.0,1.0
13060,19463,,Russia,2020-03-24,495.0,1.0
13061,19464,,Russia,2020-03-25,658.0,3.0
13062,19465,,Russia,2020-03-26,840.0,3.0
13063,19466,,Russia,2020-03-27,1036.0,4.0
13064,19467,,Russia,2020-03-28,1264.0,4.0
