,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13199,19701,,Saint Lucia,2020-01-22,0.0,0.0
13200,19702,,Saint Lucia,2020-01-23,0.0,0.0
13201,19703,,Saint Lucia,2020-01-24,0.0,0.0
13202,19704,,Saint Lucia,2020-01-25,0.0,0.0
13203,19705,,Saint Lucia,2020-01-26,0.0,0.0
13204,19706,,Saint Lucia,2020-01-27,0.0,0.0
13205,19707,,Saint Lucia,2020-01-28,0.0,0.0
13206,19708,,Saint Lucia,2020-01-29,0.0,0.0
13207,19709,,Saint Lucia,2020-01-30,0.0,0.0
13208,19710,,Saint Lucia,2020-01-31,0.0,0.0
13209,19711,,Saint Lucia,2020-02-01,0.0,0.0
13210,19712,,Saint Lucia,2020-02-02,0.0,0.0
13211,19713,,Saint Lucia,2020-02-03,0.0,0.0
13212,19714,,Saint Lucia,2020-02-04,0.0,0.0
13213,19715,,Saint Lucia,2020-02-05,0.0,0.0
13214,19716,,Saint Lucia,2020-02-06,0.0,0.0
13215,19717,,Saint Lucia,2020-02-07,0.0,0.0
13216,19718,,Saint Lucia,2020-02-08,0.0,0.0
13217,19719,,Saint Lucia,2020-02-09,0.0,0.0
13218,19720,,Saint Lucia,2020-02-10,0.0,0.0
13219,19721,,Saint Lucia,2020-02-11,0.0,0.0
13220,19722,,Saint Lucia,2020-02-12,0.0,0.0
13221,19723,,Saint Lucia,2020-02-13,0.0,0.0
13222,19724,,Saint Lucia,2020-02-14,0.0,0.0
13223,19725,,Saint Lucia,2020-02-15,0.0,0.0
13224,19726,,Saint Lucia,2020-02-16,0.0,0.0
13225,19727,,Saint Lucia,2020-02-17,0.0,0.0
13226,19728,,Saint Lucia,2020-02-18,0.0,0.0
13227,19729,,Saint Lucia,2020-02-19,0.0,0.0
13228,19730,,Saint Lucia,2020-02-20,0.0,0.0
13229,19731,,Saint Lucia,2020-02-21,0.0,0.0
13230,19732,,Saint Lucia,2020-02-22,0.0,0.0
13231,19733,,Saint Lucia,2020-02-23,0.0,0.0
13232,19734,,Saint Lucia,2020-02-24,0.0,0.0
13233,19735,,Saint Lucia,2020-02-25,0.0,0.0
13234,19736,,Saint Lucia,2020-02-26,0.0,0.0
13235,19737,,Saint Lucia,2020-02-27,0.0,0.0
13236,19738,,Saint Lucia,2020-02-28,0.0,0.0
13237,19739,,Saint Lucia,2020-02-29,0.0,0.0
13238,19740,,Saint Lucia,2020-03-01,0.0,0.0
13239,19741,,Saint Lucia,2020-03-02,0.0,0.0
13240,19742,,Saint Lucia,2020-03-03,0.0,0.0
13241,19743,,Saint Lucia,2020-03-04,0.0,0.0
13242,19744,,Saint Lucia,2020-03-05,0.0,0.0
13243,19745,,Saint Lucia,2020-03-06,0.0,0.0
13244,19746,,Saint Lucia,2020-03-07,0.0,0.0
13245,19747,,Saint Lucia,2020-03-08,0.0,0.0
13246,19748,,Saint Lucia,2020-03-09,0.0,0.0
13247,19749,,Saint Lucia,2020-03-10,0.0,0.0
13248,19750,,Saint Lucia,2020-03-11,0.0,0.0
13249,19751,,Saint Lucia,2020-03-12,0.0,0.0
13250,19752,,Saint Lucia,2020-03-13,0.0,0.0
13251,19753,,Saint Lucia,2020-03-14,1.0,0.0
13252,19754,,Saint Lucia,2020-03-15,2.0,0.0
13253,19755,,Saint Lucia,2020-03-16,2.0,0.0
13254,19756,,Saint Lucia,2020-03-17,2.0,0.0
13255,19757,,Saint Lucia,2020-03-18,2.0,0.0
13256,19758,,Saint Lucia,2020-03-19,2.0,0.0
13257,19759,,Saint Lucia,2020-03-20,2.0,0.0
13258,19760,,Saint Lucia,2020-03-21,2.0,0.0
13259,19761,,Saint Lucia,2020-03-22,2.0,0.0
13260,19762,,Saint Lucia,2020-03-23,3.0,0.0
13261,19763,,Saint Lucia,2020-03-24,3.0,0.0
13262,19764,,Saint Lucia,2020-03-25,3.0,0.0
13263,19765,,Saint Lucia,2020-03-26,3.0,0.0
13264,19766,,Saint Lucia,2020-03-27,3.0,0.0
13265,19767,,Saint Lucia,2020-03-28,3.0,0.0
