,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13400,20001,,Saudi Arabia,2020-01-22,0.0,0.0
13401,20002,,Saudi Arabia,2020-01-23,0.0,0.0
13402,20003,,Saudi Arabia,2020-01-24,0.0,0.0
13403,20004,,Saudi Arabia,2020-01-25,0.0,0.0
13404,20005,,Saudi Arabia,2020-01-26,0.0,0.0
13405,20006,,Saudi Arabia,2020-01-27,0.0,0.0
13406,20007,,Saudi Arabia,2020-01-28,0.0,0.0
13407,20008,,Saudi Arabia,2020-01-29,0.0,0.0
13408,20009,,Saudi Arabia,2020-01-30,0.0,0.0
13409,20010,,Saudi Arabia,2020-01-31,0.0,0.0
13410,20011,,Saudi Arabia,2020-02-01,0.0,0.0
13411,20012,,Saudi Arabia,2020-02-02,0.0,0.0
13412,20013,,Saudi Arabia,2020-02-03,0.0,0.0
13413,20014,,Saudi Arabia,2020-02-04,0.0,0.0
13414,20015,,Saudi Arabia,2020-02-05,0.0,0.0
13415,20016,,Saudi Arabia,2020-02-06,0.0,0.0
13416,20017,,Saudi Arabia,2020-02-07,0.0,0.0
13417,20018,,Saudi Arabia,2020-02-08,0.0,0.0
13418,20019,,Saudi Arabia,2020-02-09,0.0,0.0
13419,20020,,Saudi Arabia,2020-02-10,0.0,0.0
13420,20021,,Saudi Arabia,2020-02-11,0.0,0.0
13421,20022,,Saudi Arabia,2020-02-12,0.0,0.0
13422,20023,,Saudi Arabia,2020-02-13,0.0,0.0
13423,20024,,Saudi Arabia,2020-02-14,0.0,0.0
13424,20025,,Saudi Arabia,2020-02-15,0.0,0.0
13425,20026,,Saudi Arabia,2020-02-16,0.0,0.0
13426,20027,,Saudi Arabia,2020-02-17,0.0,0.0
13427,20028,,Saudi Arabia,2020-02-18,0.0,0.0
13428,20029,,Saudi Arabia,2020-02-19,0.0,0.0
13429,20030,,Saudi Arabia,2020-02-20,0.0,0.0
13430,20031,,Saudi Arabia,2020-02-21,0.0,0.0
13431,20032,,Saudi Arabia,2020-02-22,0.0,0.0
13432,20033,,Saudi Arabia,2020-02-23,0.0,0.0
13433,20034,,Saudi Arabia,2020-02-24,0.0,0.0
13434,20035,,Saudi Arabia,2020-02-25,0.0,0.0
13435,20036,,Saudi Arabia,2020-02-26,0.0,0.0
13436,20037,,Saudi Arabia,2020-02-27,0.0,0.0
13437,20038,,Saudi Arabia,2020-02-28,0.0,0.0
13438,20039,,Saudi Arabia,2020-02-29,0.0,0.0
13439,20040,,Saudi Arabia,2020-03-01,0.0,0.0
13440,20041,,Saudi Arabia,2020-03-02,1.0,0.0
13441,20042,,Saudi Arabia,2020-03-03,1.0,0.0
13442,20043,,Saudi Arabia,2020-03-04,1.0,0.0
13443,20044,,Saudi Arabia,2020-03-05,5.0,0.0
13444,20045,,Saudi Arabia,2020-03-06,5.0,0.0
13445,20046,,Saudi Arabia,2020-03-07,5.0,0.0
13446,20047,,Saudi Arabia,2020-03-08,11.0,0.0
13447,20048,,Saudi Arabia,2020-03-09,15.0,0.0
13448,20049,,Saudi Arabia,2020-03-10,20.0,0.0
13449,20050,,Saudi Arabia,2020-03-11,21.0,0.0
13450,20051,,Saudi Arabia,2020-03-12,45.0,0.0
13451,20052,,Saudi Arabia,2020-03-13,86.0,0.0
13452,20053,,Saudi Arabia,2020-03-14,103.0,0.0
13453,20054,,Saudi Arabia,2020-03-15,103.0,0.0
13454,20055,,Saudi Arabia,2020-03-16,118.0,0.0
13455,20056,,Saudi Arabia,2020-03-17,171.0,0.0
13456,20057,,Saudi Arabia,2020-03-18,171.0,0.0
13457,20058,,Saudi Arabia,2020-03-19,274.0,0.0
13458,20059,,Saudi Arabia,2020-03-20,344.0,0.0
13459,20060,,Saudi Arabia,2020-03-21,392.0,0.0
13460,20061,,Saudi Arabia,2020-03-22,511.0,0.0
13461,20062,,Saudi Arabia,2020-03-23,562.0,0.0
13462,20063,,Saudi Arabia,2020-03-24,767.0,1.0
13463,20064,,Saudi Arabia,2020-03-25,900.0,2.0
13464,20065,,Saudi Arabia,2020-03-26,1012.0,3.0
13465,20066,,Saudi Arabia,2020-03-27,1104.0,3.0
13466,20067,,Saudi Arabia,2020-03-28,1203.0,4.0
