,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13467,20101,,Senegal,2020-01-22,0.0,0.0
13468,20102,,Senegal,2020-01-23,0.0,0.0
13469,20103,,Senegal,2020-01-24,0.0,0.0
13470,20104,,Senegal,2020-01-25,0.0,0.0
13471,20105,,Senegal,2020-01-26,0.0,0.0
13472,20106,,Senegal,2020-01-27,0.0,0.0
13473,20107,,Senegal,2020-01-28,0.0,0.0
13474,20108,,Senegal,2020-01-29,0.0,0.0
13475,20109,,Senegal,2020-01-30,0.0,0.0
13476,20110,,Senegal,2020-01-31,0.0,0.0
13477,20111,,Senegal,2020-02-01,0.0,0.0
13478,20112,,Senegal,2020-02-02,0.0,0.0
13479,20113,,Senegal,2020-02-03,0.0,0.0
13480,20114,,Senegal,2020-02-04,0.0,0.0
13481,20115,,Senegal,2020-02-05,0.0,0.0
13482,20116,,Senegal,2020-02-06,0.0,0.0
13483,20117,,Senegal,2020-02-07,0.0,0.0
13484,20118,,Senegal,2020-02-08,0.0,0.0
13485,20119,,Senegal,2020-02-09,0.0,0.0
13486,20120,,Senegal,2020-02-10,0.0,0.0
13487,20121,,Senegal,2020-02-11,0.0,0.0
13488,20122,,Senegal,2020-02-12,0.0,0.0
13489,20123,,Senegal,2020-02-13,0.0,0.0
13490,20124,,Senegal,2020-02-14,0.0,0.0
13491,20125,,Senegal,2020-02-15,0.0,0.0
13492,20126,,Senegal,2020-02-16,0.0,0.0
13493,20127,,Senegal,2020-02-17,0.0,0.0
13494,20128,,Senegal,2020-02-18,0.0,0.0
13495,20129,,Senegal,2020-02-19,0.0,0.0
13496,20130,,Senegal,2020-02-20,0.0,0.0
13497,20131,,Senegal,2020-02-21,0.0,0.0
13498,20132,,Senegal,2020-02-22,0.0,0.0
13499,20133,,Senegal,2020-02-23,0.0,0.0
13500,20134,,Senegal,2020-02-24,0.0,0.0
13501,20135,,Senegal,2020-02-25,0.0,0.0
13502,20136,,Senegal,2020-02-26,0.0,0.0
13503,20137,,Senegal,2020-02-27,0.0,0.0
13504,20138,,Senegal,2020-02-28,0.0,0.0
13505,20139,,Senegal,2020-02-29,0.0,0.0
13506,20140,,Senegal,2020-03-01,0.0,0.0
13507,20141,,Senegal,2020-03-02,1.0,0.0
13508,20142,,Senegal,2020-03-03,2.0,0.0
13509,20143,,Senegal,2020-03-04,4.0,0.0
13510,20144,,Senegal,2020-03-05,4.0,0.0
13511,20145,,Senegal,2020-03-06,4.0,0.0
13512,20146,,Senegal,2020-03-07,4.0,0.0
13513,20147,,Senegal,2020-03-08,4.0,0.0
13514,20148,,Senegal,2020-03-09,4.0,0.0
13515,20149,,Senegal,2020-03-10,4.0,0.0
13516,20150,,Senegal,2020-03-11,4.0,0.0
13517,20151,,Senegal,2020-03-12,4.0,0.0
13518,20152,,Senegal,2020-03-13,10.0,0.0
13519,20153,,Senegal,2020-03-14,10.0,0.0
13520,20154,,Senegal,2020-03-15,24.0,0.0
13521,20155,,Senegal,2020-03-16,24.0,0.0
13522,20156,,Senegal,2020-03-17,26.0,0.0
13523,20157,,Senegal,2020-03-18,31.0,0.0
13524,20158,,Senegal,2020-03-19,31.0,0.0
13525,20159,,Senegal,2020-03-20,38.0,0.0
13526,20160,,Senegal,2020-03-21,47.0,0.0
13527,20161,,Senegal,2020-03-22,67.0,0.0
13528,20162,,Senegal,2020-03-23,79.0,0.0
13529,20163,,Senegal,2020-03-24,86.0,0.0
13530,20164,,Senegal,2020-03-25,99.0,0.0
13531,20165,,Senegal,2020-03-26,105.0,0.0
13532,20166,,Senegal,2020-03-27,119.0,0.0
13533,20167,,Senegal,2020-03-28,130.0,0.0
